SnomedCTConceptId,Term,Disease,Otherinstructions,origin
1207009,Optic disc glaucomatous atrophy,Glaucoma,,['Lauren_codelist']
193533000,Open angle glaucoma with borderline intraocular pressure,Glaucoma,,['Lauren_codelist']
193546005,Primary angle-closure glaucoma residual stage,Glaucoma,,['Lauren_codelist']
232080006,Plateau iris,Glaucoma,,['Lauren_codelist']
23986001,Glaucoma,Glaucoma,,['Lauren_codelist']
23986001,Glaucoma NOS,Glaucoma,,['Lauren_codelist']
23986001,Other specified forms of glaucoma,Glaucoma,,['Lauren_codelist']
23986001,Other specified glaucoma NOS,Glaucoma,,['Lauren_codelist']
30041005,Acute primary angle-closure glaucoma,Glaucoma,,['Lauren_codelist']
392288006,Closed angle glaucoma,Glaucoma,,['Lauren_codelist']
392288006,Primary angle-closure glaucoma,Glaucoma,,['Lauren_codelist']
392288006,Primary angle-closure glaucoma NOS,Glaucoma,,['Lauren_codelist']
392288006,Unspecified primary angle-closure glaucoma,Glaucoma,,['Lauren_codelist']
50485007,Low tension glaucoma,Glaucoma,,['Lauren_codelist' 'Lauren_codelist']
50485007,Normal pressure glaucoma,Glaucoma,,['Lauren_codelist']
65460003,Intermittent primary angle-closure glaucoma,Glaucoma,,['Lauren_codelist']
66990007,Open-angle glaucoma residual stage,Glaucoma,,['Lauren_codelist']
67733005,Glaucomatous subcapsular flecks,Glaucoma,,['Lauren_codelist']
77075001,Primary open-angle glaucoma,Glaucoma,,['Lauren_codelist']
84494001,Open-angle glaucoma,Glaucoma,,['Lauren_codelist']
84494001,Open-angle glaucoma NOS,Glaucoma,,['Lauren_codelist']
84494001,Unspecified open-angle glaucoma,Glaucoma,,['Lauren_codelist']
