SnomedCTConceptId,Term,Disease,Otherinstructions,origin
1201005,Benign essential hypertension,Hypertension,,['Lauren_codelist' 'efi']
123799005,Secondary renovascular hypertension NOS,Hypertension,,['Lauren_codelist' 'efi']
161501007,H/O: hypertension,Hypertension,,['efi']
163020007,O/E - blood pressure reading,Hypertension,3 reading equal to or greater than 140 systolic OR 90 diastolic EVER,['efi']
163030003,O/E - Systolic BP reading,Hypertension,3 readings equal to or greater than 140 EVER,['efi']
163031004,O/E - Diastolic BP reading,Hypertension,3 readings equal to or greater than 90 EVER,['efi']
163033001,Lying blood pressure reading,Hypertension,3 readings equal to or greater than 140 systolic OR 90 diastolic EVER,['efi']
163034007,Standing blood pressure reading,Hypertension,3 reading equal to or greater than 140 systolic OR 90 diastolic EVER,['efi']
163035008,Sitting blood pressure reading,Hypertension,3 reading equal to or greater than 140 systolic OR 90 diastolic EVER,['efi']
170577003,Good hypertension control,Hypertension,,['efi']
170578008,Poor hypertension control,Hypertension,,['efi']
170586008,Hypertension treatm. started,Hypertension,,['Lauren_codelist' 'efi']
170587004,Hypertensive treatm.changed,Hypertension,,['Lauren_codelist']
183856001,Referral to hypertension clinic,Hypertension,,['efi']
185264001,Seen in hypertension clinic,Hypertension,,['efi']
19144002,blind hypertensive eye,Hypertension,,['efi']
193003,benign hypertensive renal disease,Hypertension,,['efi']
194767001,benign hypertensive heart disease with ccf,Hypertension,,['efi']
194779001,hypertensive heart&renal dis wth (congestive) heart failure,Hypertension,,['efi']
194780003,hypertensive heart and renal disease with renal failure,Hypertension,,['efi']
194783001,Secondary malignant renovascular hypertension,Hypertension,,['Lauren_codelist']
194783001,secondary malignant renovascular hypertension,Hypertension,,['efi']
194785008,Secondary benign hypertension,Hypertension,,['Lauren_codelist' 'efi']
194785008,Secondary benign hypertension NOS,Hypertension,,['Lauren_codelist']
194788005,Hypertension secondary to endocrine disorders,Hypertension,,['Lauren_codelist' 'efi']
194791005,Hypertension secondary to drug,Hypertension,,['Lauren_codelist']
194791005,hypertension secondary to drug,Hypertension,,['efi']
198081000000101,Ambulatory systolic blood pressure,Hypertension,Equal to or greater than 135,['efi']
198091000000104,Ambulatory diastolic blood pressure,Hypertension,Equal to or greater than 85,['efi']
198997005,Pre-eclampsia or eclampsia with pre-existing hypertension,Hypertension,,['Lauren_codelist']
220901000000101,High cost hypertension drugs,Hypertension,,['Lauren_codelist']
24184005,High blood pressure,Hypertension,,['efi']
24184005,high blood pressure,Hypertension,,['efi']
264008,Blind hypertensive eye,Hypertension,,['Lauren_codelist']
275516004,Cardiomegaly - hypertensive,Hypertension,,['Lauren_codelist']
275516004,hypertensive heart disease nos without ccf,Hypertension,,['efi']
293495006,Adverse reaction to antihypertensives NOS,Hypertension,,['Lauren_codelist']
293495006,Adverse reaction to other antihypertensives,Hypertension,,['Lauren_codelist']
293495006,[X] Adverse reaction to other antihypertensives,Hypertension,,['Lauren_codelist']
293495006,"[X]Oth antihyperten drug caus advers eff in therap use, NEC",Hypertension,,['Lauren_codelist']
299561000000105,Trial withdrawal of antihypertensive therapy,Hypertension,,['Lauren_codelist']
302192008,On treatment for hypertension,Hypertension,,['Lauren_codelist' 'efi']
307632004,GH - Gestational hypertension,Hypertension,,['efi']
308116003,Antihypertensive therapy,Hypertension,,['Lauren_codelist']
314449000,Average 24 hour systolic blood pressure,Hypertension,Equal to or greater than 135,['efi']
314462001,Average 24 hour diastolic blood pressure,Hypertension,Equal to or greater than 85,['efi']
31992008,Secondary hypertension,Hypertension,,['Lauren_codelist' 'efi']
31992008,Secondary hypertension NOS,Hypertension,,['Lauren_codelist' 'Lauren_codelist']
335661000000109,Self measured blood pressure reading,Hypertension,Equal to or greater than 135 systolic OR 85 diastolic,['efi']
36221001,Benign hypertensive heart disease,Hypertension,,['Lauren_codelist']
36221001,benign hypertensive heart disease,Hypertension,,['efi']
36315003,malignant hypertensive heart disease without ccf,Hypertension,,['efi']
38341003,BP - hypertensive disease,Hypertension,,['Lauren_codelist' 'efi']
38341003,Hypertensive disease,Hypertension,,['Lauren_codelist' 'efi']
38341003,Hypertensive disease NOS,Hypertension,,['Lauren_codelist']
38341003,Other specified hypertensive disease,Hypertension,,['Lauren_codelist']
38341003,[X]Hypertensive diseases,Hypertension,,['Lauren_codelist']
38481006,Renal hypertension,Hypertension,,['Lauren_codelist']
38481006,hypertensive renal disease,Hypertension,,['efi']
400974009,Standing systolic blood pressure,Hypertension,3 readings equal to or greater than 140 EVER,['efi']
400975005,Standing diastolic blood pressure,Hypertension,3 readings equal to or greater than 90 EVER,['efi']
401047000,Hypertension treatment refused,Hypertension,,['Lauren_codelist' 'efi']
401048005,Hypertension six month review,Hypertension,,['Lauren_codelist']
401117004,Moderate hypertension control,Hypertension,,['Lauren_codelist' 'efi']
401118009,Hypertension annual review,Hypertension,,['Lauren_codelist']
407554009,Sitting systolic blood pressure,Hypertension,3 readings equal to or greater than 140 EVER,['efi']
407555005,Sitting diastolic blood pressure,Hypertension,3 readings equal to or greater than 90 EVER,['efi']
407556006,Lying systolic blood pressure,Hypertension,3 readings equal to or greater than 140 EVER,['efi']
407557002,Lying diastolic blood pressure,Hypertension,3 readings equal to or greater than 90 EVER,['efi']
407567007,Patient on maximal tolerated antihypertensive therapy,Hypertension,,['Lauren_codelist']
412779008,Hypertension clinical management plan,Hypertension,,['efi']
413605002,Average home diastolic blood pressure,Hypertension,Equal to or greater than 85,['efi']
413606001,Average home systolic blood pressure,Hypertension,Equal to or greater than 135,['efi']
443402002,Lifestyle advice regarding hypertension,Hypertension,,['efi']
471521000000108,[X]Hypertensive diseases,Hypertension,,['efi']
48146000,Diastolic hypertension,Hypertension,,['Lauren_codelist']
48146000,diastolic hypertension,Hypertension,,['efi']
48194001,GH - Gestational hypertension,Hypertension,,['efi']
49220004,hypertensive renal disease with renal failure,Hypertension,,['efi']
50490005,Hypertensive crisis,Hypertension,,['Lauren_codelist']
50490005,Hypertensive encephalopathy,Hypertension,,['Lauren_codelist']
50490005,hypertensive encephalopathy,Hypertension,,['efi']
54225002,Malignant hypertensive heart disease,Hypertension,,['Lauren_codelist']
54225002,malignant hypertensive heart disease,Hypertension,,['efi']
56218007,Systolic hypertension,Hypertension,,['Lauren_codelist']
56218007,systolic hypertension,Hypertension,,['efi']
56265001,malignant hypertensive heart disease nos,Hypertension,,['efi']
59621000,Essential hypertension,Hypertension,,['Lauren_codelist']
59621000,Essential hypertension NOS,Hypertension,,['Lauren_codelist']
59621000,High blood pressure,Hypertension,,['efi']
59621000,hypertension nos,Hypertension,,['efi']
64715009,Hypertensive heart disease,Hypertension,,['Lauren_codelist']
64715009,Hypertensive heart disease NOS,Hypertension,,['Lauren_codelist']
64715009,hypertensive heart disease,Hypertension,,['efi']
65443008,malignant hypertensive renal disease,Hypertension,,['efi']
66052004,Benign hypertensive heart AND renal disease,Hypertension,,['Lauren_codelist']
66052004,benign hypertensive heart and renal disease,Hypertension,,['efi']
66610008,Malignant hypertensive heart AND renal disease,Hypertension,,['Lauren_codelist']
66610008,malignant hypertensive heart and renal disease,Hypertension,,['efi']
6962006,Hypertensive retinopathy,Hypertension,,['Lauren_codelist' 'efi']
697929007,Labile hypertension,Hypertension,,['efi']
697930002,Labile hypertension,Hypertension,,['efi']
70272006,Malignant hypertension,Hypertension,,['efi']
716771000000106,Excepted from hypertension qual indicators: Informed dissent,Hypertension,,['efi']
716821000000100,Excepted from hypertension qual indicators: Patient unsuit,Hypertension,,['efi']
717311000000102,Exception reporting: hypertension quality indicators,Hypertension,,['efi']
73410007,Secondary benign renovascular hypertension,Hypertension,,['Lauren_codelist']
73410007,secondary benign renovascular hypertension,Hypertension,,['efi']
736286003,Hypertension clinical management plan,Hypertension,,['efi']
77970009,benign hypertensive heart disease without ccf,Hypertension,,['efi']
78975002,Malignant essential hypertension,Hypertension,,['Lauren_codelist']
78975002,malignant essential hypertension,Hypertension,,['efi']
83105008,malignant hypertensive heart disease with ccf,Hypertension,,['efi']
843821000000102,stage 1 hypertension,Hypertension,,['efi']
843841000000109,severe hypertension (nat inst for health clinical ex 2011),Hypertension,,['efi']
845891000000103,hypertension resistant to drug therapy,Hypertension,,['efi']
846371000000103,Stge 2 hypertensin (NICE 2011),Hypertension,,['efi']
86041002,Other pre-existing hypertension in preg/childb/puerp - deliv,Hypertension,,['Lauren_codelist']
86041002,Other pre-existing hypertension in preg/childb/puerp unspec,Hypertension,,['Lauren_codelist']
86041002,Other pre-existing hypertension in preg/childbirth/puerp,Hypertension,,['Lauren_codelist']
86234004,Hypertensive heart AND renal disease,Hypertension,,['Lauren_codelist']
86234004,hypertensive heart and renal disease,Hypertension,,['efi']
