SnomedCTConceptId,Term,Disease,Otherinstructions,origin
127041004,Sickle-cell thalassaemia,Sickle cell anaemia,,['Lauren_codelist']
13886001,Sickle cell nephropathy,Sickle cell anaemia,,['Lauren_codelist']
193370005,Proliferative retinopathy due to sickle cell disease,Sickle cell anaemia,,['Lauren_codelist']
127040003,Sickle cell anaemia,Sickle cell anaemia,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
416180004,Sickle cell anaemia with no crisis,Sickle cell anaemia,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
417425009,Sickle cell anaemia with crisis,Sickle cell anaemia,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
441482006,History of sickle cell anaemia,Sickle cell anaemia,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
49938009,Drepanocyte (cell),Sickle cell anaemia,,['NHS Digital']
127040003,Sickle cell-hemoglobin SS disease (disorder),Sickle cell anaemia,,['NHS Digital']
417357006,Sickling disorder due to hemoglobin S (disorder),Sickle cell anaemia,,['NHS Digital']
16402000,Sickle cell trait (disorder),Sickle cell anaemia,,['NHS Digital']
371104006,Hand-foot syndrome in sickle cell anemia (disorder),Sickle cell anaemia,,['NHS Digital']
16402000,Sickle cell trait (disorder),Sickle cell anaemia,,['NHS Digital']
13886001,Sickle cell nephropathy (disorder),Sickle cell anaemia,,['NHS Digital']
11603001,Sickle cell retinopathy (disorder),Sickle cell anaemia,,['NHS Digital']
25472008,Sickle cell-hemoglobin D disease (disorder),Sickle cell anaemia,,['NHS Digital']
35434009,Sickle cell-hemoglobin C disease (disorder),Sickle cell anaemia,,['NHS Digital']
417279003,Hemoglobin S sickling disorder with crisis (disorder),Sickle cell anaemia,,['NHS Digital']
763096004,Disorder of liver due to sickle cell disease (disorder),Sickle cell anaemia,,['NHS Digital']
127047000,Sickle cell-hemoglobin Lepore disease (disorder),Sickle cell anaemia,,['NHS Digital']
