SnomedCTConceptId,Term,Disease,Otherinstructions,origin
127057004,Cold haemoglobinuria,Anaemia Haemolytic,,['Lauren_codelist']
127057004,Paroxysmal cold haemoglobinuria,Anaemia Haemolytic,,['Lauren_codelist']
15276008,Drug-induced enzyme deficiency anaemia,Anaemia Haemolytic,,['Lauren_codelist']
18273004,Congenital Heinz-body anaemia,Anaemia Haemolytic,,['Lauren_codelist']
191169008,Hereditary elliptocytosis,Anaemia Haemolytic,,['Lauren_codelist']
191169008,Ovalocytosis - hereditary,Anaemia Haemolytic,,['Lauren_codelist']
191170009,Haemolytic anaemia due to glutathione metabolism disorder,Anaemia Haemolytic,,['Lauren_codelist']
191172001,Favism,Anaemia Haemolytic,,['Lauren_codelist']
191177007,Haemolytic anaemia due to hexokinase deficiency,Anaemia Haemolytic,,['Lauren_codelist']
191178002,Haemolytic anaemia due to pyruvate kinase deficiency,Anaemia Haemolytic,,['Lauren_codelist']
191180008,Anaemia due to disorders of nucleotide metabolism,Anaemia Haemolytic,,['Lauren_codelist']
191201002,Hb F disease,Anaemia Haemolytic,,['Lauren_codelist']
191201002,Hereditary persistence of fetal haemoglobin [HPFH],Anaemia Haemolytic,,['Lauren_codelist']
191202009,Haemoglobin Zurich disease,Anaemia Haemolytic,,['Lauren_codelist']
191210005,Primary cold-type haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
191211009,Primary warm-type haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
191212002,Secondary cold-type haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
191216004,Non-autoimmune haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
191216004,Non-autoimmune haemolytic anaemia NOS,Anaemia Haemolytic,,['Lauren_codelist']
191216004,Other specified non-autoimmune haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
191217008,Mechanical haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
191222008,Acquired haemolytic anaemia with haemoglobinuria NEC,Anaemia Haemolytic,,['Lauren_codelist']
191222008,Haemoglobinuria due to haemolysis from external cause NOS,Anaemia Haemolytic,,['Lauren_codelist']
191222008,Haemoglobinuria due to haemolysis from external causes,Anaemia Haemolytic,,['Lauren_codelist']
191222008,Paroxysmal haemoglobinuria NOS,Anaemia Haemolytic,,['Lauren_codelist']
191228007,Acquired spherocytosis,Anaemia Haemolytic,,['Lauren_codelist']
1963002,Paroxysmal nocturnal haemoglobinuria,Anaemia Haemolytic,,['Lauren_codelist']
309742004,Drug-induced autoimmune haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
3272007,Stomatocytosis,Anaemia Haemolytic,,['Lauren_codelist']
38689004,Infective haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
387744007,Haemoglobinuria from exertion,Anaemia Haemolytic,,['Lauren_codelist']
387744007,March haemoglobinuria,Anaemia Haemolytic,,['Lauren_codelist']
387744007,Marchiafava - Micheli syndrome,Anaemia Haemolytic,,['Lauren_codelist']
38911009,Enzyme deficiency haemolytic anaemia NOS,Anaemia Haemolytic,,['Lauren_codelist']
38911009,Hereditary haemolytic anaemia NOS,Anaemia Haemolytic,,['Lauren_codelist']
38911009,Hereditary haemolytic anaemias,Anaemia Haemolytic,,['Lauren_codelist']
38911009,Other specified hereditary haemolytic anaemia NOS,Anaemia Haemolytic,,['Lauren_codelist']
38911009,Other specified hereditary haemolytic anaemias,Anaemia Haemolytic,,['Lauren_codelist']
413603009,Autoimmune haemolytic anaemia NOS,Anaemia Haemolytic,,['Lauren_codelist']
413603009,Autoimmune haemolytic anaemias,Anaemia Haemolytic,,['Lauren_codelist']
413603009,Coombs positive haemolysis,Anaemia Haemolytic,,['Lauren_codelist']
413603009,[X]Other autoimmune haemolytic anaemias,Anaemia Haemolytic,,['Lauren_codelist']
4854004,Acquired haemolytic anaemia NOS,Anaemia Haemolytic,,['Lauren_codelist']
4854004,Acquired haemolytic anaemias,Anaemia Haemolytic,,['Lauren_codelist']
51071000,Microangiopathic haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
5300004,Haemoglobin Bart's disease,Anaemia Haemolytic,,['Lauren_codelist']
55995005,Hereditary spherocytosis,Anaemia Haemolytic,,['Lauren_codelist']
55995005,Minkowski - Chauffard syndrome,Anaemia Haemolytic,,['Lauren_codelist']
61261009,Haemolytic anaemias,Anaemia Haemolytic,,['Lauren_codelist']
61261009,Haemolytic anaemias NOS,Anaemia Haemolytic,,['Lauren_codelist']
61261009,Other specified haemolytic anaemias,Anaemia Haemolytic,,['Lauren_codelist']
61261009,[X]Haemolytic anaemias,Anaemia Haemolytic,,['Lauren_codelist']
62403005,Glucose-6-phosphate dehydrogenase deficiency anaemia,Anaemia Haemolytic,,['Lauren_codelist']
80141007,Other haemoglobinopathies,Anaemia Haemolytic,,['Lauren_codelist']
80141007,Other haemoglobinopathy NOS,Anaemia Haemolytic,,['Lauren_codelist']
80141007,Other specified other haemoglobinopathy,Anaemia Haemolytic,,['Lauren_codelist']
80141007,[X]Other haemoglobinopathies,Anaemia Haemolytic,,['Lauren_codelist']
81711008,Drug-induced haemolytic anaemia,Anaemia Haemolytic,,['Lauren_codelist']
191210005,Primary cold-type haemolytic anaemia,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
191211009,Primary warm-type haemolytic anaemia,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
191212002,Secondary cold-type haemolytic anaemia,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
191213007,Secondary warm-type haemolytic anaemia,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
191216004,Non-autoimmune haemolytic anaemia,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
191217008,Mechanical haemolytic anaemia,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
191218003,Toxic haemolytic anaemia,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
191222008,Acquired haemolytic anaemia with haemoglobinuria NEC,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
197284004,Autoimmune haemolytic anaemia,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
221231000000105,Hypoplastic haemolytic and renal anaemia drugs Band 1,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
221241000000101,Hypoplastic haemolytic and renal anaemia drugs Band 2,Anaemia Haemolytic,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis,['efi']
