SnomedCTConceptId,Term,Disease,Otherinstructions,origin
271737000,Aplastic and other anaemias,Anaemia Other,,['Lauren_codelist']
109996008,Refractory anaemia,Anaemia Other,,['Lauren_codelist']
191136008,Idiopathic hypochromic anaemia,Anaemia Other,,['Lauren_codelist']
191156009,Protein-deficiency anaemia,Anaemia Other,,['Lauren_codelist']
191156009,Protein-deficiency anaemia NOS,Anaemia Other,,['Lauren_codelist']
191161006,Vitamin C deficiency anaemia,Anaemia Other,,['Lauren_codelist']
191260004,Pyridoxine-responsive sideroblastic anaemia,Anaemia Other,,['Lauren_codelist']
191261000,Secondary sideroblastic anaemia due to disease,Anaemia Other,,['Lauren_codelist']
191262007,Secondary sideroblastic anaemia due to drugs and toxins,Anaemia Other,,['Lauren_codelist']
191265009,Anaemia in neoplastic disease,Anaemia Other,,['Lauren_codelist']
191268006,Chronic anaemia,Anaemia Other,,['Lauren_codelist']
234347009,[X]Anaemia in other chronic diseases classified elsewhere,Anaemia Other,,['Lauren_codelist']
234358000,Megaloblastic anaemia due to dietary causes,Anaemia Other,,['Lauren_codelist']
24962009,Vitamin E deficiency anaemia,Anaemia Other,,['Lauren_codelist']
267513007,Deficiency anaemias,Anaemia Other,,['Lauren_codelist']
267513007,Deficiency anaemias NOS,Anaemia Other,,['Lauren_codelist']
267513007,Other deficiency anaemias,Anaemia Other,,['Lauren_codelist']
267513007,Other deficiency anaemias NOS,Anaemia Other,,['Lauren_codelist']
267513007,Other specified deficiency anaemias,Anaemia Other,,['Lauren_codelist']
267513007,Other specified nutritional deficiency anaemia,Anaemia Other,,['Lauren_codelist']
267513007,Other specified nutritional deficiency anaemia NOS,Anaemia Other,,['Lauren_codelist']
267513007,Other specified other nutritional deficiency anaemia,Anaemia Other,,['Lauren_codelist']
2694001,Leukoerythroblastic anaemia,Anaemia Other,,['Lauren_codelist']
271737000,Anaemia unspecified,Anaemia Other,,['Lauren_codelist']
271737000,Other anaemias NOS,Anaemia Other,,['Lauren_codelist']
271737000,Other and unspecified anaemias,Anaemia Other,,['Lauren_codelist']
271737000,Other specified anaemia NOS,Anaemia Other,,['Lauren_codelist']
271737000,Other specified anaemias,Anaemia Other,,['Lauren_codelist']
271737000,Other specified other anaemia,Anaemia Other,,['Lauren_codelist']
271737000,Secondary anaemia NOS,Anaemia Other,,['Lauren_codelist']
271737000,[X]Other specified anaemias,Anaemia Other,,['Lauren_codelist']
275538002,H/O: anaemia,Anaemia Other,,['Lauren_codelist']
