CleansedReadCode,Term,Disease,SnomedCTConceptId
7A11000,Emerg repl aneurysm bifurc aorta by anast aorta to fem art,Abdominal Aortic Aneurysm,175283003
7A11211,Y graft of abdominal Aortic aneurysm (emergency),Abdominal Aortic Aneurysm,233374003
7A13.00,Emergency replacement of aneurysmal segment of aorta,Abdominal Aortic Aneurysm,175297006
7A13.11,Emergency repair of aortic aneurysm,Abdominal Aortic Aneurysm,175297006
7A13411,Tube graft abdominal Aortic aneurysm (emergency),Abdominal Aortic Aneurysm,233377005
7A13z00,Emergency replacement of aneurysmal segment of aorta NOS,Abdominal Aortic Aneurysm,175297006
G714.00,Abdominal aortic aneurysm without mention of rupture,Abdominal Aortic Aneurysm,233985008
G714.11,AAA - Abdominal aortic aneurysm without mention of rupture,Abdominal Aortic Aneurysm,233985008
G716.00,Aortic aneurysm without mention of rupture NOS,Abdominal Aortic Aneurysm,67362008
G716000,"Thoracoabdominal aortic aneurysm, without mention of rupture",Abdominal Aortic Aneurysm,233984007
14AE.00,H/O: aortic aneurysm,Abdominal Aortic Aneurysm,161514008
7H12z00,Repair of recurrent inguinal hernia NOS,Abdominal Hernia,19273005
J310z00,Femoral hernia with gangrene NOS,Abdominal Hernia,45845003
J312000,Unilateral femoral hernia - irreducible,Abdominal Hernia,196838007
J313.00,Simple femoral hernia,Abdominal Hernia,196843000
J313z00,Simple femoral hernia NOS,Abdominal Hernia,196843000
J31y.00,Unspecified femoral hernia,Abdominal Hernia,50063009
J31yz00,Unspecified femoral hernia NOS,Abdominal Hernia,50063009
J31z.00,Femoral hernia NOS,Abdominal Hernia,50063009
J32..00,Umbilical hernia,Abdominal Hernia,396347007
J32..12,Paraumbilical hernia,Abdominal Hernia,29862005
J320100,Paraumbilical hernia with gangrene,Abdominal Hernia,111366003
J320z00,Umbilical hernia with gangrene NOS,Abdominal Hernia,67508005
J321.00,Umbilical hernia with obstruction,Abdominal Hernia,196859000
J321100,Paraumbilical hernia with obstruction,Abdominal Hernia,196861009
J321z00,Umbilical hernia with obstruction NOS,Abdominal Hernia,196859000
J322.00,Umbilical hernia - irreducible,Abdominal Hernia,196863007
J322100,Paraumbilical hernia - irreducible,Abdominal Hernia,196865000
J322z00,Umbilical hernia - irreducible and NOS,Abdominal Hernia,196863007
J323.00,Simple umbilical hernia,Abdominal Hernia,196867008
J323100,Simple paraumbilical hernia,Abdominal Hernia,196869006
J323z00,Simple umbilical hernia NOS,Abdominal Hernia,196867008
J32y.00,Unspecified umbilical hernia,Abdominal Hernia,396347007
J32y100,Unspecified paraumbilical hernia,Abdominal Hernia,29862005
J32yz00,Unspecified umbilical hernia NOS,Abdominal Hernia,396347007
J32z.00,Umbilical hernia NOS,Abdominal Hernia,396347007
J33..00,Ventral hernia,Abdominal Hernia,414396006
J33..11,Epigastric hernia,Abdominal Hernia,289260002
J33..12,Incisional hernia,Abdominal Hernia,236037000
J330.00,Ventral hernia with gangrene,Abdominal Hernia,414397002
J330100,Incisional hernia with gangrene,Abdominal Hernia,18378006
J330200,Epigastric hernia with gangrene,Abdominal Hernia,196880006
J330z00,Ventral hernia with gangrene NOS,Abdominal Hernia,414475000
J331.00,Ventral hernia with obstruction,Abdominal Hernia,414923000
J331100,Incisional hernia with obstruction,Abdominal Hernia,196884002
J331200,Epigastric hernia with obstruction,Abdominal Hernia,196885001
J331z00,Ventral hernia with obstruction NOS,Abdominal Hernia,415256003
J332.00,Ventral hernia - irreducible,Abdominal Hernia,414543001
J332000,Ventral hernia unspecified - irreducible,Abdominal Hernia,414544007
J332100,Incisional hernia - irreducible,Abdominal Hernia,196889007
J332z00,Ventral hernia - irreducible NOS,Abdominal Hernia,414544007
J333.00,Simple ventral hernia,Abdominal Hernia,415771000
J333000,Simple ventral hernia unspecified,Abdominal Hernia,415771000
J333100,Simple incisional hernia,Abdominal Hernia,196894007
J333200,Simple epigastric hernia,Abdominal Hernia,266443000
J333211,Epigastric hernia,Abdominal Hernia,289260002
J333z00,Simple ventral hernia NOS,Abdominal Hernia,415771000
J33z.00,Ventral hernia NOS,Abdominal Hernia,414396006
J33z000,Unspecified ventral hernia NOS,Abdominal Hernia,414474001
J33z100,Incisional hernia NOS,Abdominal Hernia,236037000
J33z200,Epigastric hernia NOS,Abdominal Hernia,289260002
25P2.00,O/E - reducible hernia,Abdominal Hernia,163317009
J35..00,Gluteal hernia,Abdominal Hernia,196915008
J36..00,Ischiorectal hernia,Abdominal Hernia,415074004
J37..00,Lumbar hernia,Abdominal Hernia,23344004
J373.00,Simple lumbar hernia,Abdominal Hernia,196929009
J37y.00,Unspecified lumbar hernia,Abdominal Hernia,23344004
J37z.00,Lumbar hernia NOS,Abdominal Hernia,23344004
J381.00,Obturator hernia with obstruction,Abdominal Hernia,61456005
J383.00,Simple obturator hernia,Abdominal Hernia,196934008
J38z.00,Obturator hernia NOS,Abdominal Hernia,60627008
J3A..00,Sciatic hernia,Abdominal Hernia,70911004
J3B..00,Retroperitoneal hernia,Abdominal Hernia,87781009
J3B3.00,Simple retroperitoneal hernia,Abdominal Hernia,196951001
J3C..00,Spigelian hernia,Abdominal Hernia,290187002
J3C0.00,Spigelian hernia with gangrene,Abdominal Hernia,196955005
J3C1.00,Spigelian hernia with obstruction,Abdominal Hernia,196956006
J3C3.00,Simple Spigelian hernia,Abdominal Hernia,196958007
J3Cy.00,Unspecified Spigelian hernia,Abdominal Hernia,290187002
J3Cz.00,Spigelian hernia NOS,Abdominal Hernia,290187002
J3D..00,Perineal hernia,Abdominal Hernia,415074004
J3y..00,Other specified hernias of abdominal cavity,Abdominal Hernia,52515009
J3y0.00,Other specified abdominal cavity hernia with gangrene,Abdominal Hernia,52515009
J3y1.00,Other specified abdominal cavity hernia with obstruction,Abdominal Hernia,52515009
J3y2.00,Other specified abdominal cavity hernia - irreducible,Abdominal Hernia,52515009
J3y3.00,Other specified abdominal cavity hernia - simple,Abdominal Hernia,52515009
J3yy.00,"Other specified abdominal cavity hernia, unspecified",Abdominal Hernia,52515009
J3yz.00,Other specified abdominal cavity hernia NOS,Abdominal Hernia,52515009
J3yz.11,Richter's hernia,Abdominal Hernia,236020007
J3z..00,Abdominal cavity hernia NOS,Abdominal Hernia,52515009
J3z0.00,Unspecified abdominal cavity hernia with gangrene,Abdominal Hernia,52515009
J3z1.00,Unspecified abdominal cavity hernia with obstruction,Abdominal Hernia,8377001
J3z2.00,Unspecified abdominal cavity hernia - irreducible,Abdominal Hernia,52515009
J3z3.00,Unspecified abdominal cavity hernia - simple,Abdominal Hernia,52515009
J3zz.00,Unspecified abdominal cavity hernia NOS,Abdominal Hernia,52515009
Jyu3.00,[X]Hernia,Abdominal Hernia,426211000000106
Jyu3000,"[X]Other specified abdominal hernia+obstruction,w'o gangrene",Abdominal Hernia,52515009
Jyu3200,[X]Oth spcfd abdominal hernia without obstructn or gangrene,Abdominal Hernia,52515009
PG8..00,Congenital inguinal hernia,Abdominal Hernia,429200006
14C3.00,H/O: abdominal hernia,Abdominal Hernia,161533003
25P..12,O/E - hernia,Abdominal Hernia,275959004
25P3.00,O/E - irreducible hernia,Abdominal Hernia,163318004
25P4.00,O/E - strangulated hernia,Abdominal Hernia,163319007
25P5.00,O/E-hernia-cough impulse shown,Abdominal Hernia,163320001
25P6.00,O/E-hernia descends to scrotum,Abdominal Hernia,163321002
7H10.00,Simple excision of inguinal hernial sac,Abdominal Hernia,177854007
7H10y00,Other specified simple excision of inguinal hernial sac,Abdominal Hernia,177854007
7H10z00,Simple excision of inguinal hernial sac NOS,Abdominal Hernia,177854007
7H11.00,Primary repair of inguinal hernia,Abdominal Hernia,177860007
7H11000,Primary repair inguinal hernia using insert natural material,Abdominal Hernia,177861006
7H11100,Prim repair inguinal hernia using insert prosthet material,Abdominal Hernia,177862004
7H11111,Primary mesh repair of inguinal hernia,Abdominal Hernia,177862004
7H11200,Primary repair of inguinal hernia using sutures,Abdominal Hernia,274955000
7H11211,Bassini repair of inguinal hernia,Abdominal Hernia,275238003
7H11212,Ferguson repair of inguinal hernia,Abdominal Hernia,44558001
7H11213,McVay repair of inguinal hernia,Abdominal Hernia,44558001
7H11214,Shouldice repair of inguinal hernia,Abdominal Hernia,275239006
7H11400,Endoscopic primary repair of inguinal hernia,Abdominal Hernia,177865002
7H11500,Bilateral inguinal hernia repair,Abdominal Hernia,177866001
7H11600,Primary laparoscopic repair of inguinal hernia,Abdominal Hernia,413146008
