SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111366003,Paraumbilical hernia with gangrene,Abdominal Hernia,,['Lauren_codelist']
161533003,H/O: abdominal hernia,Abdominal Hernia,,['Lauren_codelist']
163317009,O/E - reducible hernia,Abdominal Hernia,,['Lauren_codelist']
163318004,O/E - irreducible hernia,Abdominal Hernia,,['Lauren_codelist']
163319007,O/E - strangulated hernia,Abdominal Hernia,,['Lauren_codelist']
163320001,O/E-hernia-cough impulse shown,Abdominal Hernia,,['Lauren_codelist']
163321002,O/E-hernia descends to scrotum,Abdominal Hernia,,['Lauren_codelist']
177854007,Other specified simple excision of inguinal hernial sac,Abdominal Hernia,,['Lauren_codelist']
177854007,Simple excision of inguinal hernial sac,Abdominal Hernia,,['Lauren_codelist']
177854007,Simple excision of inguinal hernial sac NOS,Abdominal Hernia,,['Lauren_codelist']
177860007,Other specified primary repair of inguinal hernia,Abdominal Hernia,,['Lauren_codelist']
177860007,Primary repair of inguinal hernia,Abdominal Hernia,,['Lauren_codelist']
177860007,Primary repair of inguinal hernia NOS,Abdominal Hernia,,['Lauren_codelist']
177861006,Primary repair inguinal hernia using insert natural material,Abdominal Hernia,,['Lauren_codelist']
177862004,Prim repair inguinal hernia using insert prosthet material,Abdominal Hernia,,['Lauren_codelist']
177862004,Primary mesh repair of inguinal hernia,Abdominal Hernia,,['Lauren_codelist']
177865002,Endoscopic primary repair of inguinal hernia,Abdominal Hernia,,['Lauren_codelist']
177866001,Bilateral inguinal hernia repair,Abdominal Hernia,,['Lauren_codelist']
177869008,Repair recurr inguinal hernia using insert natural material,Abdominal Hernia,,['Lauren_codelist']
177871008,Repair of recurrent inguinal hernia using sutures,Abdominal Hernia,,['Lauren_codelist']
177872001,Removal prosthet material fr previous repair inguinal hernia,Abdominal Hernia,,['Lauren_codelist']
177879005,Endoscopic primary repair of femoral hernia,Abdominal Hernia,,['Lauren_codelist']
177884004,Repair of recurrent femoral hernia using sutures,Abdominal Hernia,,['Lauren_codelist']
177890000,Remov prosthet material fr previous repair umbilical hernia,Abdominal Hernia,,['Lauren_codelist']
177893003,Other specified primary repair of incisional hernia,Abdominal Hernia,,['Lauren_codelist']
177893003,Primary repair of incisional hernia,Abdominal Hernia,,['Lauren_codelist']
177893003,Primary repair of incisional hernia NOS,Abdominal Hernia,,['Lauren_codelist']
177895005,Primary mesh repair of incisional hernia,Abdominal Hernia,,['Lauren_codelist']
177896006,Primary repair of incisional hernia using sutures,Abdominal Hernia,,['Lauren_codelist']
177899004,Herniorrhaphy for recurrent incisional hernia,Abdominal Hernia,,['Lauren_codelist']
177899004,Other specified repair of recurrent incisional hernia,Abdominal Hernia,,['Lauren_codelist']
177899004,Repair of recurrent incisional hernia,Abdominal Hernia,,['Lauren_codelist']
177899004,Repair of recurrent incisional hernia NOS,Abdominal Hernia,,['Lauren_codelist']
177902001,Repair of recurrent incisional hernia using sutures,Abdominal Hernia,,['Lauren_codelist']
177907007,Repair of ventral hernia using insert of natural material,Abdominal Hernia,,['Lauren_codelist']
18253009,Unilateral recurrent inguinal hernia with obstruction,Abdominal Hernia,,['Lauren_codelist']
18378006,Incisional hernia with gangrene,Abdominal Hernia,,['Lauren_codelist']
19273005,Herniorrhaphy for recurrent inguinal hernia,Abdominal Hernia,,['Lauren_codelist']
19273005,Other specified repair of recurrent inguinal hernia,Abdominal Hernia,,['Lauren_codelist']
