SnomedCTConceptId,Term,Disease,Otherinstructions,origin
10954006,Tropical acne,Acne,,['Lauren_codelist']
11381005,Other acne,Acne,,['Lauren_codelist']
11381005,Other acne NOS,Acne,,['Lauren_codelist']
11381005,"[X]Acne, unspecified",Acne,,['Lauren_codelist']
11381005,[X]Other acne,Acne,,['Lauren_codelist']
13277001,Cystic acne,Acne,,['Lauren_codelist']
201215003,Bromine acne,Acne,,['Lauren_codelist']
201217006,Iodine acne,Acne,,['Lauren_codelist']
201218001,Colloid acne,Acne,,['Lauren_codelist']
201220003,Occupational acne,Acne,,['Lauren_codelist']
201222006,Steroid acne,Acne,,['Lauren_codelist']
238744006,Comedo,Acne,,['Lauren_codelist']
238752009,Acne agminata,Acne,,['Lauren_codelist']
23894009,Acne frontalis,Acne,,['Lauren_codelist']
23894009,Acne varioliformis,Acne,,['Lauren_codelist']
23894009,Acne varioliformis NOS,Acne,,['Lauren_codelist']
247459000,Acne scar,Acne,,['Lauren_codelist']
247467008,Blackhead,Acne,,['Lauren_codelist']
403357002,Giant comedo,Acne,,['Lauren_codelist']
42228007,Acne conglobata,Acne,,['Lauren_codelist']
45072005,Acne necrotica,Acne,,['Lauren_codelist' 'Lauren_codelist']
4659007,Acne fulminans,Acne,,['Lauren_codelist']
59172008,Pustular acne,Acne,,['Lauren_codelist']
60684003,"SAPHO syndrome Synov, Acne, Pustul, Hyperost, Osteomyelitis",Acne,,['Lauren_codelist']
83684005,Chlorine acne,Acne,,['Lauren_codelist']
88616000,Acne vulgaris,Acne,,['Lauren_codelist']
