SnomedCTConceptId,Term,Disease,Otherinstructions,origin
161524000,H/O: hay fever,Allergic And Chronic rhinitis,,['Lauren_codelist']
195765002,Chronic simple rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
195768000,Chronic hypertrophic rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
195769008,Chronic atrophic rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
195770009,Chronic infective rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
195771008,Chronic ulcerative rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
195772001,Chronic membranous rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
195773006,Chronic fibrinous rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
21719001,Allergic rhinitis due to pollens,Allergic And Chronic rhinitis,,['Lauren_codelist']
21719001,Hay fever - other allergen,Allergic And Chronic rhinitis,,['Lauren_codelist']
21719001,Hay fever - pollens,Allergic And Chronic rhinitis,,['Lauren_codelist']
21719001,Hay fever - unspecified allergen,Allergic And Chronic rhinitis,,['Lauren_codelist']
21719001,Pollinosis,Allergic And Chronic rhinitis,,['Lauren_codelist']
232346004,Cat allergy,Allergic And Chronic rhinitis,,['Lauren_codelist']
232347008,Dander (animal) allergy,Allergic And Chronic rhinitis,,['Lauren_codelist']
232348003,Feather allergy,Allergic And Chronic rhinitis,,['Lauren_codelist']
232349006,House dust allergy,Allergic And Chronic rhinitis,,['Lauren_codelist']
232350006,House dust mite allergy,Allergic And Chronic rhinitis,,['Lauren_codelist']
233683003,Hay fever with asthma,Allergic And Chronic rhinitis,,['Lauren_codelist']
266342009,Chronic catarrhal rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
367498001,[X]Other seasonal allergic rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
40055000,Chronic rhinosinusitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
419271008,Dog allergy,Allergic And Chronic rhinitis,,['Lauren_codelist']
446096008,Perennial rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
61582004,Allergic rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
61582004,Allergic rhinitis NOS,Allergic And Chronic rhinitis,,['Lauren_codelist']
61582004,Allergic rhinitis due to other allergens,Allergic And Chronic rhinitis,,['Lauren_codelist']
61582004,Allergic rhinitis due to unspecified allergen,Allergic And Chronic rhinitis,,['Lauren_codelist']
61582004,Allergic rhinosinusitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
61582004,[X]Other allergic rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
717234006,Allergy to animal,Allergic And Chronic rhinitis,,['Lauren_codelist']
8229003,Vasomotor rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
86094006,Chronic rhinitis,Allergic And Chronic rhinitis,,['Lauren_codelist']
86094006,Chronic rhinitis NOS,Allergic And Chronic rhinitis,,['Lauren_codelist']
