SnomedCTConceptId,Term,Disease,Otherinstructions,origin
10259007,Fixation of rectum for prolapse NOS,Anorectal Prolapse,,['Lauren_codelist']
10259007,Other specified fixation of rectum for prolapse,Anorectal Prolapse,,['Lauren_codelist']
111363006,Anal prolapse,Anorectal Prolapse,,['Lauren_codelist']
12092003,Other abdominal operation for rectal prolapse NOS,Anorectal Prolapse,,['Lauren_codelist']
12092003,Other abdominal operation for rectal prolapse OS,Anorectal Prolapse,,['Lauren_codelist']
174286001,Other specified perineal operation for rectal prolapse,Anorectal Prolapse,,['Lauren_codelist']
174286001,Perineal operation for rectal prolapse NOS,Anorectal Prolapse,,['Lauren_codelist']
197213004,Complete rectal prolapse,Anorectal Prolapse,,['Lauren_codelist']
265411006,Partial excision of rectum and sigmoid colon for prolapse OS,Anorectal Prolapse,,['Lauren_codelist']
286041000000106,Rectal mucosa prolapse,Anorectal Prolapse,,['Lauren_codelist']
57773001,Procidentia - anus and/or rectum,Anorectal Prolapse,,['Lauren_codelist']
57773001,Proctoptosis,Anorectal Prolapse,,['Lauren_codelist']
57773001,Rectal prolapse,Anorectal Prolapse,,['Lauren_codelist']
57773001,Rectal prolapse NOS,Anorectal Prolapse,,['Lauren_codelist']
71663002,Partial rectal prolapse,Anorectal Prolapse,,['Lauren_codelist']
75894009,Delorme repair of rectum for prolapse,Anorectal Prolapse,,['Lauren_codelist']
