SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111475002,Neurotic disorder NOS,Anxiety,,['Lauren_codelist']
111475002,Neurotic disorders,Anxiety,,['Lauren_codelist']
111475002,Other neurotic disorder NOS,Anxiety,,['Lauren_codelist']
111475002,Other neurotic disorders,Anxiety,,['Lauren_codelist']
11806006,Separation anxiety disorder,Anxiety,,['efi']
162189001,General nervous symptoms,Anxiety,,['efi']
17496003,[X]Organic anxiety disorder,Anxiety,,['efi']
183399002,Antiphobic therapy,Anxiety,,['Lauren_codelist']
191708009,Chronic anxiety,Anxiety,,['Lauren_codelist' 'efi']
191709001,Recurrent anxiety,Anxiety,,['Lauren_codelist' 'efi']
191722009,Agoraphobia with panic attacks,Anxiety,,['Lauren_codelist']
197480006,Anxiety states,Anxiety,,['Lauren_codelist' 'efi']
197480006,"[X]Anxiety disorder, unspecified",Anxiety,,['Lauren_codelist']
197480006,[X]Other anxiety disorders,Anxiety,,['Lauren_codelist']
197480006,[X]Other specified anxiety disorders,Anxiety,,['Lauren_codelist']
198288003,Anxiety state NOS,Anxiety,,['Lauren_codelist']
198288003,Anxiety state unspecified,Anxiety,,['Lauren_codelist']
198288003,Anxiety states,Anxiety,,['efi']
199101000000102,Referral for guided self-help for anxiety,Anxiety,,['Lauren_codelist' 'efi']
207363009,Generalised anxiety disorder,Anxiety,,['efi']
207363009,[X]Anxiety neurosis,Anxiety,,['Lauren_codelist']
21897009,Generalised anxiety disorder,Anxiety,,['Lauren_codelist' 'efi']
21897009,[X]Generalized anxiety disorder,Anxiety,,['Lauren_codelist']
225216003,Acknowledging anxiety,Anxiety,,['efi']
225624000,Panic attack,Anxiety,,['Lauren_codelist' 'efi']
225977007,Alleviating anxiety,Anxiety,,['efi']
228560001,Anxiety management training,Anxiety,,['Lauren_codelist' 'efi']
231504006,Anxiety with depression,Anxiety,,['efi']
231504006,[X]Other mixed anxiety disorders,Anxiety,,['Lauren_codelist']
231504006,[X]Persistant anxiety depression,Anxiety,,['Lauren_codelist']
25501002,[X]Social phobias,Anxiety,,['Lauren_codelist']
263897001,Tenseness - symptom,Anxiety,,['efi']
268957000,"Neurotic condition, insight present",Anxiety,,['Lauren_codelist']
268958005,Poor insight into neurotic condition,Anxiety,,['Lauren_codelist']
313087008,Anxiety counselling,Anxiety,,['efi']
33693007,Compensation neurosis,Anxiety,,['Lauren_codelist']
371631005,Panic disorder,Anxiety,,['Lauren_codelist' 'efi']
371631005,[X]Panic disorder [episodic paroxysmal anxiety],Anxiety,,['Lauren_codelist']
386808001,Phobia unspecified,Anxiety,,['Lauren_codelist']
386810004,Phobic disorder NOS,Anxiety,,['Lauren_codelist']
386810004,[X]Other phobic anxiety disorders,Anxiety,,['Lauren_codelist']
386810004,"[X]Phobic anxiety disorder, unspecified",Anxiety,,['Lauren_codelist']
386810004,[X]Phobic anxiety disorders,Anxiety,,['Lauren_codelist']
391261000000100,[V]Personal history of neurosis,Anxiety,,['Lauren_codelist']
395017009,C/O - panic attack,Anxiety,,['Lauren_codelist' 'efi']
402941000000109,[X]Other anxiety disorders,Anxiety,,['efi']
414371008,H/O: agoraphobia,Anxiety,,['Lauren_codelist']
417620007,O/E - fearful mood,Anxiety,,['Lauren_codelist']
417676004,O/E - panic attack,Anxiety,,['Lauren_codelist' 'efi']
424196004,"""Nerves"" - nervousness",Anxiety,,['efi']
48694002,Anxiousness,Anxiety,,['efi']
58963008,Acrophobia,Anxiety,,['Lauren_codelist']
61569007,Agoraphobia without mention of panic attacks,Anxiety,,['Lauren_codelist']
702535006,Anxiety about breathlessness,Anxiety,,['efi']
74732009,[X]Anxiety hysteria,Anxiety,,['efi']
78667006,[X]Neurotic depression,Anxiety,,['Lauren_codelist']
78667006,[X]Persistant anxiety depression,Anxiety,,['efi']
79015004,Worried,Anxiety,,['efi']
908541000000103,Patient given advice about management of anxiety,Anxiety,,['efi']
933461000000100,Referral for guided self-help for anxiety declined,Anxiety,,['efi']
