SnomedCTConceptId,Term,Disease,Otherinstructions,origin
103014001,Cervical nerve root pain,Back pain,,['efi']
103015000,Thoracic nerve root pain,Back pain,,['efi']
11679003,Nerve root pain,Back pain,,['efi']
134407002,Chronic back pain,Back pain,,['efi']
161882006,Stiff neck,Back pain,,['efi']
161891005,Backache,Back pain,,['efi']
161893008,Back pain worse on sneezing,Back pain,,['efi']
161894002,C/O - low back pain,Back pain,,['efi']
183868005,Referral to back pain clinic,Back pain,,['efi']
202487003,Sacroiliac joint pain,Back pain,,['efi']
202707000,Prolapsed thoracic intervertebral disc without myelopathy,Back pain,,['efi']
202708005,Prolapsed lumbar intervertebral disc,Back pain,,['efi']
202728009,Disc prolapse with myelopathy,Back pain,,['efi']
202729001,Cervical disc prolapse with myelopathy,Back pain,,['efi']
202730006,Thoracic disc prolapse with myelopathy,Back pain,,['efi']
202732003,Disc prolapse with radiculopathy,Back pain,,['efi']
202733008,Cervical disc prolapse with radiculopathy,Back pain,,['efi']
202734002,Thoracic disc prolapse with radiculopathy,Back pain,,['efi']
202736000,Lumbar disc prolapse with cauda equina compression,Back pain,,['efi']
23056005,Acute back pain &/or sciatica,Back pain,,['efi']
239880009,Lumbar spondylosis,Back pain,,['efi']
240213002,Prolapsed intervertebral disc without myelopathy,Back pain,,['efi']
240215009,Prolapsed cervical intervertebral disc,Back pain,,['efi']
247366003,Acute back pain &/or sciatica,Back pain,,['efi']
247368002,Posterior compartment low back pain,Back pain,,['efi']
247369005,Facet joint pain,Back pain,,['efi']
26538006,Lumbar disc degeneration,Back pain,,['efi']
267981009,Thoracic pain: [spine] or [acute back],Back pain,,['efi']
267982002,(Back pain:[lumb sp][low][ac lum]) or (lumbalg) or (lumbago),Back pain,,['efi']
275316003,O/E - lumbar pain on palpation,Back pain,,['efi']
278860009,Chronic low back pain,Back pain,,['efi']
278862001,(Back pain:[lumb sp][low][ac lum]) or (lumbalg) or (lumbago),Back pain,,['efi']
279029001,Pain in neck (& [cervical spine]),Back pain,,['efi']
279035001,Thoracic pain: [spine] or [acute back],Back pain,,['efi']
279038004,Thoracic back pain,Back pain,,['efi']
279039007,(Back pain:[lumb sp][low][ac lum]) or (lumbalg) or (lumbago),Back pain,,['efi']
279040009,Mechanical low back pain,Back pain,,['efi']
279063004,Lumbar facet joint pain,Back pain,,['efi']
298253002,Cervical facet joint pain,Back pain,,['efi']
298254008,Thoracic facet joint pain,Back pain,,['efi']
298478001,Cervical spine - painful on movement,Back pain,,['efi']
298579007,Thoracic spine - painful on movement,Back pain,,['efi']
298674008,Lumbar spine - painful on movement,Back pain,,['efi']
300957005,Postural low back pain,Back pain,,['efi']
311804006,Prolapsed lumbar intervertebral disc with sciatica,Back pain,,['efi']
48926009,Pain in spine,Back pain,,['efi']
61486003,Sacral back pain,Back pain,,['efi']
73589001,Prolapsed intervertebral disc,Back pain,,['efi']
81680005,Pain in neck (& [cervical spine]),Back pain,,['efi']
8847002,Spondylosis,Back pain,,['efi']
