SnomedCTConceptId,Term,Disease,Otherinstructions,origin
250538001,Dyskaryosis on cervical smear,Carcinoma in situ_Cervical,,['Lauren_codelist']
250538001,[D]Dyskaryotic cervical smear,Carcinoma in situ_Cervical,,['Lauren_codelist']
285636001,Cervical intraepithelial neoplasia,Carcinoma in situ_Cervical,,['Lauren_codelist']
285836003,Cervical intraepithelial neoplasia grade I,Carcinoma in situ_Cervical,,['Lauren_codelist']
285836003,Mild cervical dysplasia,Carcinoma in situ_Cervical,,['Lauren_codelist']
285838002,Cervical intraepithelial neoplasia grade II,Carcinoma in situ_Cervical,,['Lauren_codelist']
285838002,Moderate cervical dysplasia,Carcinoma in situ_Cervical,,['Lauren_codelist']
472967002,"[V]PH of cervical intraepithelial neoplasia, grade I",Carcinoma in situ_Cervical,,['Lauren_codelist']
472967002,[V]Personal history of mild cervical dysplasia,Carcinoma in situ_Cervical,,['Lauren_codelist']
472967002,[V]Personal history of moderate cervical dysplasia,Carcinoma in situ_Cervical,,['Lauren_codelist']
472967002,[V]Personal history of severe cervical dysplasia,Carcinoma in situ_Cervical,,['Lauren_codelist']
53445000,Epidermidization of cervix,Carcinoma in situ_Cervical,,['Lauren_codelist']
73391008,Dysplasia of cervix NOS,Carcinoma in situ_Cervical,,['Lauren_codelist']
73391008,Dysplasia of cervix uteri,Carcinoma in situ_Cervical,,['Lauren_codelist']
80914001,Anaplasia of cervix,Carcinoma in situ_Cervical,,['Lauren_codelist']
880941000000101,Cervical smear - low grade dyskaryosis,Carcinoma in situ_Cervical,,['Lauren_codelist']
887481000000104,Cervical smear - high grade dyskaryosis (moderate),Carcinoma in situ_Cervical,,['Lauren_codelist']
887601000000107,Cervical smear - ?endocervical type glandular neoplasia,Carcinoma in situ_Cervical,,['Lauren_codelist']
92564006,CIN III - carcinoma in situ of cervix,Carcinoma in situ_Cervical,,['Lauren_codelist']
92564006,Carcinoma in situ of cervix uteri,Carcinoma in situ_Cervical,,['Lauren_codelist']
92564006,Cervical intraepithelial neoplasia grade III,Carcinoma in situ_Cervical,,['Lauren_codelist']
92564006,[X]Carcinoma in situ of other parts of cervix,Carcinoma in situ_Cervical,,['Lauren_codelist']
92580001,Carcinoma in situ of endocervix,Carcinoma in situ_Cervical,,['Lauren_codelist']
92588008,Carcinoma in situ of exocervix,Carcinoma in situ_Cervical,,['Lauren_codelist']
