SnomedCTConceptId,Term,Disease,Otherinstructions,origin
128188000,Cerebral palsy,Cerebral palsy,,['Lauren_codelist']
128188000,Congenital cerebral palsy,Cerebral palsy,,['Lauren_codelist']
128188000,Congenital cerebral palsy NOS,Cerebral palsy,,['Lauren_codelist']
128188000,Infantile cerebral palsy,Cerebral palsy,,['Lauren_codelist']
128188000,Other congenital cerebral palsy,Cerebral palsy,,['Lauren_codelist']
128188000,Other infantile cerebral palsy NOS,Cerebral palsy,,['Lauren_codelist']
128188000,[X]Other infantile cerebral palsy,Cerebral palsy,,['Lauren_codelist']
1593000,Congenital hemiplegia,Cerebral palsy,,['Lauren_codelist']
1593000,Infantile hemiplegia NOS,Cerebral palsy,,['Lauren_codelist']
16171003,Double athetosis,Cerebral palsy,,['Lauren_codelist']
192949002,Congenital paraplegia,Cerebral palsy,,['Lauren_codelist']
192958009,Flaccid infantile cerebral palsy,Cerebral palsy,,['Lauren_codelist']
193497004,Vogt's disease,Cerebral palsy,,['Lauren_codelist']
230773005,Congenital spastic cerebral palsy,Cerebral palsy,,['Lauren_codelist']
230773005,Spastic cerebral palsy,Cerebral palsy,,['Lauren_codelist']
230779009,Congenital spastic foot,Cerebral palsy,,['Lauren_codelist']
230780007,Dyskinetic cerebral palsy,Cerebral palsy,,['Lauren_codelist']
275468009,Congenital quadriplegia,Cerebral palsy,,['Lauren_codelist']
275468009,Tetraplegia - congenital,Cerebral palsy,,['Lauren_codelist']
278512001,Ataxic infantile cerebral palsy,Cerebral palsy,,['Lauren_codelist']
307355007,Athetosis - congenital,Cerebral palsy,,['Lauren_codelist']
307355007,Congenital athetosis,Cerebral palsy,,['Lauren_codelist']
307756005,"Cerebral palsy, not congenital or infantile, acute",Cerebral palsy,,['Lauren_codelist']
408371000000100,[X]Cerebral palsy and other paralytic syndromes,Cerebral palsy,,['Lauren_codelist']
56409008,Congenital monoplegia,Cerebral palsy,,['Lauren_codelist']
58193001,Ataxic diplegic cerebral palsy,Cerebral palsy,,['Lauren_codelist']
58193001,Congenital diplegia,Cerebral palsy,,['Lauren_codelist']
58193001,Congenital diplegia NOS,Cerebral palsy,,['Lauren_codelist']
716335003,Congenital suprabulbar paresis,Cerebral palsy,,['Lauren_codelist']
75019001,Athetoid cerebral palsy,Cerebral palsy,,['Lauren_codelist']
885831000000109,Choreoathetoid cerebral palsy,Cerebral palsy,,['Lauren_codelist']
