SnomedCTConceptId,Term,Disease,Otherinstructions,origin
168036006,O/E: gall stone,Cholelithiasis,,['Lauren_codelist']
197377009,Gallbladder calculus with acute cholecystitis +no obstruct,Cholelithiasis,,['Lauren_codelist']
197389006,Bile duct calculus with acute cholecystitis,Cholelithiasis,,['Lauren_codelist']
197390002,Bile duct calculus + acute cholecystitis and no obstruction,Cholelithiasis,,['Lauren_codelist']
197402000,Calculus of bile duct with cholangitis,Cholelithiasis,,['Lauren_codelist']
235919008,Gallbladder calculus,Cholelithiasis,,['Lauren_codelist']
235919008,Gallbladder calculus without mention of cholecystitis,Cholelithiasis,,['Lauren_codelist']
235919008,Gallstones,Cholelithiasis,,['Lauren_codelist']
235941008,Gallstone acute pancreatitis,Cholelithiasis,,['Lauren_codelist']
235951009,Gallstone chronic pancreatitis,Cholelithiasis,,['Lauren_codelist']
25924004,Gallbladder calculus with other cholecystitis,Cholelithiasis,,['Lauren_codelist']
266474003,Calculus - biliary,Cholelithiasis,,['Lauren_codelist']
266474003,Cholelithiasis,Cholelithiasis,,['Lauren_codelist']
266474003,Cholelithiasis NOS,Cholelithiasis,,['Lauren_codelist']
266474003,Stone - biliary,Cholelithiasis,,['Lauren_codelist']
266474003,[X]Other cholelithiasis,Cholelithiasis,,['Lauren_codelist']
30093007,Bile duct calculus NOS,Cholelithiasis,,['Lauren_codelist']
30093007,Bile duct calculus with other cholecystitis,Cholelithiasis,,['Lauren_codelist']
30093007,Bile duct calculus without mention of cholecystitis,Cholelithiasis,,['Lauren_codelist']
30093007,Choledocholithiasis,Cholelithiasis,,['Lauren_codelist']
37389005,Biliary colic,Cholelithiasis,,['Lauren_codelist']
37976006,Gallstone ileus,Cholelithiasis,,['Lauren_codelist']
407637009,H/O: gall stones,Cholelithiasis,,['Lauren_codelist']
59771005,Gallbladder calculus with acute cholecystitis,Cholelithiasis,,['Lauren_codelist']
70342003,Cholelithiasis without obstruction NOS,Cholelithiasis,,['Lauren_codelist']
77528005,Cholelithiasis with obstruction NOS,Cholelithiasis,,['Lauren_codelist']
869671000000109,On gallstone care pathway,Cholelithiasis,,['Lauren_codelist']
