SnomedCTConceptId,Term,Disease,Otherinstructions,origin
123700004,Pustular eczema,Chronic Dermatitis Eczema,,['Lauren_codelist' 'Lauren_codelist']
161561009,H/O: eczema,Chronic Dermatitis Eczema,,['Lauren_codelist']
200767005,Pityriasis simplex,Chronic Dermatitis Eczema,,['Lauren_codelist']
200773006,Besnier's prurigo,Chronic Dermatitis Eczema,,['Lauren_codelist']
200892002,Generalized skin eruption due to drugs and medicaments,Chronic Dermatitis Eczema,,['Lauren_codelist']
200948000,Pityriasis rubra (Hebra),Chronic Dermatitis Eczema,,['Lauren_codelist']
201015007,Prurigo aestivalis,Chronic Dermatitis Eczema,,['Lauren_codelist']
201017004,Prurigo mitis,Chronic Dermatitis Eczema,,['Lauren_codelist']
201020007,Lichenification and lichen simplex chronicus,Chronic Dermatitis Eczema,,['Lauren_codelist']
201077008,Asteatotic eczema,Chronic Dermatitis Eczema,,['Lauren_codelist']
201201000,Podopompholyx,Chronic Dermatitis Eczema,,['Lauren_codelist']
238539001,Hand eczema,Chronic Dermatitis Eczema,,['Lauren_codelist']
238585003,Brocq's neurodermatitis,Chronic Dermatitis Eczema,,['Lauren_codelist']
238585003,Neurodermatitis - diffuse,Chronic Dermatitis Eczema,,['Lauren_codelist']
24079001,Atopic dermatitis NOS,Chronic Dermatitis Eczema,,['Lauren_codelist']
24079001,Atopic dermatitis and related conditions,Chronic Dermatitis Eczema,,['Lauren_codelist']
267854005,Neurodermatitis circumscripta,Chronic Dermatitis Eczema,,['Lauren_codelist']
3014005,Cutaneous autosensitization,Chronic Dermatitis Eczema,,['Lauren_codelist']
36070007,Thrombocytopenic eczema with immunodeficiency,Chronic Dermatitis Eczema,,['Lauren_codelist']
400005007,Erythrodermic eczema,Chronic Dermatitis Eczema,,['Lauren_codelist']
400028008,Menstrual dermatosis,Chronic Dermatitis Eczema,,['Lauren_codelist']
400079002,Infected eczema,Chronic Dermatitis Eczema,,['Lauren_codelist']
402237006,Lichenification NOS,Chronic Dermatitis Eczema,,['Lauren_codelist']
402296004,Pityriasis alba,Chronic Dermatitis Eczema,,['Lauren_codelist']
402567004,Dyshidrosis,Chronic Dermatitis Eczema,,['Lauren_codelist']
402567004,Dyshidrosis NOS,Chronic Dermatitis Eczema,,['Lauren_codelist']
402567004,Dyshidrosis unspecified,Chronic Dermatitis Eczema,,['Lauren_codelist']
402567004,Pompholyx unspecified,Chronic Dermatitis Eczema,,['Lauren_codelist']
40275004,Contact dermatitis NOS,Chronic Dermatitis Eczema,,['Lauren_codelist']
414492009,Infectious eczematoid dermatitis,Chronic Dermatitis Eczema,,['Lauren_codelist']
43116000,Eczema NOS,Chronic Dermatitis Eczema,,['Lauren_codelist']
479281000000106,[X]Dermatitis and eczema,Chronic Dermatitis Eczema,,['Lauren_codelist']
53891004,Lichen simplex,Chronic Dermatitis Eczema,,['Lauren_codelist' 'Lauren_codelist']
54272002,Acute eczematoid otitis extern,Chronic Dermatitis Eczema,,['Lauren_codelist']
55608001,Prurigo simplex,Chronic Dermatitis Eczema,,['Lauren_codelist']
57092006,Flexural eczema,Chronic Dermatitis Eczema,,['Lauren_codelist']
64144002,Prurigo,Chronic Dermatitis Eczema,,['Lauren_codelist']
64144002,Prurigo NOS,Chronic Dermatitis Eczema,,['Lauren_codelist']
703938007,Dermatitis NOS,Chronic Dermatitis Eczema,,['Lauren_codelist']
703938007,Dermatitis/dermatoses,Chronic Dermatitis Eczema,,['Lauren_codelist']
81418003,Nummular dermatitis,Chronic Dermatitis Eczema,,['Lauren_codelist']
93423006,Eczematous eyelid dermatitis,Chronic Dermatitis Eczema,,['Lauren_codelist']
95812002,Eczema of external ear,Chronic Dermatitis Eczema,,['Lauren_codelist']
