SnomedCTConceptId,Term,Disease,Otherinstructions,origin
203082005,Fibromyalgia,Chronic Fatigue Syndrome,,['Lauren_codelist' 'Lauren_codelist']
203104007,Fibrositis of neck,Chronic Fatigue Syndrome,,['Lauren_codelist']
203105008,Fibrositis arm,Chronic Fatigue Syndrome,,['Lauren_codelist']
372601000000101,Activity management for chronic fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
372601000000101,Activity management for myalgic encephalopathy,Chronic Fatigue Syndrome,,['Lauren_codelist']
377161000000108,Severe chronic fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
377171000000101,Moderate chronic fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
377181000000104,Mild chronic fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
51771007,PVFS - Postviral fatigue syn,Chronic Fatigue Syndrome,,['Lauren_codelist']
51771007,Post-viral fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
51771007,Postviral fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
51771007,[D]Post viral debility,Chronic Fatigue Syndrome,,['Lauren_codelist']
51771007,[D]Postviral (asthenic) syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
522991000000100,Referral for chronic fatigue syndrome activity management,Chronic Fatigue Syndrome,,['Lauren_codelist']
522991000000100,Referral for myalgic encephalopathy activity management,Chronic Fatigue Syndrome,,['Lauren_codelist']
52702003,CFS - Chronic fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
52702003,Chronic fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
52702003,ME - Myalgic encephalomyelitis,Chronic Fatigue Syndrome,,['Lauren_codelist']
52702003,Myalgic encephalomyelitis,Chronic Fatigue Syndrome,,['Lauren_codelist' 'Lauren_codelist']
56557000,Fibrositis unspecified,Chronic Fatigue Syndrome,,['Lauren_codelist']
78667006,Neurasthenia - nervous debility,Chronic Fatigue Syndrome,,['Lauren_codelist']
78667006,[X]Neurasthenia,Chronic Fatigue Syndrome,,['Lauren_codelist']
84229001,[X]Fatigue syndrome,Chronic Fatigue Syndrome,,['Lauren_codelist']
