SnomedCTConceptId,Term,Disease,Otherinstructions,origin
195788001,Recurrent sinusitis,Chronic Sinusitis,,['Lauren_codelist']
195790000,Pansinusitis,Chronic Sinusitis,,['Lauren_codelist']
35923002,Chronic maxillary sinusitis,Chronic Sinusitis,,['Lauren_codelist']
36971009,Sinusitis,Chronic Sinusitis,,['Lauren_codelist']
38961000,Chronic sphenoidal sinusitis,Chronic Sinusitis,,['Lauren_codelist']
40055000,Chronic sinusitis,Chronic Sinusitis,,['Lauren_codelist']
40055000,Chronic sinusitis NOS,Chronic Sinusitis,,['Lauren_codelist']
40055000,Other chronic sinusitis,Chronic Sinusitis,,['Lauren_codelist']
40055000,Other chronic sinusitis NOS,Chronic Sinusitis,,['Lauren_codelist']
40055000,[X]Other chronic sinusitis,Chronic Sinusitis,,['Lauren_codelist']
60130002,Chronic frontal sinusitis,Chronic Sinusitis,,['Lauren_codelist']
73237007,Chronic ethmoidal sinusitis,Chronic Sinusitis,,['Lauren_codelist']
78737005,Frontal sinusitis,Chronic Sinusitis,,['Lauren_codelist']
88348008,Maxillary sinusitis,Chronic Sinusitis,,['Lauren_codelist']
88850006,Chronic pansinusitis,Chronic Sinusitis,,['Lauren_codelist']
