SnomedCTConceptId,Term,Disease,Otherinstructions,origin
10347006,Solar urticaria,Chronic Urticaria,,['Lauren_codelist']
123584008,Urticaria persistans,Chronic Urticaria,,['Lauren_codelist']
126485001,Nettle rash,Chronic Urticaria,,['Lauren_codelist']
126485001,Other specified urticaria,Chronic Urticaria,,['Lauren_codelist']
126485001,Other specified urticaria NOS,Chronic Urticaria,,['Lauren_codelist']
126485001,Urticaria,Chronic Urticaria,,['Lauren_codelist']
126485001,Urticaria NOS,Chronic Urticaria,,['Lauren_codelist']
126485001,[X]Other urticaria,Chronic Urticaria,,['Lauren_codelist']
164361006,O/E - weals NOS,Chronic Urticaria,,['Lauren_codelist']
164361006,O/E - weals present,Chronic Urticaria,,['Lauren_codelist' 'Lauren_codelist']
201261003,Urticaria due to cold and heat,Chronic Urticaria,,['Lauren_codelist']
201261003,Urticaria due to cold and heat NOS,Chronic Urticaria,,['Lauren_codelist']
201268009,Urticaria geographica,Chronic Urticaria,,['Lauren_codelist']
201269001,Menstrual urticaria,Chronic Urticaria,,['Lauren_codelist']
247472004,Hives,Chronic Urticaria,,['Lauren_codelist']
40178009,Allergic urticaria,Chronic Urticaria,,['Lauren_codelist']
402305008,Contact urticaria,Chronic Urticaria,,['Lauren_codelist']
402410006,Factitial urticaria,Chronic Urticaria,,['Lauren_codelist']
402601007,Physical urticaria,Chronic Urticaria,,['Lauren_codelist']
42265009,Idiopathic urticaria,Chronic Urticaria,,['Lauren_codelist']
462821000000106,[X]Urticaria and erythema,Chronic Urticaria,,['Lauren_codelist']
51247001,Vibratory urticaria,Chronic Urticaria,,['Lauren_codelist']
62211002,Thermal urticaria,Chronic Urticaria,,['Lauren_codelist']
73098005,Cholinergic urticaria,Chronic Urticaria,,['Lauren_codelist']
74774004,Cold urticaria,Chronic Urticaria,,['Lauren_codelist']
7632005,Dermatographic urticaria,Chronic Urticaria,,['Lauren_codelist']
78745000,Urticaria pigmentosa,Chronic Urticaria,,['Lauren_codelist']
