SnomedCTConceptId,Term,Disease,Otherinstructions,origin
190905008,Cystic fibrosis,Cystic Fibrosis,,['Lauren_codelist']
190905008,Cystic fibrosis NOS,Cystic Fibrosis,,['Lauren_codelist']
190905008,Cystic fibrosis with other manifestations,Cystic Fibrosis,,['Lauren_codelist']
190905008,Fibrocystic disease,Cystic Fibrosis,,['Lauren_codelist']
190905008,Mucoviscidosis,Cystic Fibrosis,,['Lauren_codelist']
190909002,Cystic fibrosis with intestinal manifestations,Cystic Fibrosis,,['Lauren_codelist']
426705001,Cystic fibrosis related diabetes mellitus,Cystic Fibrosis,,['Lauren_codelist']
427022004,Liver disease due to cystic fibrosis,Cystic Fibrosis,,['Lauren_codelist']
515611000000104,Cystic fibrosis monitoring,Cystic Fibrosis,,['Lauren_codelist']
526071000000104,Arthropathy in cystic fibrosis,Cystic Fibrosis,,['Lauren_codelist']
81423003,Cystic fibrosis with no meconium ileus,Cystic Fibrosis,,['Lauren_codelist']
859041000000103,Exacerbation of cystic fibrosis,Cystic Fibrosis,,['Lauren_codelist']
86092005,Cystic fibrosis with meconium ileus,Cystic Fibrosis,,['Lauren_codelist']
86092005,Meconium ileus in cystic fibrosis,Cystic Fibrosis,,['Lauren_codelist']
86555001,Cystic fibrosis with pulmonary manifestations,Cystic Fibrosis,,['Lauren_codelist']
