SnomedCTConceptId,Term,Disease,Otherinstructions,origin
10628591000119103,Irritant contact dermatitis due to other chemical products,Dermatitis atopic contact,,['Lauren_codelist']
10676871000119103,Allergic contact dermatitis due to other chemical products,Dermatitis atopic contact,,['Lauren_codelist']
10676871000119103,[X]Allergic contact dermatitis due to oth chemical products,Dermatitis atopic contact,,['Lauren_codelist']
10901008,Contact dermatitis due to poison-sumac,Dermatitis atopic contact,,['Lauren_codelist']
110979008,Irritant contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
110979008,[X]Irritant contact dermatitis due to oth chemical products,Dermatitis atopic contact,,['Lauren_codelist']
110979008,[X]Irritant contact dermatitis due to other agents,Dermatitis atopic contact,,['Lauren_codelist']
111190006,Contact dermatitis due to phenols,Dermatitis atopic contact,,['Lauren_codelist']
111192003,Contact dermatitis due to insecticide,Dermatitis atopic contact,,['Lauren_codelist']
123700004,Pustular eczema,Dermatitis atopic contact,,['Lauren_codelist' 'Lauren_codelist']
135843006,[X]Exacerbation of eczema,Dermatitis atopic contact,,['Lauren_codelist']
161561009,H/O: eczema,Dermatitis atopic contact,,['Lauren_codelist']
16228891000119105,Contact dermatitis due to metals,Dermatitis atopic contact,,['Lauren_codelist']
17946007,Contact dermatitis due to fungicides,Dermatitis atopic contact,,['Lauren_codelist']
18793008,Contact dermatitis due to fruit,Dermatitis atopic contact,,['Lauren_codelist']
200767005,Pityriasis simplex,Dermatitis atopic contact,,['Lauren_codelist']
200773006,Besnier's prurigo,Dermatitis atopic contact,,['Lauren_codelist']
200775004,Neurodermatitis - atopic,Dermatitis atopic contact,,['Lauren_codelist']
200784004,Contact dermatitis due to chlorocompound,Dermatitis atopic contact,,['Lauren_codelist']
200785003,Contact dermatitis due to cyclohexane,Dermatitis atopic contact,,['Lauren_codelist']
200787006,Contact dermatitis due to glycol,Dermatitis atopic contact,,['Lauren_codelist']
200794009,Contact dermatitis due to keratolytics,Dermatitis atopic contact,,['Lauren_codelist']
200802008,Contact dermatitis due to acids,Dermatitis atopic contact,,['Lauren_codelist']
200804009,Contact dermatitis due to alkalis,Dermatitis atopic contact,,['Lauren_codelist']
200805005,Contact dermatitis due to caustics,Dermatitis atopic contact,,['Lauren_codelist']
200821000,Contact dermatitis due to plants,Dermatitis atopic contact,,['Lauren_codelist']
200821000,Contact dermatitis due to plants NOS,Dermatitis atopic contact,,['Lauren_codelist']
200823002,Contact dermatitis due to poison-ivy,Dermatitis atopic contact,,['Lauren_codelist']
200824008,Contact dermatitis due to poison-oak,Dermatitis atopic contact,,['Lauren_codelist']
200842003,Allergic contact dermatitis due to adhesives,Dermatitis atopic contact,,['Lauren_codelist']
200843008,Allergic contact dermatitis due to cosmetics,Dermatitis atopic contact,,['Lauren_codelist']
200844002,Allergic contact dermatitis due drugs in contact with skin,Dermatitis atopic contact,,['Lauren_codelist']
200845001,Allergic contact dermatitis due to dyes,Dermatitis atopic contact,,['Lauren_codelist']
200847009,Allergic contact dermatitis due to food in contact with skin,Dermatitis atopic contact,,['Lauren_codelist']
200848004,"Allergic contact dermatitis due to plants, except food",Dermatitis atopic contact,,['Lauren_codelist']
200851006,Irritant contact dermatitis due to cosmetics,Dermatitis atopic contact,,['Lauren_codelist']
200852004,Irritant contact dermatitis due drugs in contact with skin,Dermatitis atopic contact,,['Lauren_codelist']
200854003,Irritant contact dermatitis due to food in contact with skin,Dermatitis atopic contact,,['Lauren_codelist']
200855002,"Irritant contact dermatitis due to plants, except food",Dermatitis atopic contact,,['Lauren_codelist']
200871002,Contact dermatitis due to furs,Dermatitis atopic contact,,['Lauren_codelist']
200877003,Contact dermatitis due to preservatives,Dermatitis atopic contact,,['Lauren_codelist']
200879000,Contact dermatitis due to ultra-violet rays (excluding sun),Dermatitis atopic contact,,['Lauren_codelist']
200881003,Contact dermatitis due to casting materials,Dermatitis atopic contact,,['Lauren_codelist']
200890005,Ingestion dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
200890005,Ingestion dermatitis NOS,Dermatitis atopic contact,,['Lauren_codelist']
200890005,Ingestion dermatitis due to other specified substance,Dermatitis atopic contact,,['Lauren_codelist']
200892002,Generalized skin eruption due to drugs and medicaments,Dermatitis atopic contact,,['Lauren_codelist']
200893007,Localized skin eruption due to drugs and medicaments,Dermatitis atopic contact,,['Lauren_codelist']
200895000,Ingestion dermatitis due to food,Dermatitis atopic contact,,['Lauren_codelist']
200948000,Pityriasis rubra (Hebra),Dermatitis atopic contact,,['Lauren_codelist']
201015007,Prurigo aestivalis,Dermatitis atopic contact,,['Lauren_codelist']
201017004,Prurigo mitis,Dermatitis atopic contact,,['Lauren_codelist']
201020007,Lichenification and lichen simplex chronicus,Dermatitis atopic contact,,['Lauren_codelist']
201077008,Asteatotic eczema,Dermatitis atopic contact,,['Lauren_codelist']
201201000,Podopompholyx,Dermatitis atopic contact,,['Lauren_codelist']
23012005,Contact dermatitis due to solvent NOS,Dermatitis atopic contact,,['Lauren_codelist']
23012005,Contact dermatitis due to solvents,Dermatitis atopic contact,,['Lauren_codelist']
237463009,Nipple eczema,Dermatitis atopic contact,,['Lauren_codelist']
238506004,Contact dermatitis due to cold weather,Dermatitis atopic contact,,['Lauren_codelist']
238539001,Hand eczema,Dermatitis atopic contact,,['Lauren_codelist']
238568000,Grease contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238569008,Oil contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238570009,Elastoplast contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238571008,Egg contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238572001,Lanolin contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238573006,Perfume contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238575004,Allergic contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238575004,[X]Allergic contact dermatitis due to other agents,Dermatitis atopic contact,,['Lauren_codelist']
238578002,Occupational dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238585003,Brocq's neurodermatitis,Dermatitis atopic contact,,['Lauren_codelist']
238585003,Neurodermatitis - diffuse,Dermatitis atopic contact,,['Lauren_codelist']
238590000,Juvenile plantar dermatitis,Dermatitis atopic contact,,['Lauren_codelist' 'Lauren_codelist']
238992001,Drug-induced erythroderma,Dermatitis atopic contact,,['Lauren_codelist']
24079001,Allergic (intrinsic) eczema,Dermatitis atopic contact,,['Lauren_codelist']
24079001,Atopic dermatitis NOS,Dermatitis atopic contact,,['Lauren_codelist']
24079001,Atopic dermatitis and related conditions,Dermatitis atopic contact,,['Lauren_codelist']
24079001,Atopic dermatitis/eczema,Dermatitis atopic contact,,['Lauren_codelist']
26532007,Contact dermatitis due to scabicides,Dermatitis atopic contact,,['Lauren_codelist']
267648006,Contact eczema - eyelids,Dermatitis atopic contact,,['Lauren_codelist']
267648006,Contact or allergic eyelid dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
267793005,Contact dermatitis due to oils and greases,Dermatitis atopic contact,,['Lauren_codelist']
267798001,Ingestion dermatitis due to drugs,Dermatitis atopic contact,,['Lauren_codelist']
267854005,Neurodermatitis circumscripta,Dermatitis atopic contact,,['Lauren_codelist']
27023008,Other eyelid infective dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
279334008,Contact dermatitis due to hot weather,Dermatitis atopic contact,,['Lauren_codelist']
279334008,Contact dermatitis due to infra-red rays,Dermatitis atopic contact,,['Lauren_codelist']
28926001,Drug induced rash,Dermatitis atopic contact,,['Lauren_codelist']
291000119100,Contact dermatitis due to other chemical products,Dermatitis atopic contact,,['Lauren_codelist']
291000119100,Contact dermatitis: other chemicals NOS,Dermatitis atopic contact,,['Lauren_codelist']
3014005,Cutaneous autosensitization,Dermatitis atopic contact,,['Lauren_codelist']
30451004,Contact dermatitis due to detergents,Dermatitis atopic contact,,['Lauren_codelist']
31948006,Contact dermatitis due to plastic,Dermatitis atopic contact,,['Lauren_codelist']
32371003,Contact dermatitis due to neomycin,Dermatitis atopic contact,,['Lauren_codelist']
36070007,Thrombocytopenic eczema with immunodeficiency,Dermatitis atopic contact,,['Lauren_codelist']
36530008,Contact dermatitis due to fish,Dermatitis atopic contact,,['Lauren_codelist']
389145006,Extrinsic (atopic) asthma,Dermatitis atopic contact,,['Lauren_codelist']
400005007,Erythrodermic eczema,Dermatitis atopic contact,,['Lauren_codelist']
400028008,Menstrual dermatosis,Dermatitis atopic contact,,['Lauren_codelist']
400079002,Infected eczema,Dermatitis atopic contact,,['Lauren_codelist']
402222007,Cheiropompholyx,Dermatitis atopic contact,,['Lauren_codelist']
402237006,Lichenification NOS,Dermatitis atopic contact,,['Lauren_codelist']
402296004,Pityriasis alba,Dermatitis atopic contact,,['Lauren_codelist']
402567004,Dyshidrosis,Dermatitis atopic contact,,['Lauren_codelist']
402567004,Dyshidrosis NOS,Dermatitis atopic contact,,['Lauren_codelist']
402567004,Dyshidrosis unspecified,Dermatitis atopic contact,,['Lauren_codelist']
402567004,Pompholyx unspecified,Dermatitis atopic contact,,['Lauren_codelist']
40275004,Contact dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
40275004,Contact dermatitis NOS,Dermatitis atopic contact,,['Lauren_codelist' 'Lauren_codelist']
40275004,Contact dermatitis and other eczemas,Dermatitis atopic contact,,['Lauren_codelist']
40275004,Contact dermatitis due to other specified agents,Dermatitis atopic contact,,['Lauren_codelist']
40275004,Contact dermatitis: specified agent NOS,Dermatitis atopic contact,,['Lauren_codelist']
40275004,Contact eczema,Dermatitis atopic contact,,['Lauren_codelist']
40275004,[X]Unspcfd contact dermatitis due to other chemical products,Dermatitis atopic contact,,['Lauren_codelist']
40275004,[X]Unspecified contact dermatitis due to other agents,Dermatitis atopic contact,,['Lauren_codelist']
40712008,Contact dermatitis due to arnica,Dermatitis atopic contact,,['Lauren_codelist']
414492009,Infectious eczematoid dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
42733007,Contact dermatitis due to dichromate,Dermatitis atopic contact,,['Lauren_codelist']
43116000,Eczema NOS,Dermatitis atopic contact,,['Lauren_codelist']
43116000,[X]Other specified dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
46240005,Contact dermatitis due to rubber,Dermatitis atopic contact,,['Lauren_codelist']
46787004,Contact dermatitis due to light (excluding sunlight),Dermatitis atopic contact,,['Lauren_codelist']
479281000000106,[X]Dermatitis and eczema,Dermatitis atopic contact,,['Lauren_codelist']
49186001,Contact dermatitis due to cereals,Dermatitis atopic contact,,['Lauren_codelist']
53891004,Lichen simplex,Dermatitis atopic contact,,['Lauren_codelist' 'Lauren_codelist']
53930004,Contact dermatitis due to ragweed,Dermatitis atopic contact,,['Lauren_codelist']
54272002,Acute eczematoid otitis extern,Dermatitis atopic contact,,['Lauren_codelist']
55608001,Prurigo simplex,Dermatitis atopic contact,,['Lauren_codelist']
55934006,Contact dermatitis due to flour,Dermatitis atopic contact,,['Lauren_codelist']
57092006,Flexural eczema,Dermatitis atopic contact,,['Lauren_codelist']
586008,Contact dermatitis due to primrose,Dermatitis atopic contact,,['Lauren_codelist']
63501000,Prurigo nodularis (Hyde's disease),Dermatitis atopic contact,,['Lauren_codelist']
64144002,Prurigo,Dermatitis atopic contact,,['Lauren_codelist']
64144002,Prurigo NOS,Dermatitis atopic contact,,['Lauren_codelist']
64144002,[X]Other prurigo,Dermatitis atopic contact,,['Lauren_codelist']
65129009,Contact dermatitis due to milk,Dermatitis atopic contact,,['Lauren_codelist']
65394002,Contact dermatitis due to lacquer tree,Dermatitis atopic contact,,['Lauren_codelist']
67445002,Contact dermatitis due to food NOS,Dermatitis atopic contact,,['Lauren_codelist']
67445002,Contact dermatitis due to food in contact with skin,Dermatitis atopic contact,,['Lauren_codelist']
68670009,Allergic dermatitis - eyelid,Dermatitis atopic contact,,['Lauren_codelist']
6888008,Contact dermatitis due to dyes,Dermatitis atopic contact,,['Lauren_codelist']
69827001,Contact dermatitis due to X-rays,Dermatitis atopic contact,,['Lauren_codelist']
703938007,Dermatitis NOS,Dermatitis atopic contact,,['Lauren_codelist']
703938007,Dermatitis/dermatoses,Dermatitis atopic contact,,['Lauren_codelist']
703938007,Infected dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
71577007,Infective eyelid dermatitis of types resulting in deformity,Dermatitis atopic contact,,['Lauren_codelist']
72057009,Contact dermatitis due to pediculocides,Dermatitis atopic contact,,['Lauren_codelist']
72921001,Contact dermatitis due to meat,Dermatitis atopic contact,,['Lauren_codelist']
77560002,Contact dermatitis due to adhesive plaster,Dermatitis atopic contact,,['Lauren_codelist']
78755001,Contact dermatitis due to cosmetics,Dermatitis atopic contact,,['Lauren_codelist']
81351008,Contact dermatitis due to radiation NOS,Dermatitis atopic contact,,['Lauren_codelist']
81418003,Discoid eczema,Dermatitis atopic contact,,['Lauren_codelist' 'Lauren_codelist']
81418003,Nummular dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
81581001,Contact dermatitis due to mercurials,Dermatitis atopic contact,,['Lauren_codelist']
83150005,Contact dermatitis due to iodine,Dermatitis atopic contact,,['Lauren_codelist']
83508001,Contact dermatitis due to nylon,Dermatitis atopic contact,,['Lauren_codelist']
85512009,Contact dermatitis due to jewellery,Dermatitis atopic contact,,['Lauren_codelist']
86062001,Contact dermatitis due to drugs and medicaments,Dermatitis atopic contact,,['Lauren_codelist']
86062001,Contact dermatitis due to medicament NOS,Dermatitis atopic contact,,['Lauren_codelist']
90823000,Infantile eczema,Dermatitis atopic contact,,['Lauren_codelist']
93419003,Nickel sensitivity,Dermatitis atopic contact,,['Lauren_codelist']
93423006,Eczematous eyelid dermatitis,Dermatitis atopic contact,,['Lauren_codelist']
95812002,Eczema of external ear,Dermatitis atopic contact,,['Lauren_codelist']
,,Dermatitis atopic contact,,['Lauren_codelist']
