SnomedCTConceptId,Term,Disease,Otherinstructions,origin
197083003,Diverticulosis of the duodenum,Diverticular Disease,,['Lauren_codelist']
197084009,Diverticulosis of the jejunum,Diverticular Disease,,['Lauren_codelist']
197085005,Diverticulosis of the ileum,Diverticular Disease,,['Lauren_codelist']
197091007,Divertic dis/both sml+lge intestin without perfor or abscess,Diverticular Disease,,['Lauren_codelist']
197092000,Bleeding diverticulosis,Diverticular Disease,,['Lauren_codelist']
197104005,Perforated diverticulum,Diverticular Disease,,['Lauren_codelist']
197104005,Perforated diverticulum of intestine NOS,Diverticular Disease,,['Lauren_codelist']
197104005,Perforated diverticulum unspecified,Diverticular Disease,,['Lauren_codelist']
197105006,Perforated diverticulum of duodenum,Diverticular Disease,,['Lauren_codelist']
197106007,Perforated diverticulum of jejunum,Diverticular Disease,,['Lauren_codelist']
197107003,Perforated diverticulum of ileum,Diverticular Disease,,['Lauren_codelist']
21692001,Appendicular diverticulum,Diverticular Disease,,['Lauren_codelist']
235774002,Diverticular abscess,Diverticular Disease,,['Lauren_codelist']
280992001,Perforated diverticulum of large intestine NOS,Diverticular Disease,,['Lauren_codelist']
280992001,Perforated diverticulum of large intestine unspecified,Diverticular Disease,,['Lauren_codelist']
280993006,Perforated diverticulum of small intestine NOS,Diverticular Disease,,['Lauren_codelist']
280993006,Perforated diverticulum of small intestine unspecified,Diverticular Disease,,['Lauren_codelist']
307496006,Diverticulitis,Diverticular Disease,,['Lauren_codelist']
307496006,Diverticulitis NOS,Diverticular Disease,,['Lauren_codelist']
307496006,Diverticulitis unspecified,Diverticular Disease,,['Lauren_codelist']
33838003,Diverticulitis of the duodenum,Diverticular Disease,,['Lauren_codelist']
397881000,Diverticular disease,Diverticular Disease,,['Lauren_codelist']
397881000,Diverticulosis,Diverticular Disease,,['Lauren_codelist']
397881000,Diverticulosis NOS,Diverticular Disease,,['Lauren_codelist']
397881000,Diverticulosis unspecified,Diverticular Disease,,['Lauren_codelist']
398050005,Diverticulosis of the colon,Diverticular Disease,,['Lauren_codelist']
398157006,Diverticulosis of the large intestine NOS,Diverticular Disease,,['Lauren_codelist']
398157006,Diverticulosis of the large intestine unspecified,Diverticular Disease,,['Lauren_codelist']
4494009,Diverticulitis of the large intestine NOS,Diverticular Disease,,['Lauren_codelist']
4494009,Diverticulitis of the large intestine unspecified,Diverticular Disease,,['Lauren_codelist']
56165008,Diverticulitis of the small intestine NOS,Diverticular Disease,,['Lauren_codelist']
56165008,Diverticulitis of the small intestine unspecified,Diverticular Disease,,['Lauren_codelist']
63532004,Diverticula of intestine,Diverticular Disease,,['Lauren_codelist']
63532004,Diverticula of the intestine NOS,Diverticular Disease,,['Lauren_codelist']
67153004,Diverticulitis of the ileum,Diverticular Disease,,['Lauren_codelist']
76953007,Perforated diverticulum of colon,Diverticular Disease,,['Lauren_codelist']
8114009,Diverticulosis of the small intestine NOS,Diverticular Disease,,['Lauren_codelist']
8114009,Diverticulosis of the small intestine unspecified,Diverticular Disease,,['Lauren_codelist']
