SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111541001,Benign paroxysmal positional vertigo,Dizziness,,['efi']
13445001,Otogenic vertigo,Dizziness,,['efi']
162260006,Dizziness present,Dizziness,,['efi']
194355000,Benign paroxysmal positional vertigo or nystagmus,Dizziness,,['efi']
194360001,Central nystagmus &/or vertigo,Dizziness,,['efi']
20425006,Central vestibular vertigo,Dizziness,,['efi']
232284007,Migrainous vertigo,Dizziness,,['efi']
232285008,Benign recurrent vertigo,Dizziness,,['efi']
232288005,Vertebrobasilar ischaemic vertigo,Dizziness,,['efi']
232297009,Disorders of the vestibular system and vertiginous syndromes,Dizziness,,['efi']
266994001,H/O: vertigo &/or Meniere's disease,Dizziness,,['efi']
271789005,[D]Dizziness and giddiness,Dizziness,,['efi']
275542004,H/O: vertigo &/or Meniere's disease,Dizziness,,['efi']
275543009,H/O: vertigo &/or Meniere's disease,Dizziness,,['efi']
277491009,Peripheral positional vertigo,Dizziness,,['efi']
307674009,Benign paroxysmal positional vertigo nystagmus,Dizziness,,['efi']
315018008,Dizzy spells,Dizziness,,['efi']
38403006,Central vestibular vertigo,Dizziness,,['efi']
399153001,[D]Vertigo NOS,Dizziness,,['efi']
404640003,[D]Dizziness,Dizziness,,['efi']
50438001,Other and unspecified peripheral vertigo,Dizziness,,['efi']
78977005,Ocular vertigo,Dizziness,,['efi']
7956006,Psychogenic vertigo,Dizziness,,['efi']
84769001,Cervical vertigo,Dizziness,,['efi']
87118001,Other peripheral vertigo NOS,Dizziness,,['efi']
95815000,Central positional vertigo,Dizziness,,['efi']
