SnomedCTConceptId,Term,Disease,Otherinstructions,origin
129039006,Needs help with dressing,Dressing & grooming problems,,['efi']
129065005,Dependent for dressing,Dressing & grooming problems,,['efi']
284775008,Unable to perform personal care activity,Dressing & grooming problems,,['efi']
284835009,Unable to clean own mouth,Dressing & grooming problems,,['efi']
284838006,Difficulty cleaning own mouth,Dressing & grooming problems,,['efi']
284841002,Unable to clean teeth,Dressing & grooming problems,,['efi']
284844005,Difficulty cleaning teeth,Dressing & grooming problems,,['efi']
284847003,Unable to clean false teeth,Dressing & grooming problems,,['efi']
284850000,Diff cleaning false teeth,Dressing & grooming problems,,['efi']
284868002,Difficulty washing hair,Dressing & grooming problems,,['efi']
284880005,Difficulty cutting toenails,Dressing & grooming problems,,['efi']
284886004,Difficulty cutting fingernail,Dressing & grooming problems,,['efi']
284889006,Unable to shave self,Dressing & grooming problems,,['efi']
284892005,Difficulty shaving,Dressing & grooming problems,,['efi']
289125004,Unable perform mouthcare activ,Dressing & grooming problems,,['efi']
289128002,Diff perform mouthcare activ,Dressing & grooming problems,,['efi']
289130000,Unable perform haircare activ,Dressing & grooming problems,,['efi']
289978001,Diff perform nail care activ,Dressing & grooming problems,,['efi']
704436008,Unab perform grooming activity,Dressing & grooming problems,,['efi']
704439001,Diff perform grooming activity,Dressing & grooming problems,,['efi']
704440004,Dependent for grooming,Dressing & grooming problems,,['efi']
