SnomedCTConceptId,Term,Disease,Otherinstructions,origin
128726006,[M]Stromal endometriosis,Endometriosis,,['Lauren_codelist']
129103003,Endometriosis,Endometriosis,,['Lauren_codelist']
129103003,Endometriosis NOS,Endometriosis,,['Lauren_codelist']
129103003,Other endometriosis,Endometriosis,,['Lauren_codelist']
129103003,Other endometriosis NOS,Endometriosis,,['Lauren_codelist']
129103003,[X]Other endometriosis,Endometriosis,,['Lauren_codelist']
198251001,Endometriosis of the pelvic peritoneum NOS,Endometriosis,,['Lauren_codelist']
198253003,Endometriosis of the rectovaginal septum and vagina NOS,Endometriosis,,['Lauren_codelist']
22611009,Endometriosis of the fallopian tube,Endometriosis,,['Lauren_codelist']
237115002,Endometriosis of myometrium,Endometriosis,,['Lauren_codelist']
237116001,Chocolate cyst of ovary,Endometriosis,,['Lauren_codelist']
266589005,Endometriosis of ovary,Endometriosis,,['Lauren_codelist']
416155004,Laparoscopic laser destruction of endometriosis,Endometriosis,,['Lauren_codelist']
53913001,Endometriosis in scar of skin,Endometriosis,,['Lauren_codelist']
5562006,Endometriosis of the intestine NOS,Endometriosis,,['Lauren_codelist']
61640006,Endometriosis of cervix,Endometriosis,,['Lauren_codelist']
64286001,Endometriosis of the pouch of Douglas,Endometriosis,,['Lauren_codelist']
76376003,Adenomyosis,Endometriosis,,['Lauren_codelist']
76376003,Endometriosis of uterus,Endometriosis,,['Lauren_codelist']
76376003,Endometriosis of uterus NOS,Endometriosis,,['Lauren_codelist']
