SnomedCTConceptId,Term,Disease,Otherinstructions,origin
1075011000000100,Unable to get off floor,Falls,,['efi']
14047009,"[X]Fall from, out of or through building or structure",Falls,,['efi']
161898004,Falls,Falls,,['efi']
17886000,[X]Fall involving wheelchair,Falls,,['efi']
1912002,Falls,Falls,,['efi']
20902002,Fall from bed,Falls,,['efi']
213770003,[X]Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle,Falls,,['efi']
213911003,"Fall in, on, or from train",Falls,,['efi']
213912005,Fall in train,Falls,,['efi']
213917004,Fall on train,Falls,,['efi']
213925002,Fall from train,Falls,,['efi']
214436006,Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting,Falls,,['efi']
214447004,Noncollision motor vehicle traffic accident involving fall from car in street while boarding or alighting,Falls,,['efi']
215633002,Fall on stairs or ladders in water transport,Falls,,['efi']
215634008,Fall on stairs in water transport (WT),Falls,,['efi']
215644005,Fall on ladder in water transport,Falls,,['efi']
216107001,"Fall in, on, or from aircraft",Falls,,['efi']
216131006,Fall in aircraft,Falls,,['efi']
216154002,Fall from aircraft,Falls,,['efi']
216293001,"Accident involving fall from powered vehicle, used solely within the buildings and premises of an industrial or commercial establishment",Falls,,['efi']
216302002,"Accident involving fall from cable car, not on rails",Falls,,['efi']
217082002,Accidental fall,Falls,,['efi']
217083007,Fall on or from stairs or steps,Falls,,['efi']
217084001,Fall on or from escalator,Falls,,['efi']
217086004,Fall from escalator,Falls,,['efi']
217088003,Fall on or from stairs,Falls,,['efi']
217090002,Fall from stairs,Falls,,['efi']
217092005,Fall on or from steps,Falls,,['efi']
217093000,Fall on steps,Falls,,['efi']
217094006,Fall from steps,Falls,,['efi']
217142006,Fall from chair or bed,Falls,,['efi']
217150002,Fall from stationary vehicle,Falls,,['efi']
217154006,"Fall on same level from slipping, tripping or stumbling",Falls,,['efi']
217155007,Fall on same level from slipping,Falls,,['efi']
217156008,Fall on same level from tripping,Falls,,['efi']
217157004,Fall on same level from stumbling,Falls,,['efi']
217158009,Fall on moving sidewalk,Falls,,['efi']
217173005,Fall from bump against object,Falls,,['efi']
217773000,[X]Drowning and submersion following fall into bath-tub,Falls,,['efi']
225054009,Fall onto outstretched hand,Falls,,['efi']
242078003,Fall from railway vehicle in motion,Falls,,['efi']
242079006,Fall from stationary railway vehicle,Falls,,['efi']
242089005,Fall in road vehicle NEC,Falls,,['efi']
242109009,Fall down stairs of motor bus while boarding or alighting,Falls,,['efi']
242111000,Fall from car in street while boarding or alighting,Falls,,['efi']
242112007,Fall from car while boarding or alighting due to tripping on seat belt,Falls,,['efi']
242118006,[X]Occupant of streetcar injured by fall in streetcar,Falls,,['efi']
242182003,"Fall on stairs or ladders in water transport, NOS",Falls,,['efi']
242185001,Fall on wet deck on board vessel,Falls,,['efi']
242227000,Fall from aircraft on ground,Falls,,['efi']
242387001,[X]Fall on same level involving ice and snow,Falls,,['efi']
242389003,Fall due to wet surface,Falls,,['efi']
242390007,Fall due to polished surface,Falls,,['efi']
242391006,Fall due to discarded object,Falls,,['efi']
242392004,Fall in bath or shower,Falls,,['efi']
242393009,Fall due to defective pavement,Falls,,['efi']
242394003,Fall due to accidental trip by another person,Falls,,['efi']
242395002,Fall due to trip on loose carpet,Falls,,['efi']
242396001,Fall due to uneven surface indoors,Falls,,['efi']
242398000,Fall due to loss of equilibrium,Falls,,['efi']
242399008,Fall due to failure of support,Falls,,['efi']
242400001,Fall due to failure of rail,Falls,,['efi']
242401002,Fall due to leaning on insecure furniture,Falls,,['efi']
242402009,Fall on same level due to accidental impact with another person,Falls,,['efi']
242404005,Fall due to impact against pedestrian conveyance,Falls,,['efi']
242405006,Fall due to impact against pram,Falls,,['efi']
242406007,Fall due to impact against supermarket trolley,Falls,,['efi']
242407003,Fall due to impact against wheelbarrow,Falls,,['efi']
242408008,Fall from one level to another NEC in water transport,Falls,,['efi']
242413007,Fall from chair or bed NOS,Falls,,['efi']
242414001,Fall from stool,Falls,,['efi']
242415000,Fall from hospital trolley,Falls,,['efi']
242417008,Fall from ambulance stretcher,Falls,,['efi']
242419006,Fall from toilet seat,Falls,,['efi']
242423003,Fall into canal,Falls,,['efi']
247541000000106,Referral to falls service,Falls,,['efi']
248451000000109,Referral to elderly falls prevention clinic,Falls,,['efi']
2617007,[X]Fall on and from scaffolding,Falls,,['efi']
269699007,Fall on same level from impact against object,Falls,,['efi']
274918000,"Fall on same level from other pushing, shoving or collision, with or by other person",Falls,,['efi']
274919008,Fall on same level due to impact against another person,Falls,,['efi']
279992002,Recurrent falls,Falls,,['efi']
288296009,Fall - collision/push/shove,Falls,,['efi']
294231000000103,Provision of telecare community alarm service,Falls,,['efi']
298343000,Observation of falls,Falls,,['efi']
298344006,Elderly fall,Falls,,['efi']
33036003,"Fall on same level from slipping, tripping or stumbling NOS",Falls,,['efi']
386861000000106,"[X]Drowning and submersion following fall into bath-tub, occurrence at trade and service area",Falls,,['efi']
387311000000100,"[X]Drowning and submersion following fall into bath-tub, occurrence at other specified place",Falls,,['efi']
391002003,Number of falls in last year (observable entity),Falls,If greater than 0,['efi']
391351000000106,[X]Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle,Falls,,['efi']
391891000000105,[X]Occupant of streetcar injured by fall from streetcar,Falls,,['efi']
40104005,"[X]Unspecified fall, occurrence at home",Falls,,['efi']
405191000000105,"[X]Drowning and submersion following fall into bath-tub, occurrence at home",Falls,,['efi']
405661000000108,"[X]Drowning and submersion following fall into bath-tub, occurrence on street and highway",Falls,,['efi']
408561005,Falls caused by medication,Falls,,['efi']
414190009,Fall on stairs,Falls,,['efi']
415171000000109,[X]Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle,Falls,,['efi']
422131000000105,"[X]Drowning and submersion following fall into bath-tub, occurrence at school other institution and public administrative area",Falls,,['efi']
434801000000102,[X]Drowning and submersion following fall into bath-tub,Falls,,['efi']
435801000000101,"[X]Drowning and submersion following fall into bath-tub, occurrence on farm",Falls,,['efi']
459491000000106,"[X]Drowning and submersion following fall into bath-tub, occurrence at industrial and construction area",Falls,,['efi']
459871000000105,"[X]Drowning and submersion following fall into bath-tub, occurrence at unspecified place",Falls,,['efi']
472811000000105,[X]Occupant of streetcar injured by fall in streetcar,Falls,,['efi']
474381000000101,"[X]Drowning and submersion following fall into bath-tub, occurrence in residential institution",Falls,,['efi']
474621000000107,"[X]Drowning and submersion following fall into bath-tub, occurrence at sports and athletics area",Falls,,['efi']
56307009,Fall from table,Falls,,['efi']
