SnomedCTConceptId,Term,Disease,Otherinstructions,origin
108367008,fracture dislocations and fracture subluxations,Fracture,,['efi']
10859002,ethmoid sinus fracture,Fracture,,['efi']
111603000,closed fracture base of skull with intracranial injury,Fracture,,['efi']
111607004,open fracture base of skull with intracranial injury,Fracture,,['efi']
111609001,open fracture other facial bone,Fracture,,['efi']
111613008,closed fracture of skull nos with intracranial injury,Fracture,,['efi']
111637008,open fracture of clavicle,Fracture,,['efi']
111638003,"open fracture clavicle, medial end",Fracture,,['efi']
111639006,"closed fracture scapula, acromion",Fracture,,['efi']
111640008,fracture of radius nos,Fracture,,['efi']
111641007,open fracture radial neck,Fracture,,['efi']
111643005,open fracture of the patella,Fracture,,['efi']
111644004,"closed fracture of tibia and fibula, proximal",Fracture,,['efi']
111645003,open fracture of tibial tuberosity,Fracture,,['efi']
111646002,open fracture shaft of fibula,Fracture,,['efi']
112777008,closed reduction of fracture of femur,Fracture,,['efi']
123975002,fracture of ankle,Fracture,,['efi']
125605004,fracture of unspecified bones,Fracture,,['efi']
1261007,multiple fractures of arm,Fracture,,['efi']
12676007,"closed fracture of radius (alone), unspecified",Fracture,,['efi']
127278005,[x]fracture of other parts of shoulder and upper arm,Fracture,,['efi']
129264002,fracture dislocations and fracture subluxations,Fracture,,['efi']
134194006,delayed union of fracture,Fracture,,['efi']
134291007,"multiple fractures, unspecified",Fracture,,['efi']
134421000,pathological fracture due to metastatic bone disease,Fracture,,['efi']
135895003,[q] fractures involving the epiphyseal plate,Fracture,,['efi']
1370007,open fracture of metacarpal bone(s),Fracture,,['efi']
150617003,closed reduction of fracture of lower limb,Fracture,,['efi']
15385006,"closed fracture ankle, medial malleolus",Fracture,,['efi']
15741007,"fracture of palate, closed",Fracture,,['efi']
16114001,fracture of lower end of tibia,Fracture,,['efi']
16250001000004100,"[x]fracture of shoulder and upper arm, unspecified",Fracture,,['efi']
1658003,"closed fracture clavicle, lateral end",Fracture,,['efi']
172180003,removal of fixation from fracture of orbit,Fracture,,['efi']
172182006,open reduction of fracture of orbit and internal fixation,Fracture,,['efi']
172185008,packing of maxilla to correct blow-out fracture of orbit,Fracture,,['efi']
1739001,frontal sinus fracture,Fracture,,['efi']
178395000,reduction of fracture of nasoethmoid complex of bones,Fracture,,['efi']
178397008,reduction of fracture of zygomatic bones,Fracture,,['efi']
178398003,reduction of closed fracture of orbit bone,Fracture,,['efi']
178436001,reduction of fracture of alveolus of mandible,Fracture,,['efi']
178441009,reduction of fracture of maxilla,Fracture,,['efi']
178442002,reduction of fracture of alveolus of maxilla,Fracture,,['efi']
178445000,reduction of blowout fracture of orbital floor,Fracture,,['efi']
178446004,reduction of le fort 1 fracture of maxilla,Fracture,,['efi']
178447008,reduction of le fort 2 fracture of maxilla,Fracture,,['efi']
178448003,reduction of le fort 3 fracture of maxilla,Fracture,,['efi']
178496003,traction for fracture of jaw,Fracture,,['efi']
178926002,open surgical fracture of bone,Fracture,,['efi']
179010008,primary open reduction fracture bone & intramedull fixation,Fracture,,['efi']
179027000,prim open reduction fracture bone & extramedull fixation nos,Fracture,,['efi']
179039008,primary open reduction of intraarticular fracture of bone,Fracture,,['efi']
179049006,prmy open reduction of fracture and skeletal traction,Fracture,,['efi']
179050006,prmy open reduction of fracture and external fixation,Fracture,,['efi']
179051005,primary open reduction+external fixation of femoral fracture,Fracture,,['efi']
179053008,primary open reduction of fracture and cast immobilisation,Fracture,,['efi']
