SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111622009,c3 vertebra closed fracture without spinal cord lesion,Fragility fracture,,['efi']
11782000,closed fracture of cervical spine,Fragility fracture,,['efi']
12204004,closed fracture multiple ribs,Fragility fracture,,['efi']
123971006,Colles' fracture,Fragility fracture,,['efi']
125606003,fracture of neck,Fragility fracture,,['efi']
125607007,fracture of thoracic vertebra,Fragility fracture,,['efi']
125608002,fracture of lumbar vertebra,Fragility fracture,,['efi']
125871005,fracture of coccyx,Fragility fracture,,['efi']
125872003,fracture of sacrum,Fragility fracture,,['efi']
1261007,multiple fractures of ribs,Fragility fracture,,['efi']
127286005,fracture of upper end of humerus,Fragility fracture,,['efi']
127287001,Intertrochanteric fracture of femur,Fragility fracture,,['efi']
12746007,"open fracture proximal femur, transcervical",Fragility fracture,,['efi']
1705000,"closed fracture proximal femur, basicervical",Fragility fracture,,['efi']
17222009,"closed fracture of the distal radius, unspecified",Fragility fracture,,['efi']
1734006,fracture of spine with spinal cord lesion,Fragility fracture,,['efi']
17633000,closed fracture of five ribs,Fragility fracture,,['efi']
178674000,decompression of fracture of spine,Fragility fracture,,['efi']
178675004,complex decompression of fracture of spine,Fragility fracture,,['efi']
178676003,anterior decompression of fracture of spine,Fragility fracture,,['efi']
178677007,posterior decompression of fracture of spine,Fragility fracture,,['efi']
178682000,open reduction of fracture of spine & excis facet of spine,Fragility fracture,,['efi']
178684004,manipulative reduction of fracture of spine,Fragility fracture,,['efi']
178685003,spinal extension traction for fracture of spine,Fragility fracture,,['efi']
178686002,halo skull traction for fracture of spine,Fragility fracture,,['efi']
178688001,primary bedrest stabilisation of spinal fracture,Fragility fracture,,['efi']
178689009,primary collar stabilisation of spinal fracture,Fragility fracture,,['efi']
178691001,primary cast stabilisation of spinal fracture,Fragility fracture,,['efi']
178694009,revision to bedrest stabilisation of spinal fracture,Fragility fracture,,['efi']
178695005,revision to collar stabilisation of spinal fracture,Fragility fracture,,['efi']
178698007,revision to external fixation stabilisation spinal fracture,Fragility fracture,,['efi']
178702006,primary cls reduction spinal fracture+bedrest stabilisation,Fragility fracture,,['efi']
178703001,primary cls reduc spinal fracture+skull traction stabilisatn,Fragility fracture,,['efi']
178733008,primary open reduc spinal fracture+internal fix+plate,Fragility fracture,,['efi']
178734002,fixation of fracture of spine using harrington rod,Fragility fracture,,['efi']
178736000,primary open reduc spinal fracture+internal fix+wire,Fragility fracture,,['efi']
178737009,primary open reduc spinal fracture+internal fix+rod system,Fragility fracture,,['efi']
178742001,rvsn open reduc spinal fracture+internal fix+plate,Fragility fracture,,['efi']
178743006,rvsn open reduc spinal fracture+internal fix+rod system,Fragility fracture,,['efi']
178745004,rvsn open reduc spinal fracture+internal fix+internl fixator,Fragility fracture,,['efi']
179035002,Prmy open red+int fxn prox femoral #+screw/nail device alone,Fragility fracture,,['efi']
179067004,Rvsn to opn red+int fxtn prox fem #+ scrw/nail+plate device,Fragility fracture,,['efi']
179097007,Primary int fxn(no red) prox fem #+scrw/nail+intramed device,Fragility fracture,,['efi']
179102005,Revisn to int fxn(no red) prox fem #+screw/nail device alone,Fragility fracture,,['efi']
179105007,Primary cls red+int fxn prox fem #+screw/nail+plate device,Fragility fracture,,['efi']
179106008,Remanip intracap fract neck fem and fix using nail or screw,Fragility fracture,,['efi']
179159005,Closed reduction of fracture of hip,Fragility fracture,,['efi']
179172006,Closed reduction of fracture of radius and or ulna,Fragility fracture,,['efi']
179173001,closed reduction of fracture of wrist,Fragility fracture,,['efi']
19688005,open reduction of fracture of spine nec,Fragility fracture,,['efi']
198741000000106,"closed fracture of femur, upper epiphysis",Fragility fracture,,['efi']
198751000000109,"open fracture of femur, upper epiphysis",Fragility fracture,,['efi']
20100009,"Cls # prox femur, intracapsular section, unspecified",Fragility fracture,,['efi']
20121009,closed fracture of seven ribs,Fragility fracture,,['efi']
202831001,Fatigue fracture of vertebra,Fragility fracture,,['efi']
203444008,postoophorectomy osteoporosis with pathological fracture,Fragility fracture,,['efi']
203445009,osteoporosis of disuse with pathological fracture,Fragility fracture,,['efi']
203446005,postsurgical malabsorption osteoporosis with path fracture,Fragility fracture,,['efi']
203447001,drug-induced osteoporosis with pathological fracture,Fragility fracture,,['efi']
203448006,idiopathic osteoporosis with pathological fracture,Fragility fracture,,['efi']
203450003,osteoporosis + pathological fracture lumbar vertebrae,Fragility fracture,,['efi']
203451004,osteoporosis + pathological fracture thoracic vertebrae,Fragility fracture,,['efi']
203452006,osteoporosis + pathological fracture cervical vertebrae,Fragility fracture,,['efi']
203453001,postmenopausal osteoporosis with pathological fracture,Fragility fracture,,['efi']
207895002,"closed fracture atlas, isolated arch or articular process",Fragility fracture,,['efi']
207896001,"closed fracture atlas, comminuted",Fragility fracture,,['efi']
207897005,"closed fracture axis, odontoid process",Fragility fracture,,['efi']
207898000,"closed fracture axis, spondylolysis",Fragility fracture,,['efi']
207899008,"closed fracture axis, spinous process",Fragility fracture,,['efi']
207900003,"closed fracture axis, transverse process",Fragility fracture,,['efi']
207901004,"closed fracture axis, posterior arch",Fragility fracture,,['efi']
207903001,"closed fracture cervical vertebra, burst",Fragility fracture,,['efi']
207904007,"closed fracture cervical vertebra, wedge",Fragility fracture,,['efi']
207905008,"closed fracture cervical vertebra, spondylolysis",Fragility fracture,,['efi']
207906009,"Closed fracture cervical vertebra, spinous process",Fragility fracture,,['efi']
207907000,"closed fracture cervical vertebra, transverse process",Fragility fracture,,['efi']
207908005,"closed fracture cervical vertebra, posterior arch",Fragility fracture,,['efi']
