SnomedCTConceptId,Term,Disease,Otherinstructions,origin
1824008,Allergic gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
196731005,Gastritis and duodenitis,Gastritis and Duodenitis,,['Lauren_codelist']
196731005,Gastritis and duodenitis NOS,Gastritis and Duodenitis,,['Lauren_codelist']
196731005,Gastroduodenitis unspecified,Gastritis and Duodenitis,,['Lauren_codelist']
196735001,Chronic superficial gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
196740009,Corrosive gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
235652004,Gastric erosions,Gastritis and Duodenitis,,['Lauren_codelist']
235692002,Duodenal erosion,Gastritis and Duodenitis,,['Lauren_codelist']
42541005,Irritant gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
441901000000108,[V]Dietary counselling in gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
4556007,Gastritis unspecified,Gastritis and Duodenitis,,['Lauren_codelist']
4556007,Non-infective gastritis NOS,Gastritis and Duodenitis,,['Lauren_codelist']
4556007,Other specified gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
4556007,Other specified gastritis NOS,Gastritis and Duodenitis,,['Lauren_codelist']
4556007,[X]Other gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
60002000,Gastric mucosal hypertrophy,Gastritis and Duodenitis,,['Lauren_codelist']
72007001,Duodenitis,Gastritis and Duodenitis,,['Lauren_codelist']
84568007,Chronic atrophic gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
8493009,Chronic gastritis,Gastritis and Duodenitis,,['Lauren_codelist']
8493009,Chronic gastritis NOS,Gastritis and Duodenitis,,['Lauren_codelist']
