SnomedCTConceptId,Term,Disease,Otherinstructions,origin
173704005,Revision of antireflux operation NOS,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
173704005,Revision of antireflux operations,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
200151000000106,Reflux cough,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
235595009,Gastro-oesophageal reflux,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
249496004,Oesophageal reflux,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
265357009,Antireflux operation NOS,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
265357009,Antireflux operation using thoracic approach NEC,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
265357009,Antireflux procedure using thoracic approach NEC,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
265357009,Oesophageal reflux operations,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
265357009,Other specified antireflux operation,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
265358004,Antireflux fundoplication using thoracic approach,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
265359007,Antireflux fundoplication using abdominal approach,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
265360002,Antireflux gastropexy,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
266433003,Oesophageal reflux with oesophagitis,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
266433003,Reflux oesophagitis,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
414581006,Laryngopharyngeal reflux,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
698065002,Acid reflux,Gastrooesophageal Reflux Disease,,['Lauren_codelist']
