SnomedCTConceptId,Term,Disease,Otherinstructions,origin
14763005,Gouty tophi of ear,Gout,,['Lauren_codelist']
164208001,O/E - auricle of ear - tophi,Gout,,['Lauren_codelist']
170730005,Gout monitoring,Gout,,['Lauren_codelist']
170730005,Gout monitoring NOS,Gout,,['Lauren_codelist']
190828008,Gouty arthropathy,Gout,,['Lauren_codelist']
190842000,Gouty tophi of hand,Gout,,['Lauren_codelist']
201663006,Gouty arthritis of the shoulder region,Gout,,['Lauren_codelist']
201663006,Gouty arthritis of the upper arm,Gout,,['Lauren_codelist']
201666003,Gouty arthritis of the hand,Gout,,['Lauren_codelist']
201669005,Gouty arthritis of the ankle and foot,Gout,,['Lauren_codelist']
201670006,Gouty arthritis of multiple sites,Gout,,['Lauren_codelist']
239843003,[X]Other secondary gout,Gout,,['Lauren_codelist']
239845005,Drug-induced gout,Gout,,['Lauren_codelist']
24595009,Idiopathic gout,Gout,,['Lauren_codelist']
27277001,Gouty tophi of heart,Gout,,['Lauren_codelist' 'Lauren_codelist']
3875003,Other specified gouty manifestation,Gout,,['Lauren_codelist']
402469004,Gouty tophi of other sites,Gout,,['Lauren_codelist']
428839004,Gouty arthritis of toe,Gout,,['Lauren_codelist']
48440001,Gouty arthritis,Gout,,['Lauren_codelist']
48440001,Gouty arthritis NOS,Gout,,['Lauren_codelist']
48440001,Gouty arthritis of other specified site,Gout,,['Lauren_codelist']
48440001,Gouty arthritis of the forearm,Gout,,['Lauren_codelist']
48440001,Gouty arthritis of the lower leg,Gout,,['Lauren_codelist']
90560007,Gout,Gout,,['Lauren_codelist']
90560007,Gout NOS,Gout,,['Lauren_codelist']
90560007,Other specified gouty manifestation NOS,Gout,,['Lauren_codelist']
9386003,Gouty neuritis,Gout,,['Lauren_codelist']
