SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111880001,Acute human immunodeficiency virus infection,HIV,,['Lauren_codelist']
165816005,HIV positive,HIV,,['Lauren_codelist']
165816005,[D]Laboratory evidence of human immunodeficiency virus [HIV],HIV,,['Lauren_codelist']
170530008,Notification of AIDS,HIV,,['Lauren_codelist']
186706006,Human immunodeficiency virus with constitutional disease,HIV,,['Lauren_codelist']
186707002,Human immunodeficiency virus with neurological disease,HIV,,['Lauren_codelist']
186708007,[X]HIV disease resulting in other viral infections,HIV,,['Lauren_codelist']
264569006,HIV disease resulting in multiple infections,HIV,,['Lauren_codelist']
363346000,HIV disease resulting in multiple malignant neoplasms,HIV,,['Lauren_codelist']
363346000,Human immunodeficiency virus with secondary cancers,HIV,,['Lauren_codelist']
420403001,HIV disease resulting in Pneumocystis jirovecii pneumonia,HIV,,['Lauren_codelist']
421671002,HIV disease resulting in lymphoid interstitial pneumonitis,HIV,,['Lauren_codelist']
422003001,HIV disease resulting in wasting syndrome,HIV,,['Lauren_codelist']
427921000000108,[V]Asymptomatic human immunodeficency virus infection status,HIV,,['Lauren_codelist']
442537007,[X]HIV disease resulting in other non-Hodgkin's lymphoma,HIV,,['Lauren_codelist']
504871000000109,Human immunodeficiency virus monitoring,HIV,,['Lauren_codelist']
62479008,Acquired immune deficiency syndrome,HIV,,['Lauren_codelist']
699433000,AIDS carrier,HIV,,['Lauren_codelist']
713897006,HIV disease resulting in Burkitt's lymphoma,HIV,,['Lauren_codelist']
81000119104,HIV disease resulting in candidiasis,HIV,,['Lauren_codelist']
81000119104,HIV disease resulting in cytomegaloviral disease,HIV,,['Lauren_codelist']
81000119104,Human immunodef virus resulting in other disease,HIV,,['Lauren_codelist']
86406008,Acquired human immunodeficiency virus infection syndrome NOS,HIV,,['Lauren_codelist']
86406008,Human immunodeficiency virus infection,HIV,,['Lauren_codelist']
86406008,Human immunodeficiency virus with other clinical findings,HIV,,['Lauren_codelist']
86406008,[X]HIV disease resulting in other specified conditions,HIV,,['Lauren_codelist']
86406008,[X]Human immunodeficiency virus disease,HIV,,['Lauren_codelist']
86406008,[X]Unspecified human immunodeficiency virus [HIV] disease,HIV,,['Lauren_codelist']
88415009,HIV disease resulting in mycobacterial infection,HIV,,['Lauren_codelist']
91947003,Asymptomatic human immunodeficiency virus infection,HIV,,['Lauren_codelist']
998171000000102,Human immunodeficiency virus viral load by log rank,HIV,,['Lauren_codelist']
998701000000106,HIV viral load,HIV,,['Lauren_codelist']
