SnomedCTConceptId,Term,Disease,Otherinstructions,origin
161481007,H/O: migraine,Headache,,['efi']
193030005,Migraine variants,Headache,,['efi']
193031009,Cluster headache syndrome,Headache,,['efi']
193039006,Complicated migraine,Headache,,['efi']
230462002,Migraine with aura,Headache,,['efi']
230464001,Non-familial hemiplegic migraine,Headache,,['efi']
230468003,Migraine with ischaemic complication,Headache,,['efi']
25064002,Headache,Headache,,['efi']
267096005,(Frontal headache) or (pain in sinuses),Headache,,['efi']
37796009,Migraine,Headache,,['efi']
398057008,Tension-type headache,Headache,,['efi']
408381007,Migraine prophylaxis,Headache,,['efi']
4473006,Migraine with aura,Headache,,['efi']
49605003,Ophthalmoplegic migraine,Headache,,['efi']
4969004,(Frontal headache) or (pain in sinuses),Headache,,['efi']
56097005,Migraine without aura,Headache,,['efi']
59292006,Hemiplegic migraine,Headache,,['efi']
79267007,Retinal migraine,Headache,,['efi']
83351003,Basilar migraine,Headache,,['efi']
95655001,Ophthalmic migraine,Headache,,['efi']
95656000,Familial hemiplegic migraine,Headache,,['efi']
