SnomedCTConceptId,Term,Disease,Otherinstructions,origin
10633002,Acute congestive heart failure,Heart Failure,,['Lauren_codelist' 'efi']
128404006,Right heart failure,Heart Failure,,['Lauren_codelist' 'efi']
134378009,Congestive heart failure monitoring,Heart Failure,,['Lauren_codelist' 'efi']
134401001,Left ventricular systolic dysfunction,Heart Failure,,['Lauren_codelist' 'efi']
161505003,H/O: heart failure,Heart Failure,,['efi']
194767001,Benign hypertensive heart disease with CCF,Heart Failure,,['Lauren_codelist' 'efi']
194779001,Hypertensive heart&renal dis wth (congestive) heart failure,Heart Failure,,['efi']
194781004,Hyperten heart&renal dis+both(congestv)heart and renal fail,Heart Failure,,['efi']
195111005,Decompensated cardiac failure,Heart Failure,,['Lauren_codelist' 'efi']
195112003,Compensated cardiac failure,Heart Failure,,['Lauren_codelist' 'efi']
195114002,Acute left ventricular failure,Heart Failure,,['Lauren_codelist' 'efi']
195130005,Post cardiac operation heart failure NOS,Heart Failure,,['efi']
200171000000102,Referred by heart failure nurse specialist,Heart Failure,,['efi']
200361000000106,Did not attend practice nurse heart failure clinic,Heart Failure,,['efi']
202231000000106,Heart failure review completed,Heart Failure,,['efi']
203791000000106,Referred to heart failure education group,Heart Failure,,['Lauren_codelist']
206586007,Congenital cardiac failure,Heart Failure,,['Lauren_codelist']
20741006,(Conges card fail)(dropsy)(card insuf)(R hrt fail)(LV fail),Heart Failure,,['efi']
233871002,Congestive obstructive cardiomyopathy,Heart Failure,,['Lauren_codelist' 'efi']
233924009,Heart failure as a complication of care,Heart Failure,,['efi']
247361000000100,Heart failure 6 month review,Heart Failure,,['efi']
248571000000104,Did not attend heart failure clinic,Heart Failure,,['efi']
275514001,Impaired left ventricular function,Heart Failure,,['Lauren_codelist']
275514001,Left ventricular failure,Heart Failure,,['efi']
276514007,Neonatal cardiac failure,Heart Failure,,['Lauren_codelist']
308118002,Cardiac failure therapy,Heart Failure,,['Lauren_codelist' 'efi']
309634009,H/O: Heart failure in last year,Heart Failure,,['efi']
314206003,Refractory heart failure,Heart Failure,,['efi']
360371003,Impaired left ventricular function,Heart Failure,,['efi']
367363000,Heart failure: [right] or [congestive],Heart Failure,,['efi']
367363000,Right ventricular failure,Heart Failure,,['Lauren_codelist']
389026000,(Conges card fail)(dropsy)(card insuf)(R hrt fail)(LV fail),Heart Failure,,['efi']
390884006,Heart failure follow-up,Heart Failure,,['Lauren_codelist' 'efi']
390885007,Heart failure annual review,Heart Failure,,['Lauren_codelist' 'efi']
395105005,Heart failure confirmed,Heart Failure,,['Lauren_codelist' 'efi']
395172009,No evid left vent syst dysfunc,Heart Failure,,['efi']
395704004,Left ventricular diastolic dysfunction,Heart Failure,,['Lauren_codelist' 'efi']
399020009,Congestive cardiomyopathy,Heart Failure,,['efi']
40541001,Asthma - cardiac,Heart Failure,,['efi']
40541001,Pulmonary oedema - acute,Heart Failure,,['Lauren_codelist']
407596008,Echocardiogram shows left ventricular systolic dysfunction,Heart Failure,,['efi']
413838009,Heart disease: [arteriosclerotic] or [chronic ischaemic NOS],Heart Failure,,['efi']
414586001,Left ventricular dysfunction monitoring first letter,Heart Failure,,['Lauren_codelist']
414588000,Left ventricular dysfunction monitoring second letter,Heart Failure,,['Lauren_codelist']
414589008,Left ventricular dysfunction monitoring third letter,Heart Failure,,['Lauren_codelist']
416573008,Left ventricular dysfunction monitoring verbal invite,Heart Failure,,['Lauren_codelist']
416683003,Admit heart failure emergency,Heart Failure,,['Lauren_codelist' 'efi']
416717003,Seen in heart failure clinic,Heart Failure,,['efi']
417146007,Referral to heart failure nurse,Heart Failure,,['efi']
417359009,Seen by community heart failure nurse,Heart Failure,,['Lauren_codelist' 'efi']
420300004,NYHA classification - class I,Heart Failure,,['efi']
420816009,New York Heart Assoc classification heart failure symptoms,Heart Failure,,['efi']
420913000,New York Heart Association Classification - Class III,Heart Failure,,['Lauren_codelist']
420913000,New York Heart Association classification - class III,Heart Failure,,['efi']
421704003,New York Heart Association classification - class II,Heart Failure,,['efi']
422293003,NYHA classification - class IV,Heart Failure,,['efi']
422293003,New York Heart Association Classification - Class IV,Heart Failure,,['Lauren_codelist']
42343007,Congestive cardiac failure,Heart Failure,,['Lauren_codelist']
42343007,Congestive heart failure,Heart Failure,,['Lauren_codelist']
42343007,Heart failure: [right] or [congestive],Heart Failure,,['efi']
423475008,Heart failure education,Heart Failure,,['Lauren_codelist' 'efi']
426611007,Congestive heart failure due to valvular disease,Heart Failure,,['Lauren_codelist' 'efi']
43736008,Rheumatic left ventricular failure,Heart Failure,,['Lauren_codelist' 'efi']
446221000,Heart failure with normal ejection fraction,Heart Failure,,['efi']
49584005,Acute cor pulmonale,Heart Failure,,['Lauren_codelist' 'efi']
53741008,Heart disease: [arteriosclerotic] or [chronic ischaemic NOS],Heart Failure,,['efi']
55442000,Paroxysmal nocturnal dyspnoea,Heart Failure,,['efi']
56675007,Acute heart failure,Heart Failure,,['Lauren_codelist' 'efi']
64715009,Hypertensive heart disease NOS with CCF,Heart Failure,,['Lauren_codelist' 'efi']
698361000,Heart failure self management plan,Heart Failure,,['efi']
703272007,Heart fail reducd ejectn frctn,Heart Failure,,['efi']
704095000,Referral to heart failure exercise programme,Heart Failure,,['efi']
704097008,Referral to heart failure exercise programme declined,Heart Failure,,['efi']
716551000000107,Exception reporting: LVD quality indicators,Heart Failure,,['Lauren_codelist']
716621000000101,Heart failure monitoring third letter,Heart Failure,,['efi']
