SnomedCTConceptId,Term,Disease,Otherinstructions,origin
160689007,Housebound,Housebound,,['efi']
183737004,Domiciliary visit received,Housebound,,['efi']
185460008,Home visit request by patient,Housebound,,['efi']
185461007,Home visit planned by doctor,Housebound,,['efi']
185462000,Home visit request by relative,Housebound,,['efi']
185467006,Acute home visit,Housebound,,['efi']
185468001,Chronic home visit,Housebound,,['efi']
185470005,Home visit elderly assessment,Housebound,,['efi']
225929007,Joint home visit,Housebound,,['efi']
270420001,(Seen in own home) or (home visit),Housebound,,['efi']
282145008,Unable to walk,Housebound,,['efi']
282204009,Unable to initiate walking,Housebound,,['efi']
282854008,Unable to maintain a standing position,Housebound,,['efi']
282877008,Unable to stand up alone,Housebound,,['efi']
282883006,Unable to stand from sitting,Housebound,,['efi']
301657001,Unable to get out of a chair,Housebound,,['efi']
301670005,Unable to get on a bed,Housebound,,['efi']
301676004,Unable to get off a bed,Housebound,,['efi']
303384002,Unable to change position,Housebound,,['efi']
408382000,Home visit planned by healthcare professional,Housebound,,['efi']
413121008,Dependent on helper pushing wheelchair,Housebound,,['efi']
439708006,(Seen in own home) or (home visit),Housebound,,['efi']
714251000000104,Home visit admin,Housebound,,['efi']
