SnomedCTConceptId,Term,Disease,Otherinstructions,origin
162271007,Felt faint,Hypotension / syncope,,['efi']
163020007,O/E - blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
163030003,O/E - Systolic BP reading,Hypotension / syncope,3 readings less than 90 EVER,['efi']
163031004,O/E - Diastolic BP reading,Hypotension / syncope,3 readings less than 60 EVER,['efi']
163033001,Lying blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
163034007,Standing blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
163035008,Sitting blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
195506001,Idiopathic hypotension,Hypotension / syncope,,['efi']
198081000000101,Ambulatory systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
198091000000104,Ambulatory diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
230664009,Sympathotonic orthostatic hypotension,Hypotension / syncope,,['efi']
234171009,Drug-induced hypotension,Hypotension / syncope,,['efi']
241727003,Induced hypotension,Hypotension / syncope,,['efi']
248229009,Vasovagal symptom,Hypotension / syncope,,['efi']
270891002,Had a collapse,Hypotension / syncope,,['efi']
271594007,[D]Syncope and collapse,Hypotension / syncope,,['efi']
271787007,[D]Collapse,Hypotension / syncope,,['efi']
271870002,[D]Low blood pressure reading,Hypotension / syncope,,['efi']
28651003,Orthostatic hypotension,Hypotension / syncope,,['efi']
307280005,Implantation of cardiac pacemaker system NEC,Hypotension / syncope,,['efi']
309585006,[D]Syncope and collapse,Hypotension / syncope,,['efi']
314449000,Average 24 hour systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
314462001,Average 24 hour diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
335661000000109,Self measured blood pressure reading,Hypotension / syncope,3 readings less than 90 systolic or 60 diastolic EVER,['efi']
386705008,[D]Light-headedness,Hypotension / syncope,,['efi']
398652001,[D]Vasovagal attack,Hypotension / syncope,,['efi']
398665005,Syncope/vasovagal faint,Hypotension / syncope,,['efi']
400974009,Standing systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
400975005,Standing diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
407554009,Sitting systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
407555005,Sitting diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
407556006,Lying systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
407557002,Lying diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
407645004,Dizziness on standing up,Hypotension / syncope,,['efi']
413605002,Average home diastolic blood pressure,Hypotension / syncope,3 readings less than 60 EVER,['efi']
413606001,Average home systolic blood pressure,Hypotension / syncope,3 readings less than 90 EVER,['efi']
45007003,Hypotension,Hypotension / syncope,,['efi']
472960000,History of hypotension,Hypotension / syncope,,['efi']
501631000000108,[D]Low blood pressure reading,Hypotension / syncope,,['efi']
718685006,Parkinsonism with orthostatic hypotension,Hypotension / syncope,,['efi']
77545000,Chronic hypotension,Hypotension / syncope,,['efi']
