SnomedCTConceptId,Term,Disease,Otherinstructions,origin
10713006,Fibrosing alveolitis-rheumat.,Inflammatory arthritis,,['efi']
161567008,H/O: rheumatoid arthritis,Inflammatory arthritis,,['efi']
164456005, O/E-hands-rheumatoid spindling                               ,Inflammatory arthritis,,['efi']
190828008,Gouty arthropathy,Inflammatory arthritis,,['efi']
193180002, Polyneuropathy in rheumatoid arthritis                       ,Inflammatory arthritis,,['efi']
193250002, Myopathy due to rheumatoid arthritis                         ,Inflammatory arthritis,,['efi']
195136004, Rheumatoid myocarditis                                       ,Inflammatory arthritis,,['efi']
201727001,Arthropathy in ulcerative colitis,Inflammatory arthritis,,['efi']
201764007,Rheumatoid arthritis of cervical spine,Inflammatory arthritis,,['efi']
201766009, Rheumatoid arthritis of shoulder                             ,Inflammatory arthritis,,['efi']
201768005,Rheumatoid arthritis of acromioclavicular joint,Inflammatory arthritis,,['efi']
201769002,Rheumatoid arthritis of elbow,Inflammatory arthritis,,['efi']
201770001, Rheumatoid arthritis of distal radio-ulnar joint             ,Inflammatory arthritis,,['efi']
201771002, Rheumatoid arthritis of wrist                                ,Inflammatory arthritis,,['efi']
201772009,Rheumatoid arthritis of metacarpophalangeal joint,Inflammatory arthritis,,['efi']
201773004, Rheumatoid arthritis of PIP joint of finger                  ,Inflammatory arthritis,,['efi']
201774005,Rheumatoid arthritis of DIP joint of finger,Inflammatory arthritis,,['efi']
201775006, Rheumatoid arthritis of hip                                  ,Inflammatory arthritis,,['efi']
201776007,Rheumatoid arthritis of sacroiliac joint,Inflammatory arthritis,,['efi']
201777003,Rheumatoid arthritis of knee,Inflammatory arthritis,,['efi']
201779000, Rheumatoid arthritis of ankle                                ,Inflammatory arthritis,,['efi']
201780002,Rheumatoid arthritis of subtalar joint,Inflammatory arthritis,,['efi']
201781003,Rheumatoid arthritis of talonavicular joint,Inflammatory arthritis,,['efi']
201783000,Rheumatoid arthritis of first metatarsophalangeal joint,Inflammatory arthritis,,['efi']
201784006,Rheumatoid arthritis of lesser metatarsophalangeal joint,Inflammatory arthritis,,['efi']
201785007,Rheumatoid arthritis of interphalangeal joint of toe,Inflammatory arthritis,,['efi']
201788009,Rheumatoid bursitis,Inflammatory arthritis,,['efi']
201791009,Flare of rheumatoid arthritis,Inflammatory arthritis,,['efi']
239791005," ""Seropositive rheumatoid arthritis, unspecified""              ",Inflammatory arthritis,,['efi']
239792003, Seronegative rheumatoid arthritis                            ,Inflammatory arthritis,,['efi']
239793008, Other rheumatoid arthropathy + visceral/systemic involvement ,Inflammatory arthritis,,['efi']
239795001,Rheumatoid arthritis with multisystem involvement,Inflammatory arthritis,,['efi']
239920006, Adult Still's Disease                                        ,Inflammatory arthritis,,['efi']
267969005,(Spondyl & allied dis) or (arthr spine) or (osteoarth spine),Inflammatory arthritis,,['efi']
268524007, Rheumatoid arthrit. monitoring                               ,Inflammatory arthritis,,['efi']
275902004, Rheumatoid arthrit. monitoring                               ,Inflammatory arthritis,,['efi']
275920008, Rheumatoid arthrit. monitoring                               ,Inflammatory arthritis,,['efi']
27813003,Injection into joint NEC,Inflammatory arthritis,,['efi']
287006005, Rheumatoid arthritis - multiple joint                        ,Inflammatory arthritis,,['efi']
287007001,Rheumatoid arthritis - hand joint,Inflammatory arthritis,,['efi']
287008006,Rheumatoid arthritis - ankle/foot,Inflammatory arthritis,,['efi']
28880005, Rheumatoid carditis                                          ,Inflammatory arthritis,,['efi']
301877006,Injection of steroid into knee joint,Inflammatory arthritis,,['efi']
308143008, Seropositive errosive rheumatoid arthritis                   ,Inflammatory arthritis,,['efi']
33719002, Rheumatoid nodule                                            ,Inflammatory arthritis,,['efi']
35885006,Gouty arthritis,Inflammatory arthritis,,['efi']
3723001,Inflammatory arthritis,Inflammatory arthritis,,['efi']
398640008, Fibrosing alveolitis associated with rheumatoid arthritis    ,Inflammatory arthritis,,['efi']
398726004, Rheumatoid lung                                              ,Inflammatory arthritis,,['efi']
400054000, Rheumatoid vasculitis                                        ,Inflammatory arthritis,,['efi']
416956002,Inflamm polyarthropathy: (& [rheumatoid arthrit] or [other]),Inflammatory arthritis,,['efi']
417373000,Inflamm polyarthropathy: (& [rheumatoid arthrit] or [other]),Inflammatory arthritis,,['efi']
429192004,Rheumatoid arthritis of other tarsal joint,Inflammatory arthritis,,['efi']
443349002,Disease activity score in rheumatoid arthritis,Inflammatory arthritis,,['efi']
48440001,Gouty arthritis,Inflammatory arthritis,,['efi']
57160007, Felty's syndrome                                             ,Inflammatory arthritis,,['efi']
69896004,Rheumatoid arthritis,Inflammatory arthritis,,['efi']
84017003, Rheumatoid bursitis                                          ,Inflammatory arthritis,,['efi']
8847002,(Spondyl & allied dis) or (arthr spine) or (osteoarth spine),Inflammatory arthritis,,['efi']
90560007,Gout NOS,Inflammatory arthritis,,['efi']
9631008,Other rheumatoid arthritis of spine,Inflammatory arthritis,,['efi']
