SnomedCTConceptId,Term,Disease,Otherinstructions,origin
15084002,Lupus erythematosus profundus,Lupus Erythematosus,,['Lauren_codelist']
193178008,Polyneuropathy in disseminated lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
193248005,Myopathy due to disseminated lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
196138005,Lung disease with systemic lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
200936003,Lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
200936003,Lupus erythematosus NOS,Lupus Erythematosus,,['Lauren_codelist']
200937007,Lupus erythematosus chronicus,Lupus Erythematosus,,['Lauren_codelist']
200938002,Discoid lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
200939005,Lupus erythematosus migrans,Lupus Erythematosus,,['Lauren_codelist']
200940007,Lupus erythematosus nodularis,Lupus Erythematosus,,['Lauren_codelist']
200941006,Lupus erythematosus tumidus,Lupus Erythematosus,,['Lauren_codelist']
200942004,Lupus erythematosus unguium mutilans,Lupus Erythematosus,,['Lauren_codelist']
201436003,Drug-induced systemic lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
239887007,Systemic lupus erythematosus with organ or sys involv,Lupus Erythematosus,,['Lauren_codelist']
239891002,Subacute cutaneous lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
307755009,Renal tubulo-interstitial disorder in SLE,Lupus Erythematosus,,['Lauren_codelist']
309762007,Systemic lupus erythematosus with pericarditis,Lupus Erythematosus,,['Lauren_codelist']
54072008,Libman-Sacks disease,Lupus Erythematosus,,['Lauren_codelist']
55464009,Disseminated lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
55464009,Systemic lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
55464009,Systemic lupus erythematosus NOS,Lupus Erythematosus,,['Lauren_codelist']
55464009,[X]Other forms of systemic lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
68815009,Lupus nephritis,Lupus Erythematosus,,['Lauren_codelist']
68815009,Nephrotic syndrome in systemic lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
7119001,[X]Other local lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
79291003,Eyelid discoid lupus erythematosus,Lupus Erythematosus,,['Lauren_codelist']
95644001,Cerebral lupus,Lupus Erythematosus,,['Lauren_codelist']
,,Lupus Erythematosus,,['Lauren_codelist' 'Lauren_codelist' 'Lauren_codelist' 'Lauren_codelist']
