SnomedCTConceptId,Term,Disease,Otherinstructions,origin
286421000,Diff perform cater activities,Meal preparation problems,,['efi']
286424008,Unable to cater for self,Meal preparation problems,,['efi']
286427001,Difficulty catering for self,Meal preparation problems,,['efi']
286454003,Unable prepare food for eating,Meal preparation problems,,['efi']
286457005,Diff preparing food for eating,Meal preparation problems,,['efi']
286463001,Difficulty washing food,Meal preparation problems,,['efi']
286466009,Unable to chop food,Meal preparation problems,,['efi']
286469002,Difficulty chopping food,Meal preparation problems,,['efi']
286472009,Unable to slice food,Meal preparation problems,,['efi']
286475006,Difficulty slicing food,Meal preparation problems,,['efi']
286478008,Unable to spread food,Meal preparation problems,,['efi']
286481003,Difficulty spreading food,Meal preparation problems,,['efi']
286487004,Diff mixing food ingredients,Meal preparation problems,,['efi']
286490005,Unable to prepare meal,Meal preparation problems,,['efi']
286493007,Difficulty preparing meal,Meal preparation problems,,['efi']
286515001,Unable to cook food,Meal preparation problems,,['efi']
286518004,Difficulty cooking food,Meal preparation problems,,['efi']
400986007,Needs help with cooking,Meal preparation problems,,['efi']
