SnomedCTConceptId,Term,Disease,Otherinstructions,origin
17842005,Confabulation,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
192071009,Mild memory disturbance,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
225037001,Minor memory lapses,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
225038006,Memory lapses,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247588002,Long-term memory loss,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247592009,Short-term memory loss,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247593004,Forgets what was going to do,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247594005,Forgets what was going to say,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247595006,Forgets recent activities,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247596007,Forgets what has just done,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247597003,Forgets what has just said,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247608009,Unable to remember today's date,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247612003,Cannot remember names of intimates,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247613008,Cannot remember own age,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
247614002,Cannot remember wedding anniversary,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
283880001,Momentary confabulation,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
285188007,Unable to remember own date of birth,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
285191007,Unable to remember day of the week,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
285197006,Unable to remember current year,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
285208000,Unable to recall random address at five minutes,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
285212006,Unable to recall five digit number at five minutes,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
310531007,Wanders during the day,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
310532000,Wanders at night,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
386807006,Memory loss - amnesia,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
408367005,Patient forgets to take medication,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
40917007,Confusion,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
413088002,Poor visual sequential memory,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
413089005,Poor auditory sequential memory,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
415276009,Referral to memory clinic,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
48167000,Memory loss - amnesia,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
50239007,Wandering,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
51921000,[D]Memory deficit,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
55533009,Forgetful,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
710560006,Wanders during the day and at night,Memory concerns,Removed if cognitive impairment or dementia code added,['efi']
