SnomedCTConceptId,Term,Disease,Otherinstructions,origin
161726001,Length of cycle decreasing,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
237126008,Pubertal bleeding and menorrhagia,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
266601003,Excessive or frequent menstruation,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
266601003,Excessive or frequent menstruation NOS,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
266601003,Frequent menses,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
386692008,Heavy menstrual bleeding,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
386692008,Heavy periods,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
386692008,Hypermenorrhoea,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
386692008,Menorrhagia,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
52754008,Epimenorrhoea,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
52754008,Polymenorrhoea,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
88424000,Climacteric menorrhagia,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
88424000,Perimenopausal menorrhagia,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
88424000,Premenopausal menorrhagia,Menorrhagia and Polymenorrhea,,['Lauren_codelist']
