SnomedCTConceptId,Term,Disease,Otherinstructions,origin
160629005,Exercise physically impossible,Mobility problems,,['efi']
160681005,Mobile outside with aid,Mobility problems,,['efi']
160683008,Needs walking aid in home,Mobility problems,,['efi']
160692006,Mobility very poor,Mobility problems,,['efi']
160693001,Mobility poor,Mobility problems,,['efi']
165251008,Walking aid use,Mobility problems,,['efi']
183135000,Mobility aids,Mobility problems,,['efi']
228158008,Difficulty in walking,Mobility problems,,['efi']
228617000,Provision of pressure relief equipment,Mobility problems,,['efi']
229684006,"Evidence of pressure mattress, cushion in use",Mobility problems,,['efi']
243751002,Provision of mobility device,Mobility problems,,['efi']
282145008,Unable to walk,Mobility problems,,['efi']
282204009,Unable to initiate walking,Mobility problems,,['efi']
282854008,Unable to maintain a standing position,Mobility problems,,['efi']
282877008,Unable to stand up alone,Mobility problems,,['efi']
282883006,Unable to stand from sitting,Mobility problems,,['efi']
286521002,Unable to carry prepared food,Mobility problems,,['efi']
300614002,Unable to travel on foot,Mobility problems,,['efi']
300618004,Difficulty travelling on foot,Mobility problems,,['efi']
300671004,Unable to cross the road,Mobility problems,,['efi']
300674007,Difficulty crossing the road,Mobility problems,,['efi']
301577000,Unable to mobilise using wheelchair,Mobility problems,,['efi']
301589003,Unable to manage stairs,Mobility problems,,['efi']
301613000,Unable to manage steps,Mobility problems,,['efi']
301657001,Unable to get out of a chair,Mobility problems,,['efi']
301670005,Unable to get on a bed,Mobility problems,,['efi']
301676004,Unable to get off a bed,Mobility problems,,['efi']
301688002,Unable to roll over in bed,Mobility problems,,['efi']
301694005,Unable to move up and down bed,Mobility problems,,['efi']
302046008,Difficulty mobilising,Mobility problems,,['efi']
334681000000104,Unable to get in car,Mobility problems,,['efi']
413121008,Dependent on helper pushing wheelchair,Mobility problems,,['efi']
714887007,Unable to transfer,Mobility problems,,['efi']
715089000,Dependent: chair/bed transfer,Mobility problems,,['efi']
8510008,Reduced mobility,Mobility problems,,['efi']
