SnomedCTConceptId,Term,Disease,Otherinstructions,origin
102556003,Pain in limb (& [named site variants]),Musculoskeletal problems,,['efi']
10601006,Pain in limb (& [named site variants]),Musculoskeletal problems,,['efi']
164539000,O/E - joint movement painful,Musculoskeletal problems,,['efi']
18876004,Hand pain (& [thumb] or [finger]),Musculoskeletal problems,,['efi']
202472008,Hand joint pain,Musculoskeletal problems,,['efi']
202479004,Joint pain: [shoulder] or [acromioclavicular],Musculoskeletal problems,,['efi']
202480001,Arthralgia of the upper arm (& [elbow]),Musculoskeletal problems,,['efi']
202482009,Arthralgia of the forearm (& [wrist]),Musculoskeletal problems,,['efi']
202483004,Metacarpophalangeal joint pain,Musculoskeletal problems,,['efi']
202484005,Proximal interphalangeal joint of finger pain,Musculoskeletal problems,,['efi']
202485006,Distal interphalangeal joint of finger pain,Musculoskeletal problems,,['efi']
202487003,Sacroiliac joint pain,Musculoskeletal problems,,['efi']
202490009,Arthralgia of the ankle &/or foot,Musculoskeletal problems,,['efi']
202495004,First metatarsophalangeal joint pain,Musculoskeletal problems,,['efi']
202497007,Interphalangeal joint of toe pain,Musculoskeletal problems,,['efi']
202838007,Rotator cuff shoulder syndrome and allied disorders,Musculoskeletal problems,,['efi']
202841003,(Rotat cuff synd NOS) or (painf arc synd) or (subacrom burs),Musculoskeletal problems,,['efi']
230654000,Painful legs and moving toes,Musculoskeletal problems,,['efi']
239733006,Anterior knee pain,Musculoskeletal problems,,['efi']
247373008,Pain in limb (& [named site variants]),Musculoskeletal problems,,['efi']
247374002,Range of painful joint movement,Musculoskeletal problems,,['efi']
247375001,Arc of pain in joint,Musculoskeletal problems,,['efi']
26544005,Muscle weakness,Musculoskeletal problems,,['efi']
267949000,Arthralgia of the shoulder region (& [shoulder joint]),Musculoskeletal problems,,['efi']
267950000,Arthralgia of the upper arm (& [elbow]),Musculoskeletal problems,,['efi']
267952008,(Arthralgia pelv/thigh)(coxalgia)(hip joint pain)(irrit hip),Musculoskeletal problems,,['efi']
267953003,Arthralgia of the lower leg (& [knee]),Musculoskeletal problems,,['efi']
267954009,Arthralgia of the ankle &/or foot,Musculoskeletal problems,,['efi']
268991001,O/E: [shoulder joint abnormal] or [painful arc],Musculoskeletal problems,,['efi']
2733002,Pain in limb (& [named site variants]),Musculoskeletal problems,,['efi']
275875002,O/E: [shoulder joint abnormal] or [painful arc],Musculoskeletal problems,,['efi']
2764000,(Oth joint symp) or (joint crepit) or (joint musculosk pain),Musculoskeletal problems,,['efi']
279043006,Pain in limb (& [named site variants]),Musculoskeletal problems,,['efi']
279066007,Foot joint pain,Musculoskeletal problems,,['efi']
279067003,Metatarsophalangeal joint pain,Musculoskeletal problems,,['efi']
279069000,Rheumatic pain,Musculoskeletal problems,,['efi']
285365001,Foot pain (& [toe]),Musculoskeletal problems,,['efi']
298248007,Weakness of joint movement,Musculoskeletal problems,,['efi']
298255009,Pain on joint movement,Musculoskeletal problems,,['efi']
298266002,(Oth joint symp) or (joint crepit) or (joint musculosk pain),Musculoskeletal problems,,['efi']
298857005,Shoulder joint painful on movement,Musculoskeletal problems,,['efi']
298858000,Shoulder joint - painful arc,Musculoskeletal problems,,['efi']
298929004,Elbow joint - painful on movement,Musculoskeletal problems,,['efi']
299018007,Wrist joint painful on movement,Musculoskeletal problems,,['efi']
299112005,Finger joint painful on movement,Musculoskeletal problems,,['efi']
299199000,Thumb joint painful on movement,Musculoskeletal problems,,['efi']
299308007,Hip joint painful on movement,Musculoskeletal problems,,['efi']
299377003,Knee joint - painful on movement,Musculoskeletal problems,,['efi']
299447008,Ankle joint - painful on movement,Musculoskeletal problems,,['efi']
299513007,Foot joint - painful on movement,Musculoskeletal problems,,['efi']
299633000,Toe joint painful on movement,Musculoskeletal problems,,['efi']
300955002,Hand pain (& [thumb] or [finger]),Musculoskeletal problems,,['efi']
301365009,Pain of head and neck region,Musculoskeletal problems,,['efi']
301813003,(Arthralgia pelv/thigh)(coxalgia)(hip joint pain)(irrit hip),Musculoskeletal problems,,['efi']
309765009,Pain due to hip joint prosthesis,Musculoskeletal problems,,['efi']
309767001,Pain due to knee joint prosthesis,Musculoskeletal problems,,['efi']
