SnomedCTConceptId,Term,Disease,Otherinstructions,origin
103735009,Palliative care,Palliative care,,['efi']
1095131000000100,Offer of EOL ACP review,Palliative care,,['efi']
162608008,Terminal illness - late stage,Palliative care,,['efi']
182964004,Terminal care,Palliative care,,['efi']
183569005,Refer to terminal care consult,Palliative care,,['efi']
183595007,Refer for terminal care,Palliative care,,['efi']
201511000000105,Under palliative care serv,Palliative care,,['efi']
25411000000109,Ref com spec palliativ care tm,Palliative care,,['efi']
305496007,Under care palliat care phys,Palliative care,,['efi']
305686008,Seen by palliative care phys,Palliative care,,['efi']
305824005,Seen by pall care med - serv,Palliative care,,['efi']
306237005,Ref to palliative care service,Palliative care,,['efi']
306288008,Ref to palliative care phys,Palliative care,,['efi']
363676003,Palliative treatment,Palliative care,,['efi']
395103003,Final days pathway,Palliative care,,['efi']
395669003,Spec palliative care treatment,Palliative care,,['efi']
395694002,Sp palltiv care treat - daycre,Palliative care,,['efi']
395695001,Sp palltiv care treat - outpt,Palliative care,,['efi']
414937009,On gold stand pall care frame,Palliative care,,['efi']
443761007,Anticipatory palliative care,Palliative care,,['efi']
444933003,Hospice at home service,Palliative care,,['efi']
470191000000109,[V]Palliative care,Palliative care,,['efi']
511401000000102,Last days of life,Palliative care,,['efi']
514591000000108,Form DS1500 completed,Palliative care,,['efi']
518901000000101,GSF sup care st 1 - adv diseas,Palliative care,,['efi']
518941000000103,GSF sup care st 2 - incre decl,Palliative care,,['efi']
519041000000106,GSF su ca st 3: cat C - wks pr,Palliative care,,['efi']
519061000000107,GSF su ca st 3:cat D - days pr,Palliative care,,['efi']
526631000000108,On end of life care register,Palliative care,,['efi']
707988003,Last days of life discussed,Palliative care,,['efi']
713581007,Offer of EOL ACP review,Palliative care,,['efi']
713615000,EOL advance care plan declined,Palliative care,,['efi']
719238004,Has end lif car pthwy key nurs,Palliative care,,['efi']
719240009,Has end lif car pathw key wrkr,Palliative care,,['efi']
754401000000106,GSF su ca st 3: cat B - mth pr,Palliative care,,['efi']
783841000000101,Ref to comm pall care tm dclnd,Palliative care,,['efi']
783941000000105,LCP for the dying pt declined,Palliative care,,['efi']
818221000000103,On LCP for the dying,Palliative care,,['efi']
840071000000102,Plannd palliatv oncolgy treatm,Palliative care,,['efi']
840331000000102,Pland supportv care terml illn,Palliative care,,['efi']
840351000000109,Currnt suportv care terml illn,Palliative care,,['efi']
845021000000105,Pt held palliative care record,Palliative care,,['efi']
845721000000108,GSF prg in st B grn - mnth prg,Palliative care,,['efi']
845751000000103,GSF prg in stg C ylw - wks prg,Palliative care,,['efi']
845771000000107,GSF prg ind stg D rd - day prg,Palliative care,,['efi']
846161000000108,Palliative cre hndvr frm cmplt,Palliative care,,['efi']
846841000000101,Currnt palliativ oncolgy treat,Palliative care,,['efi']
847771000000100,End of life care pathway,Palliative care,,['efi']
850951000000107,Undr care palativ speclst nurs,Palliative care,,['efi']
854021000000106,Amb serv not pt on EoL registr,Palliative care,,['efi']
871021000000106,Prscrpt paltiv care anticp med,Palliative care,,['efi']
873411000000105,Liverpool care pathway dying,Palliative care,,['efi']
874311000000104,ICP for end of life,Palliative care,,['efi']
901741000000103,PCOC Assessment Toolkit,Palliative care,,['efi']
936871000000101,EOL ACP review declined,Palliative care,,['efi']
955231000000109,Last weeks of life,Palliative care,,['efi']
968211000000101,Last months of life,Palliative care,,['efi']
