SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111499002,Dejerine-Sottas disease,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
111499002,Hereditary motor and sensory neuropathy type III,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
11442006,Hereditary sensory neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
128189008,Mononeuritis of unspecified site NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
128189008,[X]Other mononeuropathies in diseases classified elsewhere,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
128189008,[X]Other specified mononeuropathies,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
128194008,Superficial peroneal nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
129131007,Acute infective polyneuritis,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
129131007,Acute infective polyneuritis NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
129616004,Polyneuropathy in porphyria,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
1767005,Miller-Fisher syndrome,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
17689009,Median nerve neuritis,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
191471000,Korsakov's alcoholic psychosis with peripheral neuritis,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193125009,Mononeuritis of upper limb and mononeuritis multiplex,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193129003,Median nerve compression in forearm,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193134004,Canal of Guyon compression,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193137006,Radial nerve lesion NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193137006,Radial nerve lesions,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193138001,Sensory branch of radial nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193139009,Posterior interosseous nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193141005,Diabetic mononeuritis NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193141005,Diabetic mononeuritis multiplex,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193148004,Plantar nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193148004,Plantar nerve lesion NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193152004,Deep peroneal nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193165008,Neuropathy in association with hereditary ataxia,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193171002,Hereditary or idiopathic peripheral neuropathy NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193174005,Postinfectious polyneuritis,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193177003,Polyneuropathy in collagen vascular disease,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193177003,Polyneuropathy in collagen vascular disease NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193178008,Polyneuropathy in disseminated lupus erythematosus,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193179000,Polyneuropathy in polyarteritis nodosa,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193180002,Polyneuropathy in rheumatoid arthritis,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193183000,Acute painful diabetic neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193184006,Chronic painful diabetic neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193185007,Asymptomatic diabetic neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193186008,Polyneuropathy in disease EC,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193186008,Polyneuropathy in disease NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193187004,Polyneuropathy in amyloidosis,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193188009,Polyneuropathy in vitamin B deficiency,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193190005,Polyneuropathy in herpes zoster,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193191009,Polyneuropathy in hypoglycaemia,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193195000,Polyneuropathy in sarcoidosis,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193196004,Polyneuropathy in uraemia,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
193203006,Serum neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
201251005,Neuropathic diabetic ulcer - foot,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
201724008,Insulin dependent diab mell with neuropathic arthropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
202700003,Neuropathic spondylopathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
21018002,[X]Other inflammatory polyneuropathies,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
211412006,Neuropathic foot blister,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
22722001,Other idiopathic peripheral neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
22722001,Other idiopathic peripheral neuropathy NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
230571009,[X]Polyneuropathy/other endocrine+metabolic diseases CE,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
230572002,Diabetes mellitus with neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
230572002,Diabetic neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
230577008,Diabetic mononeuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
230577008,Insulin dependent diabetes mellitus with mononeuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
230596007,Polyneuropathy in diphtheria,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
230646002,Intercostal neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
230657007,Axonal sensorimotor neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
246611002,Median nerve entrapment,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
25362006,Refsum's disease,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
25690000,Femoral nerve lesions,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
267601009,Inflammatory and toxic neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
267601009,Other toxic or inflammatory neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
267601009,Toxic or inflammatory neuropathy NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
277188003,Ulnar nerve entrapment,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
297945000,Other upper limb mononeuritis,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
30085007,Morton's metatarsalgia,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
30085007,Morton's neuralgia,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
302226006,Hereditary and idiopathic peripheral neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
302226006,Peripheral neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
302226006,Peripheral neuropathy - hereditary or idiopathic,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
30292005,Mononeuritis multiplex,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
314904008,Non-insulin dependent d m with neuropathic arthropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
314904008,Type 2 diabetes mellitus with neuropathic arthropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist' 'Lauren_codelist']
314904008,Type II diabetes mellitus with neuropathic arthropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist' 'Lauren_codelist']
31524007,Mumps polyneuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
31524007,Polyneuropathy in mumps,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
33209009,Idiopathic progressive polyneuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
359837005,Ulnar neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
367137004,Sciatic nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
367475009,Ulnar nerve lesion NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
367475009,Ulnar nerve lesions,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
386033004,[X]Other hereditary and idiopathic neuropathies,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
386033004,[X]Polyneuropathy/other musculoskeletal disorders CE,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
397751001,Median nerve lesions NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
397751001,Other median nerve lesions,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
397751001,[X]Other lesions of median nerve,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
398040009,Hereditary motor and sensory neuropathy type I,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
398100001,Charcot's atrophy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
398100001,Charcot-Marie-Tooth disease,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
398100001,Charcot-Marie-Tooth syndrome,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
398100001,Hereditary motor and sensory neuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
398100001,Peroneal muscular atrophy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
398100001,Peroneal muscular atrophy NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
398187000,Hereditary motor and sensory neuropathy type II,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
399107008,Common peroneal nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
399107008,Lateral popliteal nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
399233006,Medial popliteal nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
399233006,Tibial nerve lesion,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
408751001,Causalgia,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
40956001,Guillain-Barre syndrome,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
420436000,Non-insulin dependent diabetes mellitus with mononeuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
420436000,Type 2 diabetes mellitus with mononeuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
420436000,Type II diabetes mellitus with mononeuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist' 'Lauren_codelist']
420918009,Type 1 diabetes mellitus with mononeuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
420918009,Type I diabetes mellitus with mononeuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
42295001,Familial neuropathic amyloid,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
42345000,Polyneuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
42345000,Polyneuropathy unspecified,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
42345000,"[X] Polyneuropathy, unspecified",Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
42345000,[X]Other specified polyneuropathies,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
42658009,Other specified disorders of peripheral nervous system,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
42658009,Peripheral nervous system disorder NOS,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
429081000000100,[X]Polyneuropathies & other disord of peripheral nerv syst,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
45600000,Other toxic agent polyneuropathy,Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,,['Lauren_codelist']
