SnomedCTConceptId,Term,Disease,Otherinstructions,origin
13601005,Paranoid personality disorder,Personality Disorder,,['Lauren_codelist']
13601005,[X]Paranoid personality disorder,Personality Disorder,,['Lauren_codelist']
13601005,[X]Querulant personality disorder,Personality Disorder,,['Lauren_codelist']
13601005,[X]Sensitive paranoid personality disorder,Personality Disorder,,['Lauren_codelist']
1376001,Anancastic personality,Personality Disorder,,['Lauren_codelist']
1376001,Anankastic personality,Personality Disorder,,['Lauren_codelist']
1376001,Obsessional personality,Personality Disorder,,['Lauren_codelist']
1376001,[X]Anankastic personality disorder,Personality Disorder,,['Lauren_codelist']
1376001,[X]Compulsive personality disorder,Personality Disorder,,['Lauren_codelist']
1376001,[X]Obsessive-compulsive personality disorder,Personality Disorder,,['Lauren_codelist']
191765005,Emotionally unstable personality,Personality Disorder,,['Lauren_codelist']
191765005,Labile personality,Personality Disorder,,['Lauren_codelist']
191765005,[X]Aggressive personality disorder,Personality Disorder,,['Lauren_codelist']
191765005,[X]Emotionally unstable personality disorder,Personality Disorder,,['Lauren_codelist']
191765005,[X]Explosive personality disorder,Personality Disorder,,['Lauren_codelist']
191766006,Psychoinfantile personality,Personality Disorder,,['Lauren_codelist']
191772006,Eccentric personality disorder,Personality Disorder,,['Lauren_codelist']
191773001,Immature personality disorder,Personality Disorder,,['Lauren_codelist']
191774007,Masochistic personality disorder,Personality Disorder,,['Lauren_codelist']
192097003,Isolated explosive disorder,Personality Disorder,,['Lauren_codelist']
20010003,Borderline personality disorder,Personality Disorder,,['Lauren_codelist']
20010003,[X]Borderline personality disorder,Personality Disorder,,['Lauren_codelist']
231527003,Explosive personality disorder,Personality Disorder,,['Lauren_codelist']
231527003,Quarrelsome personality,Personality Disorder,,['Lauren_codelist']
231528008,[X]Anxious [avoidant] personality disorder,Personality Disorder,,['Lauren_codelist']
26665006,Amoral personality,Personality Disorder,,['Lauren_codelist']
26665006,Antisocial or sociopathic personality disorder,Personality Disorder,,['Lauren_codelist']
26665006,Psychopathic personality,Personality Disorder,,['Lauren_codelist']
26665006,[X]Amoral personality disorder,Personality Disorder,,['Lauren_codelist']
26665006,[X]Antisocial personality disorder,Personality Disorder,,['Lauren_codelist']
26665006,[X]Asocial personality disorder,Personality Disorder,,['Lauren_codelist']
26665006,[X]Dissocial personality disorder,Personality Disorder,,['Lauren_codelist']
26665006,[X]Psychopathic personality disorder,Personality Disorder,,['Lauren_codelist']
26665006,[X]Sociopathic personality disorder,Personality Disorder,,['Lauren_codelist']
268633003,Introverted personality,Personality Disorder,,['Lauren_codelist']
268634009,Psychoneurotic personality disorder,Personality Disorder,,['Lauren_codelist']
268634009,[X]Psychoneurotic personality disorder,Personality Disorder,,['Lauren_codelist']
286798002,Aggressive personality,Personality Disorder,,['Lauren_codelist']
309711009,Manipulative personality,Personality Disorder,,['Lauren_codelist']
31027006,Schizotypal personality,Personality Disorder,,['Lauren_codelist']
33449004,Neurotic personality,Personality Disorder,,['Lauren_codelist']
33449004,Neurotic personality disorder,Personality Disorder,,['Lauren_codelist']
33449004,Other personality disorder NOS,Personality Disorder,,['Lauren_codelist']
33449004,Other personality disorders,Personality Disorder,,['Lauren_codelist']
33449004,Personality disorder NOS,Personality Disorder,,['Lauren_codelist']
33449004,Personality disorders,Personality Disorder,,['Lauren_codelist']
33449004,[X]Character neurosis NOS,Personality Disorder,,['Lauren_codelist']
33449004,[X]Eccentric personality disorder,Personality Disorder,,['Lauren_codelist']
33449004,[X]Haltlose type personality disorder,Personality Disorder,,['Lauren_codelist']
33449004,[X]Immature personality disorder,Personality Disorder,,['Lauren_codelist']
33449004,[X]Mixed and other personality disorders,Personality Disorder,,['Lauren_codelist']
33449004,[X]Other specific personality disorders,Personality Disorder,,['Lauren_codelist']
33449004,[X]Pathological personality NOS,Personality Disorder,,['Lauren_codelist']
33449004,"[X]Personality disorder, unspecified",Personality Disorder,,['Lauren_codelist']
33449004,[X]Specific personality disorders,Personality Disorder,,['Lauren_codelist']
37746008,Avoidant personality disorder,Personality Disorder,,['Lauren_codelist']
384221000000107,[X]Addictive personality,Personality Disorder,,['Lauren_codelist']
44966003,Passive-aggressive personality disorder,Personality Disorder,,['Lauren_codelist']
473456000,Compulsive personality disorder NOS,Personality Disorder,,['Lauren_codelist']
473456000,Compulsive personality disorders,Personality Disorder,,['Lauren_codelist']
473457009,[X]Obsessional personality disorder,Personality Disorder,,['Lauren_codelist']
52954000,Schizoid personality disorder,Personality Disorder,,['Lauren_codelist']
52954000,Schizoid personality disorder NOS,Personality Disorder,,['Lauren_codelist']
52954000,Unspecified schizoid personality disorder,Personality Disorder,,['Lauren_codelist']
52954000,[X]Schizoid personality disorder,Personality Disorder,,['Lauren_codelist']
55341008,Histrionic personality disorder NOS,Personality Disorder,,['Lauren_codelist']
55341008,Histrionic personality disorders,Personality Disorder,,['Lauren_codelist']
55341008,Hysterical personality disorders,Personality Disorder,,['Lauren_codelist']
55341008,Unspecified histrionic personality disorder,Personality Disorder,,['Lauren_codelist']
55341008,[X]Histrionic personality disorder,Personality Disorder,,['Lauren_codelist']
55341008,[X]Hysterical personality disorder,Personality Disorder,,['Lauren_codelist']
55341008,[X]Psychoinfantile personality disorder,Personality Disorder,,['Lauren_codelist']
80711002,Narcissistic personality disorder,Personality Disorder,,['Lauren_codelist']
80711002,[X]Narcissistic personality disorder,Personality Disorder,,['Lauren_codelist']
84466009,Asthenic personality,Personality Disorder,,['Lauren_codelist']
84466009,Dependent personality,Personality Disorder,,['Lauren_codelist']
84466009,Inadequate personality disorder,Personality Disorder,,['Lauren_codelist']
84466009,[X]Asthenic personality disorder,Personality Disorder,,['Lauren_codelist']
84466009,[X]Dependent personality disorder,Personality Disorder,,['Lauren_codelist']
84466009,[X]Inadequate personality disorder,Personality Disorder,,['Lauren_codelist']
84466009,[X]Passive personality disorder,Personality Disorder,,['Lauren_codelist']
84466009,[X]Self defeating personality disorder,Personality Disorder,,['Lauren_codelist']
