SnomedCTConceptId,Term,Disease,Otherinstructions,origin
128091003,Auto-immune thrombocytopenia,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
267534000,Essential thrombocytopenia NOS,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
267534000,Primary thrombocytopenia,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
267534000,Primary thrombocytopenia NOS,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
267534000,[X]Other primary thrombocytopenia,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
267535004,Congenital thrombocytopenic purpura,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
267535004,Hereditary thrombocytopenia NEC,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
302215000,[X]Essential thrombocytopenia NOS,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
302873008,Evan's syndrome,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
302873008,Megakaryocytic hypoplasia,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
302873008,Other specified primary thrombocytopenia,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
302873008,Thrombocytopenic purpura,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
32273002,ITP - idiopathic thrombocytopenic purpura,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist']
32273002,Idiopathic purpura,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist' 'Lauren_codelist']
32273002,Idiopathic thrombocytopenic purpura,Primary Idiopathic Thrombocytopaenia,,['Lauren_codelist' 'Lauren_codelist']
