SnomedCTConceptId,Term,Disease,Otherinstructions,origin
11441004,Prostatism,Prostate Disorder,,['Lauren_codelist']
12711004,Stricture of prostate,Prostate Disorder,,['Lauren_codelist']
197959008,Prostatic hyperplasia of the lateral lobe,Prostate Disorder,,['Lauren_codelist']
197960003,Prostatic hyperplasia of the medial lobe,Prostate Disorder,,['Lauren_codelist']
197973004,Prostatic congestion or haemorrhage,Prostate Disorder,,['Lauren_codelist']
197973004,Prostatic congestion or haemorrhage NOS,Prostate Disorder,,['Lauren_codelist']
19905009,Chronic prostatitis,Prostate Disorder,,['Lauren_codelist']
22035000,Infarction of prostate,Prostate Disorder,,['Lauren_codelist']
266569009,BPH - Benign prostatic hypertrophy,Prostate Disorder,,['Lauren_codelist']
266569009,Benign prostatic hypertrophy,Prostate Disorder,,['Lauren_codelist']
28324007,Prostatic congestion,Prostate Disorder,,['Lauren_codelist']
29524003,Atrophy of prostate,Prostate Disorder,,['Lauren_codelist']
30281009,Other disorders of prostate,Prostate Disorder,,['Lauren_codelist']
30281009,Other disorders of prostate OS,Prostate Disorder,,['Lauren_codelist']
30281009,Other prostate disorders NOS,Prostate Disorder,,['Lauren_codelist']
30281009,Prostatic disorders NOS,Prostate Disorder,,['Lauren_codelist']
30281009,[X]Other specified disorders of prostate,Prostate Disorder,,['Lauren_codelist']
433234005,Prostatic hyperplasia NOS,Prostate Disorder,,['Lauren_codelist']
433234005,Prostatic hyperplasia unspecified,Prostate Disorder,,['Lauren_codelist']
44843000,Prostatic haemorrhage,Prostate Disorder,,['Lauren_codelist']
45014001,Prostatic fistula,Prostate Disorder,,['Lauren_codelist']
6336005,Periprostatic adhesions,Prostate Disorder,,['Lauren_codelist']
67685000,Prostatocystitis,Prostate Disorder,,['Lauren_codelist']
85324003,Calculus of prostate,Prostate Disorder,,['Lauren_codelist']
8725005,Abscess of prostate,Prostate Disorder,,['Lauren_codelist']
9713002,Other prostatic inflammatory diseases,Prostate Disorder,,['Lauren_codelist']
9713002,Prostatitis NOS,Prostate Disorder,,['Lauren_codelist']
