SnomedCTConceptId,Term,Disease,Otherinstructions,origin
161562002,H/O: psoriasis,Psoriasis,,['Lauren_codelist']
19514005,Arthritis mutilans,Psoriasis,,['Lauren_codelist']
200956002,Psoriasis spondylitica,Psoriasis,,['Lauren_codelist']
200962007,Psoriasis annularis,Psoriasis,,['Lauren_codelist']
200963002,Psoriasis circinata,Psoriasis,,['Lauren_codelist']
200964008,Psoriasis diffusa,Psoriasis,,['Lauren_codelist']
200966005,Psoriasis geographica,Psoriasis,,['Lauren_codelist']
200967001,Psoriasis gyrata,Psoriasis,,['Lauren_codelist']
200968006,Psoriasis inveterata,Psoriasis,,['Lauren_codelist']
200970002,Psoriasis palmaris,Psoriasis,,['Lauren_codelist']
200971003,Psoriasis plantaris,Psoriasis,,['Lauren_codelist']
200972005,Psoriasis punctata,Psoriasis,,['Lauren_codelist']
200973000,Pustular psoriasis,Psoriasis,,['Lauren_codelist']
200974006,Psoriasis universalis,Psoriasis,,['Lauren_codelist']
200975007,Psoriasis vulgaris,Psoriasis,,['Lauren_codelist']
200977004,Erythrodermic psoriasis,Psoriasis,,['Lauren_codelist']
238608008,Scalp psoriasis,Psoriasis,,['Lauren_codelist']
239803008,Juvenile arthritis in psoriasis,Psoriasis,,['Lauren_codelist']
239812005,Distal interphalangeal psoriatic arthropathy,Psoriasis,,['Lauren_codelist']
27520001,Palmoplantar pustular psoriasis,Psoriasis,,['Lauren_codelist']
33339001,Psoriatic arthritis,Psoriasis,,['Lauren_codelist']
33339001,Psoriatic arthropathy,Psoriasis,,['Lauren_codelist']
33339001,Psoriatic arthropathy NOS,Psoriasis,,['Lauren_codelist']
33339001,[X]Other psoriatic arthropathies,Psoriasis,,['Lauren_codelist']
37042000,Guttate psoriasis,Psoriasis,,['Lauren_codelist']
399937000,Other psoriasis and similar disorders,Psoriasis,,['Lauren_codelist']
9014002,Other psoriasis,Psoriasis,,['Lauren_codelist']
9014002,Psoriasis NOS,Psoriasis,,['Lauren_codelist']
9014002,Psoriasis and similar disorders,Psoriasis,,['Lauren_codelist']
9014002,Psoriasis and similar disorders NOS,Psoriasis,,['Lauren_codelist']
9014002,Psoriasis unspecified,Psoriasis,,['Lauren_codelist']
9014002,[X]Other psoriasis,Psoriasis,,['Lauren_codelist']
