SnomedCTConceptId,Term,Disease,Otherinstructions,origin
11196001,Opiate and narcotic poisoning,Psychoactive Substance Misuse,,['Lauren_codelist']
11196001,Opiate poisoning,Psychoactive Substance Misuse,,['Lauren_codelist']
13187008,Heroin poisoning,Psychoactive Substance Misuse,,['Lauren_codelist']
14784000,[X]Mental and behavioural disorders due to use of opioids,Psychoactive Substance Misuse,,['Lauren_codelist']
15233006,Cannabis poisoning,Psychoactive Substance Misuse,,['Lauren_codelist']
17271000000101,Drug addict re-notif to CMO,Psychoactive Substance Misuse,,['Lauren_codelist']
176831000000102,Drug misuse - enhanced service completed,Psychoactive Substance Misuse,,['Lauren_codelist']
185095001,Drug addict re-notific due,Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,Amfetamine or psychostimulant dependence NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,"Amfetamine or psychostimulant dependence, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,Amphetamine or psychostimulant dependence NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,"Amphetamine or psychostimulant dependence, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,Drug dependence,Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,Drug dependence NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,Other specified drug dependence,Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,Other specified drug dependence NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,"Other specified drug dependence, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,"Other specified drug dependence, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191816009,"Other specified drug dependence, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191819002,Continuous opioid dependence,Psychoactive Substance Misuse,,['Lauren_codelist']
191820008,Episodic opioid dependence,Psychoactive Substance Misuse,,['Lauren_codelist']
191826002,"Hypnotic or anxiolytic dependence, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191829009,Cocaine type drug dependence,Psychoactive Substance Misuse,,['Lauren_codelist']
191831000,"Cocaine dependence, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191832007,"Cocaine dependence, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191837001,"Cannabis dependence, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191838006,"Cannabis dependence, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191839003,Cannabis dependence in remission,Psychoactive Substance Misuse,,['Lauren_codelist']
191843004,"Amphetamine or psychostimulant dependence, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191844005,"Amphetamine or psychostimulant dependence, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191849000,"Hallucinogen dependence, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191850000,"Hallucinogen dependence, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191853003,Glue sniffing dependence,Psychoactive Substance Misuse,,['Lauren_codelist']
191853003,Glue sniffing dependence NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191853003,"Glue sniffing dependence, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191853003,[X]Drug addiction - solvent,Psychoactive Substance Misuse,,['Lauren_codelist']
191855005,"Glue sniffing dependence, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191856006,"Glue sniffing dependence, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191865004,Combined opioid with other drug dependence,Psychoactive Substance Misuse,,['Lauren_codelist']
191865004,Combined opioid with other drug dependence NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191865004,"Combined opioid with other drug dependence, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191867007,"Combined opioid with other drug dependence, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191868002,"Combined opioid with other drug dependence, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191871005,"Combined drug dependence, excluding opioid, NOS",Psychoactive Substance Misuse,,['Lauren_codelist']
191871005,"Combined drug dependence, excluding opioid, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191871005,"Combined drug dependence, excluding opioids",Psychoactive Substance Misuse,,['Lauren_codelist']
191873008,"Combined drug dependence, excluding opioid, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191874002,"Combined drug dependence, excluding opioid, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191877009,Ecstasy type drug dependence,Psychoactive Substance Misuse,,['Lauren_codelist']
191891003,Nondependent cannabis abuse,Psychoactive Substance Misuse,,['Lauren_codelist']
191891003,Nondependent cannabis abuse NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191891003,"Nondependent cannabis abuse, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191893000,"Nondependent cannabis abuse, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191894006,"Nondependent cannabis abuse, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191899001,"Nondependent hallucinogen abuse, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191900006,"Nondependent hallucinogen abuse, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191901005,Nondependent hallucinogen abuse in remission,Psychoactive Substance Misuse,,['Lauren_codelist']
191909007,Nondependent opioid abuse,Psychoactive Substance Misuse,,['Lauren_codelist']
191909007,Nondependent opioid abuse NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191909007,"Nondependent opioid abuse, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191912005,"Nondependent opioid abuse, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191913000,"Nondependent opioid abuse, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191914006,Nondependent opioid abuse in remission,Psychoactive Substance Misuse,,['Lauren_codelist']
191916008,Nondependent cocaine abuse,Psychoactive Substance Misuse,,['Lauren_codelist']
191916008,Nondependent cocaine abuse NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191916008,"Nondependent cocaine abuse, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191918009,"Nondependent cocaine abuse, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191919001,"Nondependent cocaine abuse, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191920007,Nondependent cocaine abuse in remission,Psychoactive Substance Misuse,,['Lauren_codelist']
191925002,"Nondependent amphetamine or psychostimulant abuse, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
191934007,Nondependent mixed drug abuse,Psychoactive Substance Misuse,,['Lauren_codelist']
191934007,Nondependent mixed drug abuse NOS,Psychoactive Substance Misuse,,['Lauren_codelist']
191934007,"Nondependent mixed drug abuse, unspecified",Psychoactive Substance Misuse,,['Lauren_codelist']
191936009,"Nondependent mixed drug abuse, continuous",Psychoactive Substance Misuse,,['Lauren_codelist']
191937000,"Nondependent mixed drug abuse, episodic",Psychoactive Substance Misuse,,['Lauren_codelist']
199252002,Drug dependence during pregnancy - baby delivered,Psychoactive Substance Misuse,,['Lauren_codelist']
199254001,Drug dependence during pregnancy - baby not yet delivered,Psychoactive Substance Misuse,,['Lauren_codelist']
212670004,Ecstasy poisoning,Psychoactive Substance Misuse,,['Lauren_codelist']
216463005,Accidental poisoning by heroin,Psychoactive Substance Misuse,,['Lauren_codelist']
218791008,Adverse reaction to cannabis,Psychoactive Substance Misuse,,['Lauren_codelist']
