SnomedCTConceptId,Term,Disease,Otherinstructions,origin
168041003,O/E: kidney stone,Renal Stones,,['Lauren_codelist']
168041003,O/E: renal calculus,Renal Stones,,['Lauren_codelist']
168041003,O/E: renal stone NOS,Renal Stones,,['Lauren_codelist']
168042005,O/E: oxalate renal calculus,Renal Stones,,['Lauren_codelist']
17329003,[D]Ureteric colic,Renal Stones,,['Lauren_codelist']
175951002,Endoscopic ultrasound fragmentation of renal calculus,Renal Stones,,['Lauren_codelist']
175953004,Endoscopic laser fragmentation of renal calculus,Renal Stones,,['Lauren_codelist']
176050007,Nephroscopic laser fragmentation of ureteric calculus,Renal Stones,,['Lauren_codelist']
176052004,Nephroscopic extraction of ureteric calculus,Renal Stones,,['Lauren_codelist']
176058000,Ureteroscopic laser fragmentation of ureteric calculus,Renal Stones,,['Lauren_codelist']
176058000,Ureteroscopic laser lithotripsy of ureteric calculus,Renal Stones,,['Lauren_codelist']
176063001,Other specified cystoscopic removal of ureteric calculus,Renal Stones,,['Lauren_codelist']
176064007,Cystoscopic laser lithotripsy of ureteric calculus,Renal Stones,,['Lauren_codelist']
176067000,Cystoscopic catheter drainage for ureteric calculus,Renal Stones,,['Lauren_codelist']
176068005,Cystoscopic dilation of ureter for drainage of calculus,Renal Stones,,['Lauren_codelist']
176091009,Extracorporeal shockwave therapy for stone in upper ureter,Renal Stones,,['Lauren_codelist']
176092002,Extracorporeal shockwave lithotripsy for stone in mid-ureter,Renal Stones,,['Lauren_codelist']
176194004,Removal of bladder calculus by urethral catheter suction,Renal Stones,,['Lauren_codelist']
18109005,Calculus in diverticulum of bladder,Renal Stones,,['Lauren_codelist']
197788000,Hydronephrosis with renal and ureteral calculous obstruction,Renal Stones,,['Lauren_codelist']
197794008,Staghorn calculus,Renal Stones,,['Lauren_codelist']
197954003,Urinary calculus in schistosomiasis,Renal Stones,,['Lauren_codelist']
20042009,Extracorporeal shockwave lithotripsy of ureteric calculus,Renal Stones,,['Lauren_codelist']
20342001,Calculus in urethra,Renal Stones,,['Lauren_codelist']
21272003,Open urethrotomy and removal of calculus,Renal Stones,,['Lauren_codelist']
236172004,Other nephroscopic fragmentation of ureteric calculus,Renal Stones,,['Lauren_codelist']
236172004,Other nephroscopic lithotripsy of ureteric calculus,Renal Stones,,['Lauren_codelist']
236179008,Other ureteroscopic fragmentation of ureteric calculus,Renal Stones,,['Lauren_codelist']
236190003,Other cystoscopic fragmentation of ureteric calculus,Renal Stones,,['Lauren_codelist']
23754003,Calculous pyelonephritis,Renal Stones,,['Lauren_codelist']
265562006,Cystoscopic extraction of ureteric calculus,Renal Stones,,['Lauren_codelist']
266556005,Calculus of kidney and ureter,Renal Stones,,['Lauren_codelist']
266556005,Calculus of kidney with calculus of ureter,Renal Stones,,['Lauren_codelist']
269914004,O/E: phosphate -staghorn-stone,Renal Stones,,['Lauren_codelist']
271778003,Oxalate bladder stone,Renal Stones,,['Lauren_codelist']
271779006,Uric acid bladder stone,Renal Stones,,['Lauren_codelist']
271780009,Phosphate bladder stone,Renal Stones,,['Lauren_codelist']
274401005,Uric acid nephrolithiasis,Renal Stones,,['Lauren_codelist']
275893001,Phosphate kidney stone,Renal Stones,,['Lauren_codelist']
284301000000102,Endoscopic extraction of calculus of urinary diversion,Renal Stones,,['Lauren_codelist']
287712009,Other endoscopic extraction of bladder calculus,Renal Stones,,['Lauren_codelist']
297932004,Ureteroscopic operations for ureteric calculus,Renal Stones,,['Lauren_codelist']
302361003,Dormia basket extraction of ureteric calculus,Renal Stones,,['Lauren_codelist']
309708008,Electrokinetic lithotripsy of bladder calculus,Renal Stones,,['Lauren_codelist']
31054009,Calculus of ureter,Renal Stones,,['Lauren_codelist']
31054009,Ureteric calculus,Renal Stones,,['Lauren_codelist']
31054009,Ureteric stone,Renal Stones,,['Lauren_codelist']
31054009,Ureterolithiasis,Renal Stones,,['Lauren_codelist']
315318003,Endoscopic removal of urethral calculus,Renal Stones,,['Lauren_codelist']
370984003,Open removal of bladder calculus,Renal Stones,,['Lauren_codelist']
386200002,Other specified percutaneous renal stone surgery,Renal Stones,,['Lauren_codelist']
386200002,Percutaneous renal stone surgery,Renal Stones,,['Lauren_codelist']
386200002,Percutaneous renal stone surgery NOS,Renal Stones,,['Lauren_codelist']
393072009,ESWL for renal calculus of unspecified size,Renal Stones,,['Lauren_codelist']
