SnomedCTConceptId,Term,Disease,Otherinstructions,origin
10713006,Fibrosing alveolitis associated with rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
1212005,Juvenile dermatomyositis,Rheumatoid Arthritis,,['Lauren_codelist']
161567008,H/O: rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
164454008,O/E - hands - ulnar deviation,Rheumatoid Arthritis,,['Lauren_codelist']
164454008,O/E - ulnar deviation,Rheumatoid Arthritis,,['Lauren_codelist']
164456005,O/E-hands-rheumatoid spindling,Rheumatoid Arthritis,,['Lauren_codelist']
193180002,Polyneuropathy in rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
193250002,Myopathy due to rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
195136004,Rheumatoid myocarditis,Rheumatoid Arthritis,,['Lauren_codelist']
200936003,Lupus erythematosus,Rheumatoid Arthritis,,['Lauren_codelist']
200936003,Lupus erythematosus NOS,Rheumatoid Arthritis,,['Lauren_codelist']
200938002,Discoid lupus erythematosus,Rheumatoid Arthritis,,['Lauren_codelist']
200956002,Psoriasis spondylitica,Rheumatoid Arthritis,,['Lauren_codelist']
201764007,Rheumatoid arthritis of cervical spine,Rheumatoid Arthritis,,['Lauren_codelist']
201766009,Rheumatoid arthritis of shoulder,Rheumatoid Arthritis,,['Lauren_codelist']
201767000,Rheumatoid arthritis of sternoclavicular joint,Rheumatoid Arthritis,,['Lauren_codelist']
201768005,Rheumatoid arthritis of acromioclavicular joint,Rheumatoid Arthritis,,['Lauren_codelist']
201769002,Rheumatoid arthritis of elbow,Rheumatoid Arthritis,,['Lauren_codelist']
201770001,Rheumatoid arthritis of distal radio-ulnar joint,Rheumatoid Arthritis,,['Lauren_codelist']
201771002,Rheumatoid arthritis of wrist,Rheumatoid Arthritis,,['Lauren_codelist']
201772009,Rheumatoid arthritis of MCP joint,Rheumatoid Arthritis,,['Lauren_codelist']
201773004,Rheumatoid arthritis of PIP joint of finger,Rheumatoid Arthritis,,['Lauren_codelist']
201774005,Rheumatoid arthritis of DIP joint of finger,Rheumatoid Arthritis,,['Lauren_codelist']
201775006,Rheumatoid arthritis of hip,Rheumatoid Arthritis,,['Lauren_codelist']
201776007,Rheumatoid arthritis of sacro-iliac joint,Rheumatoid Arthritis,,['Lauren_codelist']
201777003,Rheumatoid arthritis of knee,Rheumatoid Arthritis,,['Lauren_codelist']
201778008,Rheumatoid arthritis of tibio-fibular joint,Rheumatoid Arthritis,,['Lauren_codelist']
201779000,Rheumatoid arthritis of ankle,Rheumatoid Arthritis,,['Lauren_codelist']
201780002,Rheumatoid arthritis of subtalar joint,Rheumatoid Arthritis,,['Lauren_codelist']
201781003,Rheumatoid arthritis of talonavicular joint,Rheumatoid Arthritis,,['Lauren_codelist']
201783000,Rheumatoid arthritis of 1st MTP joint,Rheumatoid Arthritis,,['Lauren_codelist']
201784006,Rheumatoid arthritis of lesser MTP joint,Rheumatoid Arthritis,,['Lauren_codelist']
201785007,Rheumatoid arthritis of IP joint of toe,Rheumatoid Arthritis,,['Lauren_codelist']
201788009,Rheumatoid bursitis,Rheumatoid Arthritis,,['Lauren_codelist']
201791009,Flare of rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
201799006,Monarticular juvenile rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
201805000,Juvenile arthritis in Crohn's disease,Rheumatoid Arthritis,,['Lauren_codelist']
201807008,Juvenile arthritis in ulcerative colitis,Rheumatoid Arthritis,,['Lauren_codelist']
202649003,Inflammatory spondylopathies,Rheumatoid Arthritis,,['Lauren_codelist']
203108005,Myalgia and myositis unspecified,Rheumatoid Arthritis,,['Lauren_codelist']
203113009,Myalgia or myositis NOS,Rheumatoid Arthritis,,['Lauren_codelist']
23060008,Swan-neck finger deformity,Rheumatoid Arthritis,,['Lauren_codelist']
231041000000107,Delivery of rehabilitation for rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
23685000,Rheumatic carditis,Rheumatoid Arthritis,,['Lauren_codelist']
239791005,"Seropositive rheumatoid arthritis, unspecified",Rheumatoid Arthritis,,['Lauren_codelist']
239791005,[X]Other seropositive rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
239791005,"[X]Seropositive rheumatoid arthritis, unspecified",Rheumatoid Arthritis,,['Lauren_codelist']
239792003,Seronegative rheumatoid arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
239793008,Other rheumatoid arthropathy + visceral/systemic involvement,Rheumatoid Arthritis,,['Lauren_codelist']
239793008,Rheumatoid arthropathy + visceral/systemic involvement NOS,Rheumatoid Arthritis,,['Lauren_codelist']
239793008,[X]Rheumatoid arthritis+involvement/other organs or systems,Rheumatoid Arthritis,,['Lauren_codelist']
239796000,Other juvenile arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
239796000,[X]Other juvenile arthritis,Rheumatoid Arthritis,,['Lauren_codelist']
239803008,Juvenile arthritis in psoriasis,Rheumatoid Arthritis,,['Lauren_codelist']
