SnomedCTConceptId,Term,Disease,Otherinstructions,origin
187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes,Sarcoidosis,,['Lauren_codelist']
192673008,Meningitis due to sarcoidosis,Sarcoidosis,,['Lauren_codelist']
193101001,Multiple cranial nerve palsies in sarcoidosis,Sarcoidosis,,['Lauren_codelist']
193195000,Polyneuropathy in sarcoidosis,Sarcoidosis,,['Lauren_codelist']
193251003,Myopathy due to sarcoidosis,Sarcoidosis,,['Lauren_codelist']
195033009,Sarcoid myocarditis,Sarcoidosis,,['Lauren_codelist']
197368002,Hepatic granulomas in sarcoidosis,Sarcoidosis,,['Lauren_codelist']
203042003,Myositis in sarcoidosis,Sarcoidosis,,['Lauren_codelist']
24369008,Pulmonary sarcoidosis,Sarcoidosis,,['Lauren_codelist']
24369008,Sarcoidosis of lung,Sarcoidosis,,['Lauren_codelist']
310607007,Sarcoidosis of inferior turbinates,Sarcoidosis,,['Lauren_codelist']
31541009,Sarcoidosis,Sarcoidosis,,['Lauren_codelist']
31541009,[X]Sarcoidosis of other and combined sites,Sarcoidosis,,['Lauren_codelist']
361197009,Sarcoid arthropathy,Sarcoidosis,,['Lauren_codelist']
55941000,Sarcoidosis of skin,Sarcoidosis,,['Lauren_codelist']
64757003,Sarcoidosis of lymph nodes,Sarcoidosis,,['Lauren_codelist']
72470008,Lupus pernio,Sarcoidosis,,['Lauren_codelist']
