SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111266001,[X]Other secondary scoliosis,Scoliosis,,['Lauren_codelist']
203638000,Kyphoscoliosis and scoliosis,Scoliosis,,['Lauren_codelist']
203639008,Idiopathic scoliosis,Scoliosis,,['Lauren_codelist']
203639008,[X]Other idiopathic scoliosis,Scoliosis,,['Lauren_codelist']
203640005,Idiopathic kyphoscoliosis,Scoliosis,,['Lauren_codelist']
203645000,Postural scoliosis,Scoliosis,,['Lauren_codelist']
203646004,Adolescent idiopathic scoliosis,Scoliosis,,['Lauren_codelist']
203661003,Scoliosis in skeletal dysplasia,Scoliosis,,['Lauren_codelist']
203662005,Neuromuscular scoliosis,Scoliosis,,['Lauren_codelist']
203663000,Scoliosis in neurofibromatosis,Scoliosis,,['Lauren_codelist']
203664006,Scoliosis in connective tissue anomalies,Scoliosis,,['Lauren_codelist']
205045003,Congenital scoliosis due to congenital bony malformation,Scoliosis,,['Lauren_codelist']
20944008,Congenital postural scoliosis,Scoliosis,,['Lauren_codelist']
20980008,Progressive infantile idiopathic scoliosis,Scoliosis,,['Lauren_codelist']
265724005,Dwyer anterior wiring of spine for scoliosis,Scoliosis,,['Lauren_codelist']
28801006,Resolving infantile idiopathic scoliosis,Scoliosis,,['Lauren_codelist']
298382003,[X]Other forms of scoliosis,Scoliosis,,['Lauren_codelist']
405772002,Congenital kyphoscoliosis,Scoliosis,,['Lauren_codelist']
45650007,Kyphoscoliotic heart disease,Scoliosis,,['Lauren_codelist']
64217002,Kyphoscoliosis or scoliosis NOS,Scoliosis,,['Lauren_codelist']
64217002,Scoliosis associated with other condition,Scoliosis,,['Lauren_codelist']
72992003,Thoracogenic scoliosis,Scoliosis,,['Lauren_codelist']
,,Scoliosis,,['Lauren_codelist']
