SnomedCTConceptId,Term,Disease,Otherinstructions,origin
130968006,Self-mutilation,Self-harm,,['efi']
174486004,Gouging own eyes,Self-harm,,['efi']
219152002,Self inflicted lacerations to wrist,Self-harm,,['efi']
219174008,Late effects of selfinflicted injury,Self-harm,,['efi']
224945002,Setting fire to self,Self-harm,,['efi']
224946001,Self-electrocution,Self-harm,,['efi']
224947005,Shooting self,Self-harm,,['efi']
224948000,Throwing self in front of vehicle,Self-harm,,['efi']
224949008,Throwing self in front of train,Self-harm,,['efi']
224950008,Jumping from cliff,Self-harm,,['efi']
225045006,Cutting own throat,Self-harm,,['efi']
225046007,Jumping from bridge,Self-harm,,['efi']
225047003,Jumping from building,Self-harm,,['efi']
225048008,Jumping from height,Self-harm,,['efi']
225049000,Hanging self,Self-harm,,['efi']
225050000,Drowning self,Self-harm,,['efi']
225052008,Self-strangulation,Self-harm,,['efi']
225053003,Self-asphyxiation,Self-harm,,['efi']
225444004,Suicide risk,Self-harm,,['efi']
247650009,Suicidal plans,Self-harm,,['efi']
248062006,Cause of overdose - deliberate,Self-harm,,['efi']
248064007,Self-mutilation of hands,Self-harm,,['efi']
248065008,Self-mutilation of penis,Self-harm,,['efi']
248070001,Head-hitting,Self-harm,,['efi']
248071002,Scratches self,Self-harm,,['efi']
248074005,Swallowing objects,Self-harm,,['efi']
267073005,Suicidal,Self-harm,,['efi']
271982007,Injury - self-inflicted,Self-harm,,['efi']
276853009,Injury - self-inflicted,Self-harm,,['efi']
284628003,Head-butting other person,Self-harm,,['efi']
284690004,Self-mutilation of genitalia,Self-harm,,['efi']
284691000,Enucleation of own eyes,Self-harm,,['efi']
284693002,Self-inducing a prolapse,Self-harm,,['efi']
284694008,Breaking own bones,Self-harm,,['efi']
284695009,Extracting own teeth,Self-harm,,['efi']
284696005,Removing own nails,Self-harm,,['efi']
284697001,Eating own flesh,Self-harm,,['efi']
284699003,Stripping own skin,Self-harm,,['efi']
284705007,Gouging own rectum,Self-harm,,['efi']
284706008,Banging own head against object,Self-harm,,['efi']
284707004,Banging own head against own body parts,Self-harm,,['efi']
284741007,Swallowing substances,Self-harm,,['efi']
284742000,Inserting foreign bodies into own orifices,Self-harm,,['efi']
284752001,Damaging own wounds,Self-harm,,['efi']
284753006,Reopening scars,Self-harm,,['efi']
284754000,Pulling out sutures,Self-harm,,['efi']
284755004,Poking fingers into wound,Self-harm,,['efi']
284756003,Hitting self,Self-harm,,['efi']
284757007,Punching self,Self-harm,,['efi']
284758002,Slapping self,Self-harm,,['efi']
284759005,Stabbing self,Self-harm,,['efi']
284760000,Picking own skin,Self-harm,,['efi']
285142001,Self-scalding,Self-harm,,['efi']
295124009,[X]Intent self poison/exposure to nonopioid analgesic,Self-harm,,['efi']
295250003,[X]Overdose - paracetamol,Self-harm,,['efi']
295830007,[X]Overdose - SSRI,Self-harm,,['efi']
295835002,[X]Overdose - SSRI,Self-harm,,['efi']
295918002,[X]Overdose - SSRI,Self-harm,,['efi']
296015009,[X]Overdose - temazepam,Self-harm,,['efi']
296036006,[X]Overdose - flurazepam,Self-harm,,['efi']
296037002,[X]Overdose - sleeping tabs,Self-harm,,['efi']
296053004,[X]Overdose - sleeping tabs,Self-harm,,['efi']
296058008,[X]Overdose - sleeping tabs,Self-harm,,['efi']
296070007,[X]Overdose - sleeping tabs,Self-harm,,['efi']
296118008,[X]Overdose - benzodiazepine,Self-harm,,['efi']
296125001,[X]Overdose - sleeping tabs,Self-harm,,['efi']
307578000,Cutting own wrists,Self-harm,,['efi']
394411000000101,[X]Overdose - antidepressant,Self-harm,,['efi']
394685004,High suicide risk,Self-harm,,['efi']
394686003,Moderate suicide risk,Self-harm,,['efi']
394687007,Low suicide risk,Self-harm,,['efi']
401206008,At risk of DSH - deliberate self harm,Self-harm,,['efi']
401229000,Thoughts of deliberate self harm,Self-harm,,['efi']
401230005,Plans for deliberate self harm without intent,Self-harm,,['efi']
401231009,Intent of deliberate self harm with detailed plans,Self-harm,,['efi']
415665002,Suicide prevention,Self-harm,,['efi']
418420002,[X]Self inflicted injury,Self-harm,,['efi']
436511000000106,[X]Overdose - sleeping tabs,Self-harm,,['efi']
439011002,[X]Intent self poison/exposure to nonopioid analgesic,Self-harm,,['efi']
43954004,Head-banging,Self-harm,,['efi']
44301001,[X]Self inflicted injury,Self-harm,,['efi']
446901000000100,[X]Intent self poison/exposure to nonopioid analgesic,Self-harm,,['efi']
461371000000105,[X]Intentional self poisoning/exposure to noxious substances,Self-harm,,['efi']
48981002,Injury - self-inflicted,Self-harm,,['efi']
59274003,Poisoning - self-inflicted,Self-harm,,['efi']
6471006,Suicidal ideation,Self-harm,,['efi']
82313006,Injury - self-inflicted,Self-harm,,['efi']
827361000000106,Suicide risk unchanged from previous level,Self-harm,,['efi']
