SnomedCTConceptId,Term,Disease,Otherinstructions,origin
15074003,Neurotrophic ulcer,Skin ulcer,,['efi']
161563007,H/O: chronic skin ulcer,Skin ulcer,,['efi']
163634008,O/E - trophic skin ulceration,Skin ulcer,,['efi']
164397002,O/E - skin ulcer present,Skin ulcer,,['efi']
165257007,Pressure ulcer index value (observable entity),Skin ulcer,Any value,['efi']
168307001,Skin ulcer swab taken,Skin ulcer,,['efi']
182532000,Dressing of ulcer,Skin ulcer,,['efi']
190368000,insulin dependent diabetes mellitus with ulcer,Skin ulcer,,['efi']
190389009,non-insulin dependent diabetes mellitus with ulcer,Skin ulcer,,['efi']
19429009,Type I diabetes mellitus with ulcer,Skin ulcer,,['efi']
195445008,Varicose veins of the leg with ulcer,Skin ulcer,,['efi']
195447000,Varicose veins of the leg with ulcer and eczema,Skin ulcer,,['efi']
195450002,Infected varicose ulcer,Skin ulcer,,['efi']
198051000000107,Referral to leg ulcer clinic,Skin ulcer,,['efi']
201250006,ischaemic ulcer diabetic foot,Skin ulcer,,['efi']
201251005,neuropathic diabetic ulcer - foot,Skin ulcer,,['efi']
201252003,Mixed diabetic ulcer - foot,Skin ulcer,,['efi']
225144007,Dressing of pressure sore,Skin ulcer,,['efi']
225357008,Pressure sore care,Skin ulcer,,['efi']
225555001,Pressure sore on shoulder,Skin ulcer,,['efi']
225561003,Pressure sore on heel,Skin ulcer,,['efi']
225562005,Pressure sore on sacrum,Skin ulcer,,['efi']
225563000,Pressure sore on buttocks,Skin ulcer,,['efi']
229684006,"Evidence of pressure mattress, cushion in use",Skin ulcer,,['efi']
238792006,Mixed arteriovenous leg ulcer,Skin ulcer,,['efi']
238793001,Ischaemic leg ulcer,Skin ulcer,,['efi']
238794007,Ischaemic foot ulcer,Skin ulcer,,['efi']
238796009,Neuroischaemic foot ulcer,Skin ulcer,,['efi']
247453004,Discharge from skin ulcer,Skin ulcer,,['efi']
247851000000107,Leg ulcer compression therapy started,Skin ulcer,,['efi']
247861000000105,Leg ulcer compression therapy finished,Skin ulcer,,['efi']
248031000000107,Attending leg ulcer clinic,Skin ulcer,,['efi']
258505006,Skin ulcer swab,Skin ulcer,,['efi']
2622007,Infected skin ulcer,Skin ulcer,,['efi']
264892003,Number of pressure ulcers (observable entity),Skin ulcer,If greater than 0,['efi']
264893008,Number of ulcers,Skin ulcer,,['efi']
267816005,Non-pressure ulcer lower limb,Skin ulcer,,['efi']
279351000000109,Seen in primary care leg ulcer clinic,Skin ulcer,,['efi']
288198002,Varicose ulcer and inflammation,Skin ulcer,,['efi']
300982005,Skin ulcer of dorsum of foot,Skin ulcer,,['efi']
300984006,Skin ulcer of calf,Skin ulcer,,['efi']
301021005,Ulcer of toe,Skin ulcer,,['efi']
301022003,Ulcer of heel,Skin ulcer,,['efi']
301025001,Ulcer of malleolus,Skin ulcer,,['efi']
302434002,Dressing of skin ulcer NEC,Skin ulcer,,['efi']
308099008,O/E - Right foot ulcer,Skin ulcer,,['efi']
308100000,O/E - Left foot ulcer,Skin ulcer,,['efi']
308740002,Ulcer of big toe,Skin ulcer,,['efi']
308901000,Ulcer of lateral malleolus,Skin ulcer,,['efi']
308902007,Ulcer of medial malleolus,Skin ulcer,,['efi']
308908006,Ulcer of shin,Skin ulcer,,['efi']
312647006,Two layer compression bandage for skin ulcer,Skin ulcer,,['efi']
312648001,Four layer compression bandaging for skin ulcer,Skin ulcer,,['efi']
312732009,Debridement of leg ulcer,Skin ulcer,,['efi']
312733004,Debridement of foot ulcer,Skin ulcer,,['efi']
312775003,Debridement of ulcer,Skin ulcer,,['efi']
314129003,Three layer compression bandage for skin ulcer,Skin ulcer,,['efi']
324007,"(Ulcer: [decubitus, press][plaster]) or (sore: [bed][press])",Skin ulcer,,['efi']
35222003,Neuropathic leg ulcer,Skin ulcer,,['efi']
376951000000105,EPUAP (European pressure ulcer advisory panel) grade 1 ulcer,Skin ulcer,,['efi']
376961000000108,EPUAP (European pressure ulcer advisory panel) grade 2 ulcer,Skin ulcer,,['efi']
376971000000101,EPUAP (European pressure ulcer advisory panel) grade 3 ulcer,Skin ulcer,,['efi']
376981000000104,EPUAP (European pressure ulcer advisory panel) grade 4 ulcer,Skin ulcer,,['efi']
394673007,o/e - right diabetic foot - ulcerated,Skin ulcer,,['efi']
394674001,o/e - left diabetic foot - ulcerated,Skin ulcer,,['efi']
394706005,O/E - ankle ulcer,Skin ulcer,,['efi']
399912005,"(Ulcer: [decubitus, press][plaster]) or (sore: [bed][press])",Skin ulcer,,['efi']
401172002,H/O: venous leg ulcer,Skin ulcer,,['efi']
402863005,Venous ulcer of leg,Skin ulcer,,['efi']
403601003,Neurotrophic ulcer,Skin ulcer,,['efi']
413166004,O/E - depth of ulcer,Skin ulcer,,['efi']
414890007,o/e - left chronic diabetic foot ulcer,Skin ulcer,,['efi']
414906009,o/e - right chronic diabetic foot ulcer,Skin ulcer,,['efi']
422183001,type 1 diabetes mellitus with ulcer,Skin ulcer,,['efi']
445474002,Skin ulcer with punched out edge,Skin ulcer,,['efi']
446260003,Hospice acquired pressure ulcer,Skin ulcer,,['efi']
446261004,Hospital acquired pressure ulcer,Skin ulcer,,['efi']
446262006,Nursing home acquired pressure ulcer,Skin ulcer,,['efi']
447745006,Pressure ulcer on knee,Skin ulcer,,['efi']
46742003,O/E - skin ulcer,Skin ulcer,,['efi']
520411000000100,Ulcerated skin,Skin ulcer,,['efi']
59483006,Neuropathic foot ulcer,Skin ulcer,,['efi']
699211004,Decubitus ulcer of ankle,Skin ulcer,,['efi']
699213001,Decubitus ulcer of dorsum of foot,Skin ulcer,,['efi']
699214007,Decubitus ulcer of hip,Skin ulcer,,['efi']
699217000,Decubitus ulcer of natal cleft,Skin ulcer,,['efi']
70693003,Skin at risk of breakdown,Skin ulcer,,['efi']
711791000000100,Superficial ulcer of lower limb,Skin ulcer,,['efi']
758831000000108,Residential home acquired pressure ulcer,Skin ulcer,,['efi']
761271000000109,Pressure ulcer acquired in own home,Skin ulcer,,['efi']
766501000000105,Multiple pressure ulcers,Skin ulcer,,['efi']
768521000000102,H/O: foot ulcer,Skin ulcer,,['efi']
842771000000103,Leg ulcer care management,Skin ulcer,,['efi']
95344007,Leg ulcer NOS,Skin ulcer,,['efi']
95345008,Foot ulcer,Skin ulcer,,['efi']
