SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111487009,[X]Dream anxiety disorder,Sleep problems,,['efi']
12262002,Repetitive intrusions of sleep,Sleep problems,,['efi']
162204000,Late insomnia,Sleep problems,,['efi']
162207007,C/O nightmares,Sleep problems,,['efi']
191997003,Persistent insomnia,Sleep problems,,['efi']
191999000,Persistent hypersomnia,Sleep problems,,['efi']
192004002,Repeated rapid eye movement sleep interruptions,Sleep problems,,['efi']
192007009,"""Short-sleeper""",Sleep problems,,['efi']
192008004,Inversion of sleep rhythm,Sleep problems,,['efi']
192454004,Insomnia due to nonorganic sleep disorder,Sleep problems,,['efi']
193462001,Insomnia (& C/O),Sleep problems,,['efi']
194437008,Disorders of initiating and maintaining sleep,Sleep problems,,['efi']
225206006,Sleep and rest interventions,Sleep problems,,['efi']
230488004,Non-organic sleep disorders (& [hypersomnia] or [insomnia]),Sleep problems,,['efi']
268652009,Insomnia NOS,Sleep problems,,['efi']
268653004,Hypersomnia NOS,Sleep problems,,['efi']
268654005,Repetitive intrusions of sleep,Sleep problems,,['efi']
268722008,[X]Nonorganic disorder of the sleep-wake schedule,Sleep problems,,['efi']
270487001,Non-organic sleep disorders,Sleep problems,,['efi']
271782001,Insomnia (& symptom) or somnolence,Sleep problems,,['efi']
272025006,Insomnia (& C/O),Sleep problems,,['efi']
272026007,Insomnia (& C/O),Sleep problems,,['efi']
314938000,Poor sleep pattern,Sleep problems,,['efi']
3745000,[D]Insomnia - symptom,Sleep problems,,['efi']
395069004,Sleep management,Sleep problems,,['efi']
39898005,Other sleep stage or arousal dysfunction,Sleep problems,,['efi']
401161007,Delayed onset of sleep,Sleep problems,,['efi']
401236004,Early morning waking,Sleep problems,,['efi']
416067004,C/O - unpleasant dreams,Sleep problems,,['efi']
419145002,Nightmares,Sleep problems,,['efi']
437981000000106,[D]Sleep dysfunction NOS,Sleep problems,,['efi']
439035007,Sleep hygiene behaviour education,Sleep problems,,['efi']
44186003,[D]Sleep disturbances,Sleep problems,,['efi']
59050008,Initial insomnia,Sleep problems,,['efi']
67233009,Middle insomnia,Sleep problems,,['efi']
713498009,Shifting sleep-work schedule,Sleep problems,,['efi']
7175000,Other non-organic sleep disorder,Sleep problems,,['efi']
77692006,Excessive sleep,Sleep problems,,['efi']
80495009,Somnambulism - sleep walking,Sleep problems,,['efi']
85418005,Other non-organic sleep disorder,Sleep problems,,['efi']
89675003,Night terrors,Sleep problems,,['efi']
