SnomedCTConceptId,Term,Disease,Otherinstructions,origin
134406006,Smoking reduced,Smoker (current),Cannot be current and ex smoker,['efi']
160603005,Light smoker - 1-9 cigs/day,Smoker (current),Cannot be current and ex smoker,['efi']
160604004,Moderate smoker - 10-19 cigs/d,Smoker (current),Cannot be current and ex smoker,['efi']
160605003,Heavy smoker - 20-39 cigs/day,Smoker (current),Cannot be current and ex smoker,['efi']
160606002,Very heavy smoker - 40+cigs/d,Smoker (current),Cannot be current and ex smoker,['efi']
160612007,Keeps trying to stop smoking,Smoker (current),Cannot be current and ex smoker,['efi']
160613002,Admitted tobacco cons untrue ?,Smoker (current),Cannot be current and ex smoker,['efi']
160616005,Trying to give up smoking,Smoker (current),Cannot be current and ex smoker,['efi']
160619003,Rolls own cigarettes,Smoker (current),Cannot be current and ex smoker,['efi']
203191000000107,Wants to stop smoking,Smoker (current),Cannot be current and ex smoker,['efi']
230056004,Cigarette consumption,Smoker (current),Cannot be current and ex smoker,['efi']
230057008,Cigar consumption,Smoker (current),Cannot be current and ex smoker,['efi']
230058003,Pipe tobacco consumption,Smoker (current),Cannot be current and ex smoker,['efi']
230059006,Occasional smoker,Smoker (current),Cannot be current and ex smoker,['efi']
230060001,Light cigarette smoker,Smoker (current),Cannot be current and ex smoker,['efi']
230062009,Moderate cigarette smoker,Smoker (current),Cannot be current and ex smoker,['efi']
230063004,Heavy cigarette smoker,Smoker (current),Cannot be current and ex smoker,['efi']
230064005,Very heavy cigarette smoker,Smoker (current),Cannot be current and ex smoker,['efi']
230065006,Chain smoker,Smoker (current),Cannot be current and ex smoker,['efi']
266918002,Amount+type of tobacco smoked,Smoker (current),Cannot be current and ex smoker,['efi']
266920004,Occasional smoker,Smoker (current),Cannot be current and ex smoker,['efi']
266927001,Tobacco smok consumpt unknown,Smoker (current),Cannot be current and ex smoker,['efi']
266929003,Smoking restarted,Smoker (current),Cannot be current and ex smoker,['efi']
308438006,Smoking restarted,Smoker (current),Cannot be current and ex smoker,['efi']
365981007,Smoker - amount smoked,Smoker (current),Cannot be current and ex smoker,['efi']
394871007,Thinking about stop smoking,Smoker (current),Cannot be current and ex smoker,['efi']
394872000,Ready to stop smoking,Smoker (current),Cannot be current and ex smoker,['efi']
394873005,Not interested stop smoking,Smoker (current),Cannot be current and ex smoker,['efi']
401159003,Reason for restarting smoking,Smoker (current),Cannot be current and ex smoker,['efi']
413173009,Min from wake to 1st tobac con,Smoker (current),Cannot be current and ex smoker,['efi']
428041000124106,Occasional smoker,Smoker (current),Cannot be current and ex smoker,['efi']
446172000,Failed attempt to stop smoking,Smoker (current),Cannot be current and ex smoker,['efi']
59978006,Cigar smoker,Smoker (current),Cannot be current and ex smoker,['efi']
65568007,Smoker,Smoker (current),Cannot be current and ex smoker,['efi']
77176002,Current smoker,Smoker (current),Cannot be current and ex smoker,['efi']
82302008,Pipe smoker,Smoker (current),Cannot be current and ex smoker,['efi']
836001000000109,Waterpipe tobacco consumption,Smoker (current),Cannot be current and ex smoker,['efi']
