SnomedCTConceptId,Term,Disease,Otherinstructions,origin
1221000119103,[V]PH of tobacco abuse,Smoker (ex),Cannot be ex and current smoker,['efi']
160617001,Stopped smoking,Smoker (ex),Cannot be ex and current smoker,['efi']
160620009,Ex pipe smoker,Smoker (ex),Cannot be ex and current smoker,['efi']
160621008,Ex cigar smoker,Smoker (ex),Cannot be ex and current smoker,['efi']
160625004,Date ceased smoking,Smoker (ex),Cannot be ex and current smoker,['efi']
228486009,Time since stopped smoking,Smoker (ex),Cannot be ex and current smoker,['efi']
266921000,"Ex-triv cigaret smoker, <1/day",Smoker (ex),Cannot be ex and current smoker,['efi']
266922007,"Ex-light cigaret smok, 1-9/day",Smoker (ex),Cannot be ex and current smoker,['efi']
266923002,"Ex-mod cigaret smok, 10-19/day",Smoker (ex),Cannot be ex and current smoker,['efi']
266924008,"Ex-heav cigaret smok,20-39/day",Smoker (ex),Cannot be ex and current smoker,['efi']
266925009,"Ex-very hv cigaret smk,40+/day",Smoker (ex),Cannot be ex and current smoker,['efi']
266928006,Ex-cigaret smoker amnt unknown,Smoker (ex),Cannot be ex and current smoker,['efi']
281018007,Ex-cigarette smoker,Smoker (ex),Cannot be ex and current smoker,['efi']
492191000000103,Ex roll-up cigarette smoker,Smoker (ex),Cannot be ex and current smoker,['efi']
505761000000105,Ex-smoker annual review - ESA,Smoker (ex),Cannot be ex and current smoker,['efi']
8517006,Former smoker,Smoker (ex),Cannot be ex and current smoker,['efi']
