SnomedCTConceptId,Term,Disease,Otherinstructions,origin
171131006,Spinal meningocele NOS,Spina bifida,,['Lauren_codelist']
171131006,Spinal meningocele of unspecified site,Spina bifida,,['Lauren_codelist']
19054000,Other specified repair of spina bifida,Spina bifida,,['Lauren_codelist']
19054000,Repair of spina bifida NOS,Spina bifida,,['Lauren_codelist']
203934001,Cervical spina bifida with hydrocephalus,Spina bifida,,['Lauren_codelist']
203935000,Thoracic spina bifida with hydrocephalus,Spina bifida,,['Lauren_codelist']
203936004,Lumbar spina bifida with hydrocephalus,Spina bifida,,['Lauren_codelist']
203942000,Thoracic spina bifida with hydrocephalus - open,Spina bifida,,['Lauren_codelist']
203943005,Lumbar spina bifida with hydrocephalus - open,Spina bifida,,['Lauren_codelist']
203944004,Sacral spina bifida with hydrocephalus - open,Spina bifida,,['Lauren_codelist']
203946002,Spina bifida with hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
203950009,Lumbar spina bifida with hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
203951008,Sacral spina bifida with hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
203954000,Spina bifida with hydrocephalus of late onset,Spina bifida,,['Lauren_codelist']
203955004,Spina bifida with stenosis of aqueduct of Sylvius,Spina bifida,,['Lauren_codelist']
203967002,Spinal hydromeningocele,Spina bifida,,['Lauren_codelist']
203980004,Cervical spinal meningocele,Spina bifida,,['Lauren_codelist']
203981000,Thoracic spinal meningocele,Spina bifida,,['Lauren_codelist']
203982007,Lumbar spinal meningocele,Spina bifida,,['Lauren_codelist']
203985009,Cervical meningomyelocele,Spina bifida,,['Lauren_codelist']
203986005,Thoracic meningomyelocele,Spina bifida,,['Lauren_codelist']
203987001,Lumbar meningomyelocele,Spina bifida,,['Lauren_codelist']
203990007,Cervical myelocele,Spina bifida,,['Lauren_codelist']
203992004,Lumbar myelocele,Spina bifida,,['Lauren_codelist']
203994003,Myelocystocele,Spina bifida,,['Lauren_codelist']
203994003,Myelocystocele NOS,Spina bifida,,['Lauren_codelist']
203996001,Cervical myelocystocele,Spina bifida,,['Lauren_codelist']
203998000,Lumbar myelocystocele,Spina bifida,,['Lauren_codelist']
204004001,Thoracic spina bifida without hydrocephalus - open,Spina bifida,,['Lauren_codelist']
204005000,Lumbar spina bifida without hydrocephalus - open,Spina bifida,,['Lauren_codelist']
204006004,Sacral spina bifida without hydrocephalus - open,Spina bifida,,['Lauren_codelist']
204008003,Spina bifida without hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
204008003,Spina bifida without hydrocephalus - closed NOS,Spina bifida,,['Lauren_codelist']
204008003,Unspecified spina bifida without hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
204010001,Cervical spina bifida without hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
204012009,Lumbar spina bifida without hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
204013004,Sacral spina bifida without hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
253112008,Fissured spine,Spina bifida,,['Lauren_codelist']
253113003,Rachischisis with hydrocephalus,Spina bifida,,['Lauren_codelist']
253114009,Myelocele with hydrocephalus,Spina bifida,,['Lauren_codelist']
253116006,Fissured spine with hydrocephalus,Spina bifida,,['Lauren_codelist']
253117002,Closed spina bifida with Arnold-Chiari malformation,Spina bifida,,['Lauren_codelist']
253118007,Thoracolumbar spina bifida with hydrocephalus - closed,Spina bifida,,['Lauren_codelist']
268143001,Spina bifida with hydrocephalus - open,Spina bifida,,['Lauren_codelist']
268143001,Spina bifida with hydrocephalus - open NOS,Spina bifida,,['Lauren_codelist']
268146009,Spina bifida without hydrocephalus - open,Spina bifida,,['Lauren_codelist']
268146009,Spina bifida without hydrocephalus - open NOS,Spina bifida,,['Lauren_codelist']
32232003,Cervical spina bifida without mention of hydrocephalus,Spina bifida,,['Lauren_codelist']
38116000,Hydromyelocele,Spina bifida,,['Lauren_codelist']
414667000,Meningomyelocele,Spina bifida,,['Lauren_codelist']
414667000,Meningomyelocele NOS,Spina bifida,,['Lauren_codelist']
414667000,Meningomyelocele of unspecified site,Spina bifida,,['Lauren_codelist']
528711000000105,Thoracic spina bifida without mention of hydrocephalus,Spina bifida,,['Lauren_codelist']
530041000000105,Lumbar spina bifida without mention of hydrocephalus,Spina bifida,,['Lauren_codelist']
53318002,Spina bifida with hydrocephalus,Spina bifida,,['Lauren_codelist']
53318002,Spina bifida with hydrocephalus NOS,Spina bifida,,['Lauren_codelist']
53318002,"Spina bifida with hydrocephalus, unspecified",Spina bifida,,['Lauren_codelist']
53318002,Unspecified spina bifida with hydrocephalus,Spina bifida,,['Lauren_codelist']
53318002,[X]Unspecified spina bifida with hydrocephalus,Spina bifida,,['Lauren_codelist']
61819007,Rachischisis,Spina bifida,,['Lauren_codelist']
65144005,Spinal meningocele,Spina bifida,,['Lauren_codelist']
67531005,Other specified spina bifida with hydrocephalus,Spina bifida,,['Lauren_codelist']
67531005,Other specified spina bifida without hydrocephalus,Spina bifida,,['Lauren_codelist']
67531005,Spina bifida,Spina bifida,,['Lauren_codelist']
67531005,Spina bifida NOS,Spina bifida,,['Lauren_codelist']
67531005,Spina bifida without mention of hydrocephalus,Spina bifida,,['Lauren_codelist']
67531005,Spina bifida without mention of hydrocephalus NOS,Spina bifida,,['Lauren_codelist']
67531005,Syringomyelocele,Spina bifida,,['Lauren_codelist']
67531005,Unspecified spina bifida without hydrocephalus NOS,Spina bifida,,['Lauren_codelist']
76916001,Spina bifida occulta,Spina bifida,,['Lauren_codelist']
82058009,Myelocele,Spina bifida,,['Lauren_codelist']
82058009,Myelocele NOS,Spina bifida,,['Lauren_codelist']
