SnomedCTConceptId,Term,Disease,Otherinstructions,origin
18347007,Lumbar spinal stenosis,Spinal stenosis,,['Lauren_codelist']
18347007,Lumbar spinal stenosis secondary to other disease,Spinal stenosis,,['Lauren_codelist']
202760001,Idiopathic cervical spinal stenosis,Spinal stenosis,,['Lauren_codelist']
202761002,Degenerative cervical spinal stenosis,Spinal stenosis,,['Lauren_codelist']
202782008,Idiopathic thoracic spinal stenosis,Spinal stenosis,,['Lauren_codelist']
202783003,Degenerative thoracic spinal stenosis,Spinal stenosis,,['Lauren_codelist']
202787002,Idiopathic lumbar spinal stenosis,Spinal stenosis,,['Lauren_codelist']
202788007,Degenerative lumbar spinal stenosis,Spinal stenosis,,['Lauren_codelist']
202789004,Iatrogenic lumbar spinal stenosis,Spinal stenosis,,['Lauren_codelist']
267980005,"Spinal stenosis, excluding cervical region",Spinal stenosis,,['Lauren_codelist']
41341006,Thoracic spinal stenosis,Spinal stenosis,,['Lauren_codelist']
41341006,Thoracic spinal stenosis secondary to other disease,Spinal stenosis,,['Lauren_codelist']
415881000000101,[Q] Central spinal stenosis,Spinal stenosis,,['Lauren_codelist']
440721000000109,[Q] Lateral spinal stenosis,Spinal stenosis,,['Lauren_codelist']
452471000000100,[Q] Central and lateral spinal stenosis,Spinal stenosis,,['Lauren_codelist']
76107001,Spinal stenosis,Spinal stenosis,,['Lauren_codelist']
76107001,Spinal stenosis NOS,Spinal stenosis,,['Lauren_codelist']
76107001,Spinal stenosis of unspecified region,Spinal stenosis,,['Lauren_codelist']
83561009,Cervical spinal stenosis,Spinal stenosis,,['Lauren_codelist']
83561009,Cervical spinal stenosis secondary to other disease,Spinal stenosis,,['Lauren_codelist']
