SnomedCTConceptId,Term,Disease,Otherinstructions,origin
178805003,Reduction of spondylolisthesis and fusion,Spondylolisthesis,,['Lauren_codelist']
178806002,Fusion spondylolisthesis in situ,Spondylolisthesis,,['Lauren_codelist']
203681002,Acquired spondylolisthesis,Spondylolisthesis,,['Lauren_codelist']
203682009,Dysplastic spondylolisthesis,Spondylolisthesis,,['Lauren_codelist']
203683004,Isthmic spondylolisthesis,Spondylolisthesis,,['Lauren_codelist']
203685006,Pedicular spondylolisthesis,Spondylolisthesis,,['Lauren_codelist']
265726007,Gill excision of spondylolisthesis,Spondylolisthesis,,['Lauren_codelist']
265726007,Spondylolisthesis operation,Spondylolisthesis,,['Lauren_codelist']
391271000000107,[Q] Spondylolisthesis grade 3,Spondylolisthesis,,['Lauren_codelist']
4046000,Degenerative spondylolisthesis,Spondylolisthesis,,['Lauren_codelist']
463671000000101,[Q] Spondylolisthesis grade 1,Spondylolisthesis,,['Lauren_codelist']
463681000000104,[Q] Spondylolisthesis grade 2,Spondylolisthesis,,['Lauren_codelist']
479481000000107,[Q] Spondylolisthesis grade 4,Spondylolisthesis,,['Lauren_codelist']
