SnomedCTConceptId,Term,Disease,Otherinstructions,origin
105485001,Domestic stress,Stress,,['efi']
105490003,[D]Work stress,Stress,,['efi']
111475002,Nervous breakdown,Stress,,['efi']
13791008,[D]Overwork,Stress,,['efi']
162218007,Stress related problem,Stress,,['efi']
162318009,Life crisis,Stress,,['efi']
17226007,[X]Grief reaction,Stress,,['efi']
185780005,Stress monitoring 1st letter,Stress,,['efi']
185781009,Stress monitoring 2nd letter,Stress,,['efi']
185782002,Stress monitoring 3rd letter,Stress,,['efi']
185786004,Stress monitoring check done,Stress,,['efi']
224974006,Feeling stressed,Stress,,['efi']
266949007,Home problems,Stress,,['efi']
266957005,Work worries,Stress,,['efi']
266959008,Stress at work,Stress,,['efi']
271795006,[D]Overwork,Stress,,['efi']
276072008,Problems at work,Stress,,['efi']
276073003,Bullied at work,Stress,,['efi']
276074009,Work worries,Stress,,['efi']
276075005,Work worries,Stress,,['efi']
276077002,Work worries,Stress,,['efi']
276078007,Work worries,Stress,,['efi']
276079004,Work worries,Stress,,['efi']
276099005,Problem situation,Stress,,['efi']
276101003,Home problems,Stress,,['efi']
276103000,Home problems,Stress,,['efi']
276104006,Stress at home,Stress,,['efi']
285216009,Reliving traumatic memories,Stress,,['efi']
300937006,Personal problems,Stress,,['efi']
302153001,Unhappy at work,Stress,,['efi']
302202009,Domestic problems,Stress,,['efi']
302203004,Domestic problems,Stress,,['efi']
30871003,Flashbacks,Stress,,['efi']
417143004,Short duration flashbacks,Stress,,['efi']
442347009,"[D]State of emotional shock and stress, unspecified",Stress,,['efi']
455231000000107,[V]Stressful work schedule,Stress,,['efi']
464401000000109,"[D]State of emotional shock and stress, unspecified",Stress,,['efi']
47695004,Unable to cope,Stress,,['efi']
65118005,Marital stress,Stress,,['efi']
713571000000108,Stress monitoring admin.,Stress,,['efi']
713581000000105,Stress monitoring admin.,Stress,,['efi']
74506000,Grief reaction,Stress,,['efi']
763381006,Domestic problems,Stress,,['efi']
