SnomedCTConceptId,Term,Disease,Otherinstructions,origin
111566002,Acquired hypothyroidism,Thyroid Problem,,['Lauren_codelist']
111566002,Other acquired hypothyroidism,Thyroid Problem,,['Lauren_codelist']
170780004,Thyroid disease monitoring,Thyroid Problem,,['Lauren_codelist']
170780004,Thyroid disease monitoring NOS,Thyroid Problem,,['Lauren_codelist']
190241003,Toxic diffuse goitre with no crisis,Thyroid Problem,,['Lauren_codelist']
190242005,Toxic diffuse goitre with crisis,Thyroid Problem,,['Lauren_codelist']
190244006,Toxic uninodular goitre with no crisis,Thyroid Problem,,['Lauren_codelist']
190247004,Toxic multinodular goitre with no crisis,Thyroid Problem,,['Lauren_codelist']
190268003,Congenital hypothyroidism,Thyroid Problem,,['Lauren_codelist']
190268003,Congenital hypothyroidism NOS,Thyroid Problem,,['Lauren_codelist']
190268003,Other specified congenital hypothyroidism,Thyroid Problem,,['Lauren_codelist']
190277005,Irradiation hypothyroidism,Thyroid Problem,,['Lauren_codelist']
190279008,Iodine hypothyroidism,Thyroid Problem,,['Lauren_codelist']
190282003,Hypothyroidism resulting from para-aminosalicylic acid,Thyroid Problem,,['Lauren_codelist']
190283008,Hypothyroidism resulting from phenylbutazone,Thyroid Problem,,['Lauren_codelist']
190284002,Hypothyroidism resulting from resorcinol,Thyroid Problem,,['Lauren_codelist']
190291004,Premature puberty due to hypothyroidism,Thyroid Problem,,['Lauren_codelist']
190309006,Thyroid atrophy,Thyroid Problem,,['Lauren_codelist']
193212008,Myasthenic syndrome due to hypothyroidism,Thyroid Problem,,['Lauren_codelist']
193214009,Myasthenic syndrome due to thyrotoxicosis,Thyroid Problem,,['Lauren_codelist']
19885005,Thyrotoxic exophthalmos,Thyroid Problem,,['Lauren_codelist']
21263006,Myxoedema coma,Thyroid Problem,,['Lauren_codelist']
217710005,Cretinism,Thyroid Problem,,['Lauren_codelist']
21983002,Autoimmune thyroiditis,Thyroid Problem,,['Lauren_codelist']
21983002,Chronic lymphocytic thyroiditis,Thyroid Problem,,['Lauren_codelist']
21983002,Hashimoto's disease,Thyroid Problem,,['Lauren_codelist']
237498007,Toxic goitre,Thyroid Problem,,['Lauren_codelist']
237515009,Congenital hypothyroidism without goitre,Thyroid Problem,,['Lauren_codelist']
237518006,"Hypothyroid goitre, acquired",Thyroid Problem,,['Lauren_codelist']
237519003,Autoimmune myxoedema,Thyroid Problem,,['Lauren_codelist']
237527007,Other postablative hypothyroidism,Thyroid Problem,,['Lauren_codelist']
237527007,Postablative hypothyroidism NOS,Thyroid Problem,,['Lauren_codelist']
